trialJobId,activation,intermediate,optimizer,dropout,test_frac,learning_rate,layer_1,preweight,epochs,batch_size,layer_2,train_frac,regularization,reward
e7KR8,elu,"[0.9791666666666666,0.9910156241649952]",adam,0.10364014409313235,0.15,0.007031790298152662,108,51,200,30,64,0.7,0.05169466503486638,0.9910156241649952
gW4C1,tanh,"[0.9782738095238095,0.9832610339317561]",adam,0.18566090714537065,0.15,0.00028657589108449684,164,34,200,100,137,0.7,0.04756131213467836,0.9832610339317561
NgR3h,elu,"[0.9732142857142858,0.9783832663500183]",adam,0.16493345970756168,0.15,0.000677358516850887,73,37,200,5,155,0.7,0.0504875654469438,0.9783832663500183
ZYJqj,elu,"[0.9770833333333334,0.9933675639925639]",adam,0.008046718330194429,0.15,0.0012864324658091982,169,45,200,50,54,0.7,0.04191396416475439,0.9933675639925639
iNDJN,elu,"[0.9720238095238096,0.9879978006953503]",adam,0.09150079219744794,0.15,0.00259673149291688,156,70,200,70,76,0.7,0.037330337756896356,0.9879978006953503
xzmvc,relu,"[0.975595238095238,0.9929365079486813]",adam,0.13193887641835533,0.15,0.00015038127736087504,103,36,200,50,43,0.7,0.02017242785607577,0.9929365079486813
FV4Pb,elu,"[0.9625,0.9513027298153156]",SGD,0.11441215317835961,0.15,0.00043359573470756974,200,49,200,5,85,0.7,0.03300432742488506,0.9513027298153156
ZP9kn,elu,"[0.9782738095238095,0.984275143862179]",adam,0.08220960430002298,0.15,0.0009139156468110188,139,48,200,30,50,0.7,0.023895505008395858,0.984275143862179
g86aA,elu,"[0.9794642857142858,0.9892803768249319]",adam,0.0586962933375605,0.15,0.0018394237207209213,195,11,200,100,176,0.7,0.0542403222433442,0.9892803768249319
R1Hmv,relu,"[0.9729166666666668,0.988652312599681]",adam,0.14583745242365312,0.15,0.0036768015047265895,183,41,200,50,71,0.7,0.04481288641344587,0.988652312599681
pRHD9,elu,"[0.98125,0.9934819769602378]",adam,0.11028603400136393,0.15,0.005659726976396976,150,43,200,5,89,0.7,0.011487003875737672,0.9934819769602378
Hdasi,tanh,"[0.9693452380952381,0.9770858965595808]",adam,0.1540880444889972,0.15,0.012803949884636819,161,39,200,10,127,0.7,0.006373362564641032,0.9770858965595808
xLRAg,elu,"[0.9782738095238095,0.9833566988666014]",adam,0.020181592823512975,0.15,0.0005417171368684343,192,64,200,50,165,0.7,0.03064623973735898,0.9833566988666014
i4MFA,elu,"[0.9744047619047619,0.990722728177948]",adam,0.20848545970088986,0.15,0.0012977684869018068,200,46,200,30,24,0.7,0.014610683197528,0.990722728177948
QjSc7,elu,"[0.9741071428571428,0.9889351177680696]",adam,0.09651709890513975,0.15,0.00022321407245538428,188,55,200,100,36,0.7,0.0035004780597297086,0.9889351177680696
E4ytJ,relu,"[0.9586309523809524,0.988966444801685]",adam,0.07414108577312496,0.15,0.009506203137893953,178,44,200,5,149,0.7,0.03899337984864465,0.988966444801685
xvsAQ,elu,"[0.95,0.9335171355062994]",SGD,0.13345708948208382,0.15,0.0029540752063272682,168,58,200,50,112,0.7,0.04835838568466901,0.9335171355062994
