test_frac,reward,layer_1,train_frac,batch_size,preweight,intermediate,activation,trialJobId,learning_rate,optimizer,epochs,layer_2,regularization,dropout
0.15,0.6073855660486964,117,0.7,70,29,"[0.5994987468671679,0.6073855660486964]",tanh,brEbu,0.0040069586129032,SGD,200,111,0.03824781510785361,0.3628849794412302
0.15,0.688566095621923,190,0.7,10,10,"[0.5914786967418546,0.688566095621923]",elu,H4xts,0.0003067459464975457,adam,200,118,0.04394541253256411,0.18335183536125949
0.15,0.6592212638592676,181,0.7,30,62,"[0.5,0.6592212638592676]",relu,HWu09,0.002039795810768324,adam,200,76,0.07322781542606462,0.2299562703922808
0.15,0.6023286723596322,146,0.7,30,26,"[0.6807017543859649,0.6023286723596322]",elu,B3pzV,0.021691382378471822,SGD,200,127,0.025916309967377694,0.2784304216807178
0.15,0.7027164820044077,46,0.7,50,38,"[0.531328320802005,0.7027164820044077]",tanh,tkRAs,0.010415014862997245,adam,200,139,0.013288972029287034,0.2628724735806845
0.15,0.6526298294301114,160,0.7,5,16,"[0.5253132832080201,0.6526298294301114]",elu,GIeRf,0.06844701866306817,adam,200,102,0.02095816241425122,0.3424387433566102
0.15,0.681755604018468,135,0.7,100,49,"[0.6210526315789474,0.681755604018468]",relu,mpjPZ,0.2563176926093772,adam,200,149,0.0625148508516567,0.21536595075291598
0.15,0.6510625221112363,91,0.7,30,44,"[0.5634085213032581,0.6510625221112363]",elu,rj9AM,0.0010522721830181236,adam,200,49,0.03342990134588349,0.2444205179529621
0.15,0.6379779977091522,75,0.7,70,20,"[0.6290726817042607,0.6379779977091522]",tanh,ja2vs,0.006440357697435776,SGD,200,59,0.0017889165108260358,0.1416658577215557
0.15,0.6243863212399845,109,0.7,30,68,"[0.5724310776942356,0.6243863212399845]",elu,dlUdS,1.1376610177560011e-05,adam,200,96,0.03098042858124006,0.1659972890490826
0.15,0.6912658248184564,167,0.7,30,14,"[0.5919799498746867,0.6912658248184564]",elu,t4aZW,0.0025753074775978512,adam,200,118,0.04730039535944977,0.27837215097867757
0.15,0.6305415499533146,176,0.7,30,16,"[0.5583959899749373,0.6305415499533146]",elu,yhFuu,0.01794984075674644,adam,200,111,0.03644697198325547,0.3023191833753091
0.15,0.6842824833788315,192,0.7,30,12,"[0.5709273182957393,0.6842824833788315]",elu,vI4PC,0.004548860661413737,adam,200,162,0.05206517165208005,0.3239341336283166
0.15,0.6728174349193119,155,0.7,30,22,"[0.5989974937343359,0.6728174349193119]",elu,VxX9z,0.0008975637169308131,adam,200,103,0.042307977266892935,0.28636820778015537
0.15,0.711475804703381,165,0.7,30,24,"[0.5834586466165413,0.711475804703381]",elu,OxB41,0.15287709186466125,adam,200,130,0.027061791528560246,0.273734451209102
0.15,0.6585124883286648,124,0.7,30,11,"[0.5563909774436091,0.6585124883286648]",elu,Oy0gu,0.013292765887513344,adam,200,143,0.022075813879507356,0.3119460018152265
0.15,0.6877939704389538,185,0.7,10,17,"[0.5548872180451128,0.6877939704389538]",elu,fguKv,0.02815845631635632,adam,200,120,0.036563608420822485,0.20143814037011987
0.15,0.6452244546448175,143,0.7,30,14,"[0.5904761904761905,0.6452244546448175]",elu,WjlOI,0.0001980577678810627,adam,200,82,0.015853292936258707,0.3637382879225636
0.15,0.6582915915268857,152,0.7,30,33,"[0.5824561403508772,0.6582915915268857]",elu,nbaCz,0.038020103164847684,adam,200,137,0.040122271753489855,0.22837510864083427
0.15,0.6603586394958232,131,0.7,100,20,"[0.5964912280701753,0.6603586394958232]",elu,E9XE9,0.000542432107620496,adam,200,90,0.05126703083594463,0.2489453768824679
0.15,0.6832419243881359,170,0.7,50,15,"[0.574937343358396,0.6832419243881359]",elu,SjJiH,0.0731230584038118,adam,200,66,0.057042875123510015,0.3327573124395202
0.15,0.6220777119441527,199,0.7,30,27,"[0.5,0.6220777119441527]",elu,qkkjF,0.005287306995375477,adam,200,115,0.09173349356253901,0.3818800823328439
0.15,0.6860406002388926,116,0.7,10,18,"[0.561654135338346,0.6860406002388926]",relu,aZ9Py,0.009433475278268509,adam,200,106,0.0327497303231692,0.2610738156013551
0.15,0.5826398023950643,182,0.7,5,12,"[0.5142857142857142,0.5826398023950643]",elu,PDipo,0.0016620748717811604,adam,200,124,0.06812406679242364,0.3567554516286203
0.15,0.65877074847311,102,0.7,70,24,"[0.5624060150375939,0.65877074847311]",tanh,m1T0F,0.32221680843143996,SGD,200,74,0.01847635274060718,0.39339979590291596
0.15,0.7141529256776935,162,0.7,30,10,"[0.5686716791979951,0.7141529256776935]",elu,NSTpq,0.015246473241142752,adam,200,193,0.04795711735627896,0.30362356701698456
0.15,0.724639457497393,200,0.7,30,40,"[0.5473684210526316,0.724639457497393]",elu,eaJXB,0.02217217792432667,adam,200,97,0.01069811665179636,0.3219050458642305
0.15,0.6505390596803315,177,0.7,100,36,"[0.5701754385964912,0.6505390596803315]",elu,LbIFA,0.0023951525644399746,adam,200,153,0.08086252553941228,0.28634715164865104
0.15,0.718177434569996,140,0.7,30,30,"[0.5167919799498747,0.718177434569996]",relu,yO97g,0.00036196017686098477,adam,200,168,0.003907763072042311,0.34361361716399696
0.15,0.48635782228971014,159,0.7,50,19,"[0.6135338345864663,0.48635782228971014]",tanh,AYfbx,4.9720624391637086e-05,SGD,200,84,0.060604016100853975,0.22228796441639975
0.15,0.7264767156862745,150,0.7,30,21,"[0.5263157894736843,0.7264767156862745]",elu,E9f4z,0.003788376980708995,adam,200,109,0.023210180732567164,0.24065033310494952
0.15,0.6588359455624355,126,0.7,5,22,"[0.5418546365914787,0.6588359455624355]",elu,PtWYx,0.003864862021754625,adam,200,63,0.007062222608725903,0.1894169462081885
0.15,0.6318793342235679,98,0.7,10,26,"[0.6015037593984963,0.6318793342235679]",elu,ylPFf,0.00012574290960094792,adam,200,38,0.029665801731846006,0.09043249170958384
0.15,0.6971189774846399,119,0.7,70,13,"[0.5654135338345865,0.6971189774846399]",relu,hKH60,0.0006466583838261311,adam,200,27,0.013929532553651569,0.23610896622939515
0.15,0.44937744123744905,90,0.7,30,32,"[0.47819548872180456,0.44937744123744905]",elu,ccDfj,0.0003060551126805922,SGD,200,55,0.023010144932688326,0.16223193742770795
0.15,0.6666715208810798,113,0.7,30,21,"[0.5393483709273184,0.6666715208810798]",tanh,UXYxk,0.009121723998128647,adam,200,108,0.027656258064540994,0.043493035129441165
0.15,0.7188764880952381,148,0.7,30,17,"[0.5734335839598999,0.7188764880952381]",elu,cXPdG,0.0012552385475633268,adam,200,147,0.0002630095244849865,0.27060921814152195
0.15,0.6356926937441643,62,0.7,100,55,"[0.506265664160401,0.6356926937441643]",elu,fRYLI,0.10101649997436703,adam,200,133,0.017172558300947296,0.1290982618687229
0.15,0.6346618664713423,135,0.7,50,42,"[0.668170426065163,0.6346618664713423]",elu,ukZ7q,0.00208785504356338,SGD,200,158,0.030705270196857978,0.25550909211112705
0.15,0.6957038123167155,96,0.7,5,25,"[0.5393483709273184,0.6957038123167155]",relu,WFwMK,0.003185324242038956,adam,200,92,0.023775412720240537,0.20340923875149405
0.15,0.6006767136942919,106,0.7,30,28,"[0.650375939849624,0.6006767136942919]",elu,DvUQs,1.766543589941179e-05,adam,200,86,0.04110330498540187,0.1764236199140702
0.15,0.7190461376858435,87,0.7,70,11,"[0.5283208020050126,0.7190461376858435]",tanh,cDvDC,0.005576969541316791,adam,200,179,0.011199226307196542,0.29353040376604655
0.15,0.6884166262409337,80,0.7,10,30,"[0.6045112781954888,0.6884166262409337]",elu,cOsUE,0.041118374499022586,adam,200,123,0.008911441334517035,0.3712555221898244
0.15,0.4601374342503375,188,0.7,30,37,"[0.42005012531328323,0.4601374342503375]",elu,ADiyP,8.996302477402211e-05,SGD,200,79,0.019879035541325557,0.21771398382243015
0.15,0.6857925032088449,152,0.7,30,34,"[0.5192982456140351,0.6857925032088449]",elu,pHi0q,0.008418999124643365,adam,200,48,0.0256109753274379,0.24168207889850998
0.15,0.6379921558704453,129,0.7,30,45,"[0.6406015037593985,0.6379921558704453]",relu,IrWXq,3.9123309692554314e-05,adam,200,128,0.04477736299246193,0.30975458545059603
0.15,0.685058994644265,140,0.7,50,15,"[0.5578947368421053,0.685058994644265]",elu,f0TtR,0.00016050046625664768,adam,200,101,0.005285622615312675,0.2676037369301808
0.15,0.7005042700355201,173,0.7,100,61,"[0.536842105263158,0.7005042700355201]",tanh,urki0,0.000994735413480488,adam,200,72,0.013061022210550733,0.3298231981565291
0.15,0.6424893758727492,114,0.7,5,21,"[0.6070175438596491,0.6424893758727492]",elu,Y9GhS,0.023979204239990844,SGD,200,108,0.017217433368634127,0.3176735362344683
0.15,0.6232363608398825,195,0.7,30,23,"[0.5954887218045112,0.6232363608398825]",elu,D8bnT,0.00048213961351788675,adam,200,93,0.053963178011957026,0.35776815758708314
0.15,0.6573236759014925,109,0.7,70,13,"[0.5719298245614036,0.6573236759014925]",elu,oTD0t,0.0014214871467298235,adam,200,137,0.037765744345261976,0.39991071919235943
0.15,0.5023457464140643,50,0.7,30,67,"[0.5162907268170426,0.5023457464140643]",relu,uzaDi,1.3989605944149503e-06,adam,200,162,0.021737448299836773,0.19241800397797265
0.15,0.6861671113930787,121,0.7,10,17,"[0.5508771929824562,0.6861671113930787]",elu,XVUdb,0.05897027312112366,adam,200,114,0.03172532232913128,0.29771235776279936
0.15,0.5457594438603841,158,0.7,30,19,"[0.46992481203007525,0.5457594438603841]",tanh,tw0QJ,8.029353688872737e-06,SGD,200,145,0.03495806809098797,0.3390135076458359
0.15,0.6198791062432004,38,0.7,30,11,"[0.5388471177944864,0.6198791062432004]",elu,zTifA,0.00023992560352572656,adam,200,140,0.002682320490489866,0.285920788554855
0.15,0.623344521402322,70,0.7,100,27,"[0.543859649122807,0.623344521402322]",elu,Q73dG,0.0007518734171805115,adam,200,67,0.007621791026952574,0.15194105876417843
0.15,0.683228552361617,144,0.7,50,50,"[0.5729323308270676,0.683228552361617]",elu,ZYesQ,0.13952291621131904,adam,200,121,0.01562718256248001,0.010764444321702371
0.15,0.6934305598082687,133,0.7,30,23,"[0.5528822055137844,0.6934305598082687]",relu,ijXCe,0.0038981397106072208,adam,200,99,0.02496727619344267,0.38376445764498696
0.15,0.6900269335758333,104,0.7,5,25,"[0.5558897243107769,0.6900269335758333]",elu,Un4Vn,0.014331631914314781,SGD,200,77,5.2531180985193604e-05,0.2511201312451608
0.15,0.5907475490196079,155,0.7,30,40,"[0.5884711779448623,0.5907475490196079]",tanh,SiDNH,0.0004127378836613538,adam,200,111,0.04251259427066015,0.3483064898003803
0.15,0.6879285946897007,169,0.7,70,16,"[0.5764411027568922,0.6879285946897007]",elu,quS3i,0.22954749293129473,adam,200,88,0.046686633230648124,0.1233947779506325
0.15,0.6978463525334331,20,0.7,10,20,"[0.5669172932330827,0.6978463525334331]",elu,Wxlp3,0.007445171634787942,adam,200,134,0.028765713896953798,0.212181117883806
0.15,0.7110733684892571,149,0.7,30,18,"[0.5609022556390977,0.7110733684892571]",elu,uFHv3,0.011487183173074901,adam,200,103,0.03343107744542003,0.26019710842480215
0.15,0.5385745283268503,177,0.7,30,31,"[0.656140350877193,0.5385745283268503]",relu,dmqH7,0.0030437088564749604,SGD,200,175,0.05040671174107092,0.2277030422546707
0.15,0.7436869978400226,163,0.7,100,48,"[0.5624060150375939,0.7436869978400226]",elu,rxEFV,0.03062598563973908,adam,200,151,0.03618506477277907,0.10314651675499875
0.15,0.6995261747492986,183,0.7,100,55,"[0.6333333333333334,0.6995261747492986]",tanh,HHD1A,0.15759116183032257,adam,200,154,0.07784575524938671,0.05819523692334905
0.15,0.6568694047050398,191,0.7,100,47,"[0.605263157894737,0.6568694047050398]",elu,NDWYB,0.03284505998837084,adam,200,187,0.05881495617420024,0.1124998593881834
0.15,0.6499785203081003,164,0.7,100,57,"[0.6080200501253132,0.6499785203081003]",elu,dYPHz,0.37681983646017964,adam,200,191,0.06735479590905852,0.09524037190170549
0.15,0.6124938173996761,172,0.7,100,59,"[0.6506265664160402,0.6124938173996761]",elu,muUql,0.0719187061421551,SGD,200,167,0.05518337411840658,0.04089577350696008
0.15,0.6880699677776725,136,0.7,100,43,"[0.6110275689223058,0.6880699677776725]",relu,LrSnY,0.04420679898988118,adam,200,158,0.03998580115417331,0.03088214019904617
0.15,0.6328746648193462,179,0.7,100,48,"[0.5448621553884712,0.6328746648193462]",elu,pwb08,0.00538227609615129,adam,200,150,0.07154754345556988,0.08574874836864134
0.15,0.7038105937916186,196,0.7,100,52,"[0.5513784461152882,0.7038105937916186]",tanh,mcl9H,0.09308998018331648,adam,200,171,0.04891873659269506,0.1379001125788011
0.15,0.6382463222524891,142,0.7,100,54,"[0.5293233082706766,0.6382463222524891]",elu,r7TjH,0.019339613597302116,adam,200,130,0.08863271554249419,0.08231886943913724
0.15,0.7089231817677051,127,0.7,50,45,"[0.6506265664160401,0.7089231817677051]",elu,DNIED,0.48297270794326397,adam,200,18,0.06279761477484123,0.15948979068988065
0.15,0.6390351025847333,189,0.7,100,65,"[0.6345864661654135,0.6390351025847333]",elu,UjgFt,0.001897261674109829,SGD,200,196,0.06592830611030145,0.10466551674381025
0.15,0.6579720151902847,123,0.7,5,39,"[0.5308270676691729,0.6579720151902847]",elu,aKcSc,0.18905961355784628,adam,200,184,0.03686080486781047,0.07375719607672701
0.15,0.615841781039762,200,0.7,70,50,"[0.5914786967418546,0.615841781039762]",relu,QyaUw,0.11544921087845146,adam,200,180,0.04355303577844685,0.055036033094161066
0.15,0.6435571139346008,185,0.7,10,41,"[0.5969924812030076,0.6435571139346008]",elu,YZxPq,0.00010126071436798789,adam,200,162,0.035002701123836126,0.17010654421809304
0.15,0.6576803172193433,166,0.7,100,59,"[0.6245614035087719,0.6576803172193433]",tanh,O5sQT,2.431382779772394e-05,adam,200,118,0.026563755843029065,0.0005262884852112321
0.15,0.643929273341038,160,0.7,50,36,"[0.6275689223057643,0.643929273341038]",elu,uL5tE,0.025614513961892543,SGD,200,142,0.060766738225786494,0.020042308739058434
0.15,0.5865839834851384,110,0.7,5,46,"[0.5233082706766917,0.5865839834851384]",elu,nt7Kt,0.001166676399894541,adam,200,124,0.07735397487728443,0.11885222903831977
0.15,0.6752302972063724,79,0.7,100,52,"[0.5799498746867169,0.6752302972063724]",elu,OTrUI,0.0527891182356479,adam,200,31,0.053498287583576234,0.3755680200052097
0.15,0.45027680415725957,145,0.7,70,48,"[0.5027568922305765,0.45027680415725957]",relu,sUqT4,3.260901336329973e-06,adam,200,137,0.0838589378927915,0.0755332523315029
0.15,0.6479140964299914,138,0.7,100,63,"[0.5759398496240602,0.6479140964299914]",elu,g4uCq,0.002393366473718704,adam,200,55,0.03955779002001859,0.18204528958316446
0.15,0.4221746957892469,153,0.7,10,61,"[0.5964912280701753,0.4221746957892469]",tanh,EPoUT,6.681798168351098e-05,SGD,200,174,0.09897069580435888,0.008343205424166916
0.15,0.684941392662398,86,0.7,5,42,"[0.5398496240601504,0.684941392662398]",elu,qesBK,0.00023474707801629952,adam,200,147,0.03022479980555871,0.3156930353748342
0.15,0.7301689928845102,118,0.7,50,57,"[0.518796992481203,0.7301689928845102]",elu,nUnUH,0.012393413222022096,adam,200,95,0.010016036185985042,0.1997374568238387
0.15,0.6696485659074041,193,0.7,70,33,"[0.5679197994987468,0.6696485659074041]",elu,ymy49,0.0017094657969924552,adam,200,83,0.0457475650402042,0.05320927319748782
0.15,0.6500744615869523,99,0.7,100,66,"[0.6481203007518797,0.6500744615869523]",relu,kPbKd,0.0005766146933521589,adam,200,63,0.05656322766997669,0.10436600099415336
0.15,0.589621661599417,180,0.7,10,70,"[0.6852130325814537,0.589621661599417]",elu,VlfUy,0.007145782102096245,SGD,200,115,0.01831406648543124,0.33153313279716623
0.15,0.7056206916578434,118,0.7,50,58,"[0.5403508771929826,0.7056206916578434]",elu,aZz0J,0.012356981480263105,adam,200,95,0.009708569339109147,0.1405940269429599
0.15,0.7126663015523903,95,0.7,50,56,"[0.5609022556390977,0.7126663015523903]",elu,scJvg,0.03300833047460471,adam,200,104,0.01266049171011982,0.20352173615856045
0.15,0.6319653600076395,132,0.7,50,53,"[0.5538847117794485,0.6319653600076395]",elu,e6LQ0,0.016730511539725476,adam,200,80,0.014835524539470894,0.14800289041587705
0.15,0.6883800186741363,113,0.7,50,50,"[0.5263157894736843,0.6883800186741363]",elu,fKevY,0.00454867769913123,adam,200,98,0.0009331695455182133,0.1961407003340151
0.15,0.6812111597337991,105,0.7,50,61,"[0.5829573934837092,0.6812111597337991]",elu,u5bG0,0.009736987717326643,adam,200,74,0.02127207516019447,0.27901797210566415
0.15,0.7170621104810679,72,0.7,50,54,"[0.5684210526315789,0.7170621104810679]",elu,vGtkv,0.08125966384484955,adam,200,129,0.006206381769303361,0.306372018453038
0.15,0.6942040021776484,66,0.7,50,63,"[0.5604010025062657,0.6942040021776484]",elu,dgW54,0.005942452800925427,adam,200,121,0.011358137304356267,0.02987527315177385
0.15,0.7059980925677639,91,0.7,50,69,"[0.5348370927318296,0.7059980925677639]",elu,vvHct,0.0009427634862088907,adam,200,90,0.01960328776465549,0.1842679166574277
0.15,0.6677778628320423,84,0.7,50,46,"[0.5644110275689223,0.6677778628320423]",elu,WlZYA,0.019100384476544482,adam,200,107,0.016629394688218946,0.23177692223847676
0.15,0.6717034528601566,126,0.7,50,57,"[0.6010025062656642,0.6717034528601566]",elu,cismD,0.002926203412644888,adam,200,133,0.002925249425535797,0.36242667648071786
0.15,0.6863591269841269,60,0.7,30,49,"[0.544360902255639,0.6863591269841269]",elu,OT4lC,0.013464627584910037,adam,200,114,0.03226889097596887,0.29826873192491205
