batch_size,epochs,regularization,reward,layer_2,activation,intermediate,layer_1,test_frac,trialJobId,train_frac,dropout,learning_rate,optimizer,preweight
10,200,0.09847893156573573,0.5779700179512919,19,elu,"[0.5672619047619047,0.5779700179512919]",116,0.15,NxEJo,0.7,0.2857424131057912,1.9191854710861713e-06,SGD,57
30,200,0.019881930367077184,0.9785070975465817,33,relu,"[0.944047619047619,0.9785070975465817]",15,0.15,J12sf,0.7,0.0801388753465832,0.286978086827473,adam,47
70,200,0.009608769006653105,0.9883408387278358,60,tanh,"[0.9836309523809523,0.9883408387278358]",95,0.15,Aq4g6,0.7,0.3446488817314156,0.000576683863174024,adam,63
100,200,0.03609429778710835,0.5499189966938791,47,elu,"[0.5482142857142857,0.5499189966938791]",132,0.15,sz2iO,0.7,0.18603093458655115,8.137376594019614e-05,SGD,35
30,200,0.03000551925201787,0.9779752848003745,200,relu,"[0.9821428571428571,0.9779752848003745]",57,0.15,A4K7K,0.7,0.12711880939747044,0.0003112541611534121,adam,10
5,200,0.08436266672883608,0.9823705682060206,75,relu,"[0.9714285714285715,0.9823705682060206]",43,0.15,Xz0vZ,0.7,0.30521317070702386,0.10770304356301545,SGD,24
10,200,0.05974238171172133,0.9941813403716774,149,elu,"[0.9764880952380952,0.9941813403716774]",23,0.15,kqih8,0.7,0.32351518926566275,0.005328976612418689,adam,55
10,200,0.07322624014663236,0.9913951040687193,179,elu,"[0.9788690476190476,0.9913951040687193]",24,0.15,yBOek,0.7,0.2276126916618811,0.004462087898836973,adam,54
10,200,0.06138470651253772,0.9941656781765446,151,elu,"[0.9729166666666667,0.9941656781765446]",12,0.15,TjHws,0.7,0.2534004846089711,0.037934384676027055,adam,50
10,200,0.053678076999170626,0.601044138271827,188,elu,"[0.6663690476190477,0.601044138271827]",33,0.15,h01Oe,0.7,0.3174025328340044,2.3208539772594347e-05,SGD,62
10,200,0.058897262154465294,0.9746925267714742,134,elu,"[0.9773809523809524,0.9746925267714742]",40,0.15,eIrV7,0.7,0.2957924818408533,0.0002987882324645635,adam,50
10,200,0.08395717818012009,0.9931192588708899,167,elu,"[0.974702380952381,0.9931192588708899]",75,0.15,ezYCR,0.7,0.2691698903843418,0.0160262800172848,adam,56
100,200,0.06690482266307446,0.9879341478537261,114,elu,"[0.9770833333333334,0.9879341478537261]",23,0.15,EQ3sP,0.7,0.3888093272966864,0.0013210966849219,adam,59
10,200,0.08099624174825111,0.9617918152394097,157,elu,"[0.9633928571428569,0.9617918152394097]",97,0.15,xmbZf,0.7,0.36736649840050417,0.002761362913152628,SGD,70
70,200,0.07467164791255224,0.9842017846749769,149,elu,"[0.9571428571428571,0.9842017846749769]",192,0.15,BofGK,0.7,0.3533173734944295,0.1692756442882428,adam,65
50,200,0.09095592496712583,0.9775218210178049,173,tanh,"[0.9651785714285713,0.9775218210178049]",124,0.15,rFdVw,0.7,0.28266034690874015,0.028514009117263178,adam,31
10,200,0.06914764257459527,0.9848956472434136,142,elu,"[0.9764880952380952,0.9848956472434136]",154,0.15,voOtP,0.7,0.1456572176486852,0.00019783953914734399,adam,42
100,200,0.0033014753832006083,0.5091571417671463,183,elu,"[0.5217261904761904,0.5091571417671463]",101,0.15,uqNZj,0.7,0.3219334340075579,1.301428684281292e-05,SGD,19
5,200,0.049550614560687135,0.9516943128310341,130,tanh,"[0.9148809523809526,0.9516943128310341]",113,0.15,FX3Hn,0.7,0.07931813558160294,0.07997553010172555,adam,68
50,200,0.06523380041903622,0.754343815374251,111,elu,"[0.7889880952380952,0.754343815374251]",37,0.15,IZ4CO,0.7,0.2055476849238614,4.233358629932037e-06,adam,59
10,200,0.06251671123000942,0.9842378389573543,152,elu,"[0.9732142857142858,0.9842378389573543]",12,0.15,GjBcG,0.7,0.25476525813708273,0.04196253500636636,adam,50
10,200,0.060454660409486924,0.9901531403928068,126,elu,"[0.9764880952380952,0.9901531403928068]",46,0.15,QJtL3,0.7,0.24023533146568132,0.01289125785832996,adam,47
10,200,0.04386651518782961,0.9886510228896805,189,elu,"[0.9773809523809524,0.9886510228896805]",21,0.15,w9DWH,0.7,0.21534694058445725,0.004898437552661731,adam,55
10,200,0.057087546083400505,0.9915776477949233,164,elu,"[0.9779761904761906,0.9915776477949233]",10,0.15,LktGl,0.7,0.25817918838060144,0.0080449034986507,adam,41
10,200,0.03334379486827414,0.9878824446350356,141,elu,"[0.975,0.9878824446350356]",57,0.15,mofvB,0.7,0.17114458107289166,0.040284613418723934,adam,51
10,200,0.0715274841171609,0.9730471126557825,103,elu,"[0.7044642857142858,0.9730471126557825]",70,0.15,Nfd9E,0.7,0.27604027167268463,0.14613423780270063,adam,44
10,200,0.03879031664275656,0.9839668891480038,194,elu,"[0.6580357142857143,0.9839668891480038]",26,0.15,tCfJ3,0.7,0.37117634189243964,0.3259082322143908,adam,39
10,200,0.049464972811602406,0.9875976899477511,174,elu,"[0.980952380952381,0.9875976899477511]",88,0.15,VPaeu,0.7,0.23455053549821706,0.0021818383036834865,adam,48
70,200,0.08907128624171218,0.9823075145043108,154,elu,"[0.9699404761904763,0.9823075145043108]",82,0.15,mLjnh,0.7,0.3457350710874925,0.02273426423978547,adam,52
50,200,0.05407484105721949,0.987076299828016,86,tanh,"[0.9568452380952381,0.987076299828016]",139,0.15,v1Gou,0.7,0.32805567618428877,0.0655493906273366,adam,35
5,200,0.045395327789014124,0.996833907902143,146,elu,"[0.975297619047619,0.996833907902143]",18,0.15,GesuH,0.7,0.2961159431717327,0.006642361284718441,adam,58
5,200,0.028010179998573595,0.9774780407130679,136,elu,"[0.9809523809523808,0.9774780407130679]",29,0.15,LVqda,0.7,0.3014025313356781,4.066782690824524e-05,adam,64
5,200,0.016182302909234697,0.9925343155869472,117,relu,"[0.9824404761904763,0.9925343155869472]",19,0.15,QM2cB,0.7,0.38806272530013586,0.001206087903617863,adam,58
5,200,0.04434215743612986,0.9870969584699563,145,tanh,"[0.9830357142857145,0.9870969584699563]",48,0.15,fE8hu,0.7,0.3118512265973304,0.0009392182680514984,adam,61
5,200,0.047371667637968795,0.9157159618794705,160,relu,"[0.8988095238095237,0.9157159618794705]",56,0.15,ylxzF,0.7,0.3564323792534019,0.000492600415803807,SGD,55
5,200,0.03161926731923889,0.9960752294488093,125,elu,"[0.9806547619047619,0.9960752294488093]",32,0.15,XLbqi,0.7,0.3770128978888303,0.0038145583727083546,adam,46
5,200,0.03193566702706651,0.9864703396093892,126,relu,"[0.9824404761904763,0.9864703396093892]",67,0.15,eboxE,0.7,0.38169567419616995,0.0036803735984656766,adam,45
5,200,0.024969112657955803,0.9879395681717662,105,elu,"[0.987797619047619,0.9879395681717662]",62,0.15,sc5Ob,0.7,0.34672925322933107,0.0018164251767517328,adam,42
5,200,0.022002317920454165,0.9880654204681665,79,relu,"[0.9791666666666667,0.9880654204681665]",52,0.15,uuHfe,0.7,0.39844641620581345,0.006955594124504864,adam,39
5,200,0.017876384264921278,0.9609814947032621,87,elu,"[0.9580357142857142,0.9609814947032621]",33,0.15,oSAnC,0.7,0.3634860015624152,0.000713291813216113,SGD,33
5,200,0.011861230524497359,0.9826610644257704,99,tanh,"[0.9848214285714285,0.9826610644257704]",79,0.15,tRrLM,0.7,0.37515899043850043,0.0002188333132921759,adam,46
5,200,0.03606831591717304,0.9955060208283598,94,relu,"[0.9747023809523808,0.9955060208283598]",37,0.15,NvmBc,0.7,0.3343722935908431,0.016848943551345013,adam,37
30,200,0.04048308061283416,0.9879738460116034,137,elu,"[0.9824404761904763,0.9879738460116034]",110,0.15,Y5j4n,0.7,0.2959251488483035,0.0025240069385084464,adam,53
5,200,0.02595756251628785,0.9956660425767978,112,relu,"[0.987797619047619,0.9956660425767978]",71,0.15,uBmpW,0.7,0.19076460885379593,0.010108797999919499,SGD,49
30,200,0.006152664524546297,0.9864177575818976,126,elu,"[0.9107142857142858,0.9864177575818976]",45,0.15,J8mDq,0.7,0.030046704212291997,0.23020422077253,adam,29
100,200,0.0513345019912147,0.956654443636537,67,tanh,"[0.9526785714285715,0.956654443636537]",15,0.15,IZPfe,0.7,0.39906981533758085,7.721059082910415e-05,adam,43
5,200,0.03560561531600659,0.984522237308615,168,elu,"[0.9824404761904763,0.984522237308615]",100,0.15,gQugE,0.7,0.31484186959721555,0.00012774096459070112,adam,57
70,200,0.02242832937265394,0.9135706201955734,31,relu,"[0.5988095238095238,0.9135706201955734]",91,0.15,wSUeQ,0.7,0.2728146632017145,0.4849037416352996,adam,25
30,200,0.02886677400359209,0.9444248434177457,145,elu,"[0.9330357142857142,0.9444248434177457]",60,0.15,lyN07,0.7,0.05863757771784825,0.0017208123287321552,SGD,63
5,200,0.037551008594377516,0.9867593779771692,20,relu,"[0.9791666666666666,0.9867593779771692]",40,0.15,hqF4i,0.7,0.3907587571305754,0.00034458859043485406,adam,46
50,200,0.03999849372322487,0.9928026885395307,56,elu,"[0.9773809523809526,0.9928026885395307]",54,0.15,hVJaw,0.7,0.34142117493312807,0.014531457824044079,adam,53
30,200,0.013650582746497296,0.9911374079174591,107,relu,"[0.9851190476190477,0.9911374079174591]",84,0.15,xbL77,0.7,0.2241326789101963,0.0008059099410632808,adam,66
100,200,0.042879052454925196,0.9705693110366459,71,tanh,"[0.9645833333333333,0.9705693110366459]",75,0.15,rp9ap,0.7,0.1525737771102588,0.022977400411415067,SGD,32
5,200,0.0313006493068614,0.9935962667469518,123,elu,"[0.9833333333333334,0.9935962667469518]",30,0.15,lqsNZ,0.7,0.2817716337748044,0.0036289343942860113,adam,22
70,200,0.04621886108472894,0.9794403884655845,178,elu,"[0.9854166666666666,0.9794403884655845]",65,0.15,iuWMI,0.7,0.24592812457329027,0.006250622834981015,adam,51
30,200,0.01932437416824893,0.9892517231759062,117,relu,"[0.9779761904761906,0.9892517231759062]",50,0.15,uYOTv,0.7,0.2628139560089484,0.05653964683528833,adam,40
5,200,0.05247566202312523,0.994599101496403,96,elu,"[0.9735119047619047,0.994599101496403]",20,0.15,fM8Ac,0.7,0.3752519484659343,0.01063235196032095,adam,36
5,200,0.04863472053452154,0.9863839215155004,89,relu,"[0.9779761904761906,0.9863839215155004]",171,0.15,CmTU0,0.7,0.32952997970112063,0.031172388508026182,SGD,48
50,200,0.008601274650654418,0.9942398816540694,82,elu,"[0.9880952380952379,0.9942398816540694]",45,0.15,Imjkl,0.7,0.35057938332910665,0.0003946531519866362,adam,60
30,200,0.00034950490960453107,0.9599047495454416,133,tanh,"[0.9098214285714284,0.9599047495454416]",123,0.15,tuExh,0.7,0.09849224463864908,0.11893480081867303,adam,43
100,200,0.05687047425516134,0.9710739153160745,63,elu,"[0.9726190476190476,0.9710739153160745]",79,0.15,SbKPH,0.7,0.3617657601724284,0.00025793816359150296,adam,70
70,200,0.0031601695814808158,0.986519605730132,37,relu,"[0.9797619047619047,0.986519605730132]",27,0.15,qFuMJ,0.7,0.0008880985779930461,0.09380324675854516,adam,34
5,200,0.02665520039002317,0.9942095968822311,197,elu,"[0.9860119047619047,0.9942095968822311]",16,0.15,ZrUJa,0.7,0.292110202551619,0.0006222884535912667,adam,56
30,200,0.09824008576187046,0.590563489212857,155,elu,"[0.5898809523809524,0.590563489212857]",33,0.15,Dt3w5,0.7,0.30185335897124554,3.5399378521407534e-05,SGD,68
5,200,0.034143749838538365,0.9754202683572633,130,relu,"[0.975297619047619,0.9754202683572633]",92,0.15,tbT2E,0.7,0.3811896649613783,1.6356804128025303e-05,adam,27
50,200,0.06353273200260093,0.9929970755197616,50,tanh,"[0.9800595238095238,0.9929970755197616]",41,0.15,HTjEE,0.7,0.39283274483181724,0.0010550556457153244,adam,58
30,200,0.06860943495440862,0.9715979374255745,116,elu,"[0.9714285714285713,0.9715979374255745]",10,0.15,yxuiY,0.7,0.18205076383906932,8.230206726504073e-05,adam,15
100,200,0.017816227863413435,0.9881174199409493,160,relu,"[0.9839285714285714,0.9881174199409493]",160,0.15,m73U4,0.7,0.1373266140669383,0.003587147854314337,adam,41
5,200,0.04526597376700602,0.9855086877272232,102,elu,"[0.9794642857142858,0.9855086877272232]",37,0.15,NB4xk,0.7,0.3200492005952673,0.018032337444345115,SGD,38
70,200,0.0386422961743214,0.9898704027759082,192,elu,"[0.9818452380952382,0.9898704027759082]",62,0.15,gcKav,0.7,0.218119427958334,0.00919385210150811,adam,54
5,200,0.023344697834881266,0.9989208281295289,178,relu,"[0.9830357142857142,0.9989208281295289]",68,0.15,fIxjc,0.7,0.3676159032763783,0.006167414743392956,adam,45
5,200,0.014612547207549738,0.9894842074760939,183,tanh,"[0.9830357142857142,0.9894842074760939]",130,0.15,n9BHU,0.7,0.20314089169096713,0.0015004940811428093,adam,47
5,200,0.010896185876145353,0.9921303485162181,139,relu,"[0.981547619047619,0.9921303485162181]",58,0.15,hIvFZ,0.7,0.3700357523569381,0.0023847428313949455,adam,51
5,200,0.021179743494504757,0.9502564644314987,176,elu,"[0.9440476190476191,0.9502564644314987]",104,0.15,ZoMwT,0.7,0.3348333595900408,3.6345927083553635e-06,adam,62
5,200,0.0326285931014897,0.9779334532856204,147,elu,"[0.9767857142857143,0.9779334532856204]",136,0.15,JjVjq,0.7,0.2784432032517158,0.0057969998013866,SGD,19
5,200,0.023456680422576082,0.9831313451275715,166,relu,"[0.8440476190476189,0.9831313451275715]",53,0.15,KFhus,0.7,0.3083790103234629,0.048423285306774935,adam,11
5,200,0.02968873089303701,0.9907833686153179,169,elu,"[0.9869047619047621,0.9907833686153179]",68,0.15,lPtbk,0.7,0.23363453717313457,0.004344610809930695,adam,31
5,200,0.0058837031353042545,0.9640124510215744,161,tanh,"[0.9279761904761905,0.9640124510215744]",148,0.15,wao8L,0.7,0.35917818720851663,0.07125701047934292,adam,49
5,200,0.0543322894279476,0.9778320104299659,200,relu,"[0.9794642857142858,0.9778320104299659]",13,0.15,FjYL7,0.7,0.25980842840622,0.00017274772598143274,adam,44
5,200,0.013219016277684863,0.9913502367870386,143,elu,"[0.9842261904761905,0.9913502367870386]",24,0.15,iXiMl,0.7,0.2872996625980251,0.028276159829961123,SGD,58
50,200,0.00841093586531826,0.9865518869637862,182,elu,"[0.9851190476190477,0.9865518869637862]",74,0.15,rhmOD,0.7,0.3518411134652253,0.0005271465745398465,adam,54
5,200,0.01717978367135166,0.9944498944820757,171,relu,"[0.9800595238095238,0.9944498944820757]",49,0.15,w65ns,0.7,0.15881355616210932,0.012184740138467839,adam,66
100,200,0.02444406166412593,0.9867435256683521,121,elu,"[0.9723214285714287,0.9867435256683521]",28,0.15,SCspx,0.7,0.33919901367465793,0.25932439226134846,adam,39
5,200,0.041219784860889355,0.8734377703324532,156,tanh,"[0.665327380952381,0.8734377703324532]",183,0.15,IZQaU,0.7,0.29769514628280397,0.3505673444834786,adam,36
70,200,0.0036180912307688003,0.8967726545029177,151,relu,"[0.8767857142857143,0.8967726545029177]",83,0.15,sFhcC,0.7,0.2442813285400995,0.002949053050340314,SGD,52
5,200,0.05886115264976222,0.9843342216148081,189,elu,"[0.9824404761904763,0.9843342216148081]",19,0.15,MEUBD,0.7,0.3283309447472572,0.006247824042817287,adam,64
5,200,0.0767724812761878,0.9747965307448065,163,elu,"[0.9086309523809524,0.9747965307448065]",112,0.15,FXD49,0.7,0.3146536051931132,0.13987318415493774,adam,47
50,200,0.019302139426809355,0.9739140690861635,111,relu,"[0.974404761904762,0.9739140690861635]",43,0.15,CX75R,0.7,0.38586781057077923,9.989067117797157e-05,adam,56
5,200,0.035960021809477556,0.9896200196698889,139,elu,"[0.9639880952380953,0.9896200196698889]",31,0.15,wyIjw,0.7,0.3637905292591331,0.035985056619115836,adam,45
100,200,0.028598771304096743,0.7706211345227364,194,tanh,"[0.8580357142857142,0.7706211345227364]",98,0.15,fweaO,0.7,0.3993598918929264,0.0011915061408232887,SGD,60
5,200,0.04264669043640207,0.9847771450517445,133,relu,"[0.98125,0.9847771450517445]",38,0.15,OlQC1,0.7,0.013434344799511222,0.0016986236765664676,adam,50
70,200,0.030534006252993847,0.9893258582051938,128,elu,"[0.9836309523809523,0.9893258582051938]",66,0.15,t5kxI,0.7,0.3726542129551294,0.021549880399474128,adam,41
5,200,0.05042163299158414,0.99677226150999,180,elu,"[0.9818452380952382,0.99677226150999]",86,0.15,jRfJT,0.7,0.26715079093178307,0.007526429262318384,adam,34
5,200,0.05187067827451135,0.992769274254832,186,relu,"[0.981547619047619,0.992769274254832]",146,0.15,mVb26,0.7,0.2670130779308139,0.000831879831501123,adam,34
50,200,0.07400303266687336,0.6413290870742668,179,elu,"[0.6782738095238094,0.6413290870742668]",102,0.15,qdj7R,0.7,0.2525272836958025,5.656069382706466e-05,SGD,23
5,200,0.08156149789821016,0.9176902141434926,200,tanh,"[0.7232142857142858,0.9176902141434926]",124,0.15,XoChf,0.7,0.17551232124351296,0.19741420752758787,adam,28
100,200,0.06547262483482244,0.9877575575788532,174,relu,"[0.9779761904761906,0.9877575575788532]",116,0.15,xKjeC,0.7,0.19694578074282498,0.008314759998842684,adam,17
5,200,0.07012130150580194,0.9830896158477259,197,elu,"[0.9770833333333334,0.9830896158477259]",88,0.15,lN9In,0.7,0.22945966091881745,0.000410751849611713,adam,31
70,200,0.04931690876260208,0.9894144997189673,184,elu,"[0.9726190476190476,0.9894144997189673]",95,0.15,N7HrL,0.7,0.24073312796019072,0.047070535630402165,adam,30
5,200,0.06736060921093859,0.9746171753494408,192,relu,"[0.9732142857142858,0.9746171753494408]",108,0.15,XItmB,0.7,0.20971821384765404,0.013253492707160763,SGD,33
5,200,0.04595979219746541,0.9925120683069466,158,elu,"[0.9797619047619047,0.9925120683069466]",77,0.15,npCVu,0.7,0.2761310922540001,0.0029470976042287158,adam,43
5,200,0.02700490104837934,0.9996416657248248,151,elu,"[0.9845238095238095,0.9996416657248248]",91,0.15,JGjii,0.7,0.34641688391988934,0.004519748365704338,adam,25
5,200,0.02672533168803419,0.9842966143950125,165,elu,"[0.9833333333333334,0.9842966143950125]",115,0.15,b1fsk,0.7,0.28681679281363315,0.004812105775659156,adam,25
5,200,0.03506366557827315,0.9758696800779377,149,elu,"[0.8711309523809524,0.9758696800779377]",92,0.15,Wfyiz,0.7,0.3102216138012459,0.09210868048541108,adam,23
5,200,0.05822358643783457,0.9918893748153934,170,elu,"[0.9776785714285715,0.9918893748153934]",120,0.15,kruZd,0.7,0.324411601477382,0.007351164158156496,adam,22
5,200,0.055713908042376886,0.9865213434656159,154,elu,"[0.9672619047619048,0.9865213434656159]",72,0.15,VtM54,0.7,0.342422015161242,0.017053237818160958,adam,20
5,200,0.0609268796001195,0.9760759606526197,175,elu,"[0.9791666666666667,0.9760759606526197]",105,0.15,VfOZj,0.7,0.2684258655091893,0.0021030223130722617,adam,14
5,200,0.03985447313467612,0.993632219174015,179,elu,"[0.9791666666666667,0.993632219174015]",135,0.15,BoZSt,0.7,0.3064266534423505,0.0014054253016534046,adam,17
5,200,0.03793849721880736,0.9964365907817342,188,elu,"[0.9702380952380952,0.9964365907817342]",87,0.15,jcm3I,0.7,0.29847774956492273,0.02898409796758876,adam,26
5,200,0.015391462615021492,0.9936051023280126,181,elu,"[0.9869047619047618,0.9936051023280126]",108,0.15,jpdDz,0.7,0.3191052530527816,0.0009636589499776958,adam,30
5,200,0.0430620797623624,0.9814594246982289,171,elu,"[0.9806547619047619,0.9814594246982289]",129,0.15,J0Snm,0.7,0.22000878632380244,0.0006657457107242538,adam,29
50,200,0.04778946857146106,0.99259920051589,144,elu,"[0.9764880952380952,0.99259920051589]",78,0.15,th4Cw,0.7,0.2919316183815364,0.021777910014491617,adam,20
