reward,batch_size,regularization,train_frac,epochs,preweight,test_frac,layer_2,trialJobId,learning_rate,dropout,optimizer,layer_1,activation,intermediate
0.6150112419004984,50,0.06056689035052444,0.7,200,27,0.15,176,fGOK4,0.23816936492040633,0.22676438858682652,adam,127,relu,"[0.5053571428571428,0.6150112419004984]"
0.48389821674670275,50,0.011218794508480168,0.7,200,55,0.15,40,HMGXl,1.7600940072347616e-06,0.2009270791928541,SGD,55,tanh,"[0.47857142857142865,0.48389821674670275]"
0.6315409473625752,5,0.056660583317505946,0.7,200,66,0.15,155,KXDa9,0.0018411929281524182,0.17390823335854835,SGD,27,elu,"[0.4904761904761904,0.6315409473625752]"
0.8243614960859377,70,0.0699206425886703,0.7,200,46,0.15,36,eHvV1,0.38865949332979144,0.2618746284042251,adam,20,tanh,"[0.5514880952380953,0.8243614960859377]"
0.9176682466459909,70,0.053569327334041156,0.7,200,46,0.15,30,ZJLU8,0.0002501401081754867,0.02581273174975727,adam,66,relu,"[0.850595238095238,0.9176682466459909]"
0.8456986302694961,70,0.0033422234676711796,0.7,200,57,0.15,32,MGwZc,0.04240644105735422,0.04102697103090467,adam,93,tanh,"[0.4351190476190476,0.8456986302694961]"
0.6899615036990111,100,0.051086840468399376,0.7,200,24,0.15,55,Unc9Z,0.03084179235248843,0.13876705986827612,SGD,93,relu,"[0.5904761904761905,0.6899615036990111]"
0.56606901967411,100,0.03137632138317492,0.7,200,67,0.15,137,A85UW,0.4541936468167534,0.07434384358074135,adam,85,relu,"[0.5,0.56606901967411]"
0.8816408363930199,30,0.029427133087751134,0.7,200,48,0.15,85,VTxeK,0.0029418913872210537,0.3348299745279184,SGD,33,tanh,"[0.8696428571428572,0.8816408363930199]"
0.9007009230218227,5,0.05248703475656498,0.7,200,12,0.15,46,MAcWF,0.0024092330822612397,0.09736830881848096,adam,108,elu,"[0.8339285714285714,0.9007009230218227]"
0.8762510657824365,70,0.02904586021842095,0.7,200,38,0.15,133,HZvGw,0.0028566305058456746,0.21202205464950527,adam,120,elu,"[0.8613095238095237,0.8762510657824365]"
0.8913640607713675,70,0.0885096808371244,0.7,200,22,0.15,175,IdHbX,4.589044738058962e-05,0.3063327779874306,adam,145,elu,"[0.8625,0.8913640607713675]"
0.4451978834631759,10,0.07071385866897403,0.7,200,11,0.15,41,NKJma,1.1158133056040618e-06,0.36864166250238944,SGD,46,tanh,"[0.4267857142857142,0.4451978834631759]"
0.8664483915123325,100,0.013546502727779686,0.7,200,28,0.15,63,EBCJ3,0.013126600947414618,0.07269022359481525,adam,53,tanh,"[0.47886904761904764,0.8664483915123325]"
0.49891232696110743,5,0.03784912050555659,0.7,200,63,0.15,81,WtNdP,0.09724014364704982,0.35774791388094307,SGD,40,relu,"[0.5,0.49891232696110743]"
0.8940097780891719,50,0.09287898687424455,0.7,200,42,0.15,135,GXfCk,0.010303279784976643,0.32138559456508675,adam,74,tanh,"[0.7321428571428571,0.8940097780891719]"
0.8422780605657773,70,0.029589609156344454,0.7,200,37,0.15,115,J7bXi,2.6721051809059055e-06,0.2674415269559206,adam,31,tanh,"[0.8357142857142856,0.8422780605657773]"
