,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
LixAr,0.09995647715732524,50.0,0.11505945681314295,adam,tanh,0.03971720833646952,153.0,128.0,0.7,0.15,200.0,62.0,0.7772884959537034,0.12332995623685486,0.5083333333333334,0.2329534078940102
guAwv,0.12691848800147137,30.0,0.14852692457363656,SGD,relu,0.005061057323449691,147.0,139.0,0.7,0.15,200.0,25.0,0.6713696145124717,0.19158299537646917,0.6827380952380953,0.18294350174283852
n3bKV,4.6187197502360505e-05,70.0,0.29554212212478,adam,tanh,0.09780682596898307,48.0,113.0,0.7,0.15,200.0,62.0,0.6530408163265305,0.1511105038866541,0.6922619047619049,0.13734530568314768
Sn8UC,0.00014034073727935766,100.0,0.19196505620747548,SGD,tanh,0.08199372000552903,141.0,99.0,0.7,0.15,200.0,49.0,0.5630680959252388,0.08321542852297967,0.5613095238095238,0.1692204431799618
SAPU8,0.00010487143174454687,5.0,0.1661485590376156,adam,elu,0.027139179688255056,160.0,33.0,0.7,0.15,200.0,21.0,0.8739620197138368,0.04922556380709856,0.8648809523809524,0.021634264101650282
HhuDR,0.01220965365828722,70.0,0.3470533350489618,adam,relu,0.009800045017114047,167.0,48.0,0.7,0.15,200.0,66.0,0.701120640984788,0.18372135618726118,0.6550595238095238,0.16323231335609611
hZoUP,0.09763903663257716,30.0,0.07215004233047183,SGD,tanh,0.012398683334417848,113.0,67.0,0.7,0.15,200.0,28.0,0.8818508225985431,0.0476900776194856,0.869047619047619,0.037267799624996455
A0ckC,0.003488589329977412,5.0,0.3548666512863361,adam,elu,0.08475975767601175,172.0,77.0,0.7,0.15,200.0,63.0,0.8813051434124514,0.05272769316324691,0.6026785714285714,0.14550649721332892
NwmSJ,0.017253958360529485,30.0,0.33929437097985315,SGD,tanh,0.05515396710236597,48.0,28.0,0.7,0.15,200.0,35.0,0.7292793017299427,0.1234672775871072,0.780952380952381,0.12950498812830868
oNRAf,0.01785638025289188,50.0,0.1583936750396132,adam,elu,0.06267063384895509,196.0,12.0,0.7,0.15,200.0,49.0,0.8665604538846907,0.0772438609966633,0.7860119047619047,0.13224771954705616
zYyTl,0.0011896194272456686,30.0,0.12913452723005978,SGD,elu,0.04538362057905213,158.0,137.0,0.7,0.15,200.0,13.0,0.5098627243569757,0.13977919200575697,0.6047619047619047,0.14131609283884866
XZ03v,0.05691861438999389,100.0,0.28963142619054477,SGD,relu,0.03673950300483513,38.0,39.0,0.7,0.15,200.0,21.0,0.6288561996080166,0.16523816844676856,0.6244047619047619,0.1527907900045159
c5XaH,0.00745789375950656,70.0,0.22155108144118213,adam,elu,0.07875044299066546,135.0,84.0,0.7,0.15,200.0,67.0,0.8902888153944055,0.04665740465233053,0.7898809523809524,0.14421600744272836
VEQT4,4.448460280484174e-05,10.0,0.05216156877329654,adam,tanh,0.04437993444015253,189.0,126.0,0.7,0.15,200.0,48.0,0.8653712716662365,0.058856822698236146,0.8535714285714284,0.008074202360863451
FUBXi,0.03322071717281522,100.0,0.20249109499235574,SGD,tanh,0.07424071175489085,138.0,183.0,0.7,0.15,200.0,66.0,0.7215002449498286,0.12422971582488998,0.7726190476190475,0.10587209371103119
vA3tM,0.0007447417679930969,70.0,0.2820277648084661,adam,elu,0.015276144097568601,171.0,197.0,0.7,0.15,200.0,27.0,0.8135407852111962,0.19118135962876953,0.8113095238095239,0.09213893494789992
XjrMp,3.122328184957016e-05,5.0,0.20617055274695076,adam,relu,0.08746342147575681,124.0,114.0,0.7,0.15,200.0,13.0,0.608562358276644,0.13676554564454474,0.644047619047619,0.17693295936270192
h1Aot,0.11196852601707151,30.0,0.037790907406759326,adam,elu,0.031183138025822333,32.0,43.0,0.7,0.15,200.0,52.0,0.812283166403855,0.11226478486536438,0.749702380952381,0.111091666736832
nW8ej,0.005836801624537663,50.0,0.2540716841047237,SGD,elu,0.08969070007931111,124.0,17.0,0.7,0.15,200.0,18.0,0.5595179292659139,0.18405675957126558,0.65,0.14496950183602422
dQH9j,9.766230319283555e-06,5.0,0.09281051847922357,adam,relu,0.07868024929999755,27.0,158.0,0.7,0.15,200.0,32.0,0.7273023676322209,0.1605172423064409,0.6970238095238095,0.1301504122874534
nmKO5,2.2867350661312036e-05,30.0,0.2561921279132033,SGD,relu,0.08010764201986505,44.0,188.0,0.7,0.15,200.0,38.0,0.441312358276644,0.06526502219393247,0.5077380952380952,0.08514401898110031
RiyaG,0.27030390259371107,50.0,0.33865814418779966,adam,relu,0.059189080298573615,85.0,39.0,0.7,0.15,200.0,55.0,0.4786219083546294,0.04293828075950901,0.5,0.0
H0OXR,1.395559041983722e-06,70.0,0.024084481082460044,adam,relu,0.019161369976374354,55.0,12.0,0.7,0.15,200.0,47.0,0.4855527210884354,0.06060319324584945,0.5863095238095237,0.15780546629551132
TqKZr,2.969346024547503e-05,5.0,0.3210016211337864,adam,tanh,0.021372467775250283,95.0,101.0,0.7,0.15,200.0,57.0,0.8186134531518435,0.07363884214654909,0.8321428571428571,0.042240940474309936
TGxSJ,0.006451805664159608,5.0,0.3159484777561754,SGD,elu,2.5888922175787423e-05,104.0,195.0,0.7,0.15,200.0,39.0,0.7908038335490429,0.11609821845757952,0.8327380952380953,0.09153709147469269
WJYRe,2.1695816321736835e-06,10.0,0.36705923301215004,SGD,relu,0.01899718410683863,144.0,178.0,0.7,0.15,200.0,35.0,0.5111836734693879,0.04813059518595818,0.5202380952380953,0.12452289902243834
K8Iqy,0.0005125335334447087,30.0,0.033814504671850855,adam,tanh,0.03894447556625727,106.0,48.0,0.7,0.15,200.0,59.0,0.8534979962074255,0.10609092249777341,0.8285714285714286,0.08967375992984039
NAcws,0.22795365556976066,100.0,0.3653889849889494,SGD,tanh,0.04541179634217826,141.0,56.0,0.7,0.15,200.0,27.0,0.8497507230739687,0.06176279051831732,0.855952380952381,0.02126258464225209
SJHar,0.11769477262679967,70.0,0.05902872132882813,adam,elu,0.08802249794261663,17.0,27.0,0.7,0.15,200.0,15.0,0.8343193031144003,0.08603442094579494,0.7297619047619047,0.09781484429355462
BL7f9,0.00021919852243639036,100.0,0.008843218835444455,adam,tanh,0.028055722279441277,28.0,163.0,0.7,0.15,200.0,60.0,0.8001079457376538,0.08679020728003854,0.8309523809523809,0.03218691865379946
RVlpH,1.2819013707650788e-05,5.0,0.14360079222720565,SGD,tanh,0.08786863757827937,181.0,195.0,0.7,0.15,200.0,23.0,0.3667454133168419,0.15624896442757075,0.5285714285714287,0.13578214677644462
Yghlv,0.0020110932849069073,100.0,0.37422798038881133,SGD,elu,0.04952383949065456,66.0,197.0,0.7,0.15,200.0,29.0,0.44485043764560084,0.13948817672460703,0.5547619047619047,0.11660591226653216
FW5hk,0.00041770481868544455,100.0,0.1813472894824344,SGD,elu,0.01539520554383933,14.0,186.0,0.7,0.15,200.0,11.0,-1,-1,-1,-1
EajsW,0.09560488137838767,70.0,0.22551035452406243,adam,tanh,0.08684626703336326,142.0,113.0,0.7,0.15,200.0,45.0,0.7726777426133181,0.16862564411072728,0.5613095238095238,0.16144125705177736
Oayaf,0.006093702091701392,50.0,0.22818854788977105,adam,tanh,0.021249186823975454,56.0,157.0,0.7,0.15,200.0,62.0,0.8372462677331185,0.07400516284477165,0.8464285714285713,0.014773421007131969
KIGms,0.0009690174022447072,30.0,0.04085210716400254,adam,tanh,0.0651527404465419,199.0,52.0,0.7,0.15,200.0,70.0,0.8810477368186831,0.06304837841653332,0.7872023809523809,0.1339037675444012
HZ0HT,0.34796788134080725,100.0,0.1636022105117789,SGD,relu,0.0628789147467615,146.0,21.0,0.7,0.15,200.0,14.0,0.71696978286264,0.13428597707523088,0.7056547619047618,0.15070489373053242
YW6Bp,1.5851846901304258e-05,30.0,0.2639443008492995,SGD,elu,0.08034307307790724,125.0,146.0,0.7,0.15,200.0,25.0,0.4837446427753022,0.11837726274585866,0.5875,0.09974634780395097
