,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
qbCZW,2.8702009470762967e-06,10.0,0.37584514887123777,adam,relu,0.0066953705813384895,16.0,42.0,0.7,0.15,200.0,0.6761369438308781,0.1316461053810091,0.6767857142857143,0.13106191306664702
bE22w,3.342915404833059e-05,100.0,0.14795312459915497,SGD,relu,0.06092444704653696,70.0,100.0,0.7,0.15,200.0,0.4428180272108843,0.12217464170368271,0.5392857142857143,0.15370979370317336
biEvJ,0.1645583040521371,10.0,0.11352270701356809,SGD,elu,0.052600874284104475,140.0,46.0,0.7,0.15,200.0,0.8824607951553901,0.042453023820538824,0.8630952380952379,0.017045025075328988
mQ3pV,0.0012691727453896058,5.0,0.18232031234784596,adam,elu,0.05303414179042853,28.0,29.0,0.7,0.15,200.0,0.8899537083916627,0.06395996573157332,0.8720238095238095,0.02906932249303518
w2XsO,0.34692168592428696,100.0,0.07585592456131712,adam,relu,0.09875166193841563,73.0,199.0,0.7,0.15,200.0,0.7466040242440897,0.13132552394846495,0.5663690476190475,0.14665131384162203
wYcWB,0.02361733137740418,70.0,0.020443362906415442,SGD,tanh,0.03859767694792829,38.0,17.0,0.7,0.15,200.0,0.8316984869270782,0.08364610890660379,0.8499999999999999,0.01570345947413442
dGWkZ,6.336353458911645e-05,70.0,0.04164574534748016,SGD,tanh,0.071098915847495,198.0,18.0,0.7,0.15,200.0,0.38958994708994704,0.17354442801001493,0.5255952380952381,0.12830246337792406
crhQQ,6.043390420131446e-06,5.0,0.2088332674141584,SGD,relu,0.0036977902174429866,198.0,52.0,0.7,0.15,200.0,0.5437654263725693,0.10166131063809049,0.5422619047619047,0.10424146974024033
Xo6Dj,7.042479330325916e-05,50.0,0.02789857451158766,adam,relu,0.02128080104694068,115.0,137.0,0.7,0.15,200.0,0.8181352060124361,0.08021657810823919,0.8583333333333334,0.014035507288751926
jKiIP,0.14996703228364053,50.0,0.2109590040818759,adam,elu,0.0037964459901876912,181.0,158.0,0.7,0.15,200.0,0.8191136067579835,0.11942556480902872,0.7050595238095239,0.1473406673344698
URNex,9.745759141606845e-06,70.0,0.3103942457381796,SGD,tanh,0.06878480482439381,47.0,53.0,0.7,0.15,200.0,0.5372445672276516,0.18751050278881257,0.5458333333333333,0.17403055906227605
cGSDb,9.908151404238553e-05,50.0,0.12410056557653998,adam,tanh,0.04474664192171687,14.0,176.0,0.7,0.15,200.0,0.8336525766643381,0.07485782290910373,0.8345238095238094,0.03946567727202564
WjOYR,0.005810806038437179,50.0,0.3025272835875364,SGD,tanh,0.030121902320482487,189.0,191.0,0.7,0.15,200.0,0.81286014556637,0.06838558826435621,0.8410714285714287,0.029166666666666653
OUYbc,0.008328556321804258,5.0,0.02964795418146129,SGD,relu,0.0042646666891168585,177.0,151.0,0.7,0.15,200.0,0.8830892427837057,0.06417232320760664,0.8738095238095237,0.00952380952380949
JyMDK,0.009912215118698798,30.0,0.3296788385862005,SGD,tanh,0.04709357810120676,96.0,155.0,0.7,0.15,200.0,0.8127940804331713,0.08010182147638031,0.856547619047619,0.022023809523809515
DK0GH,0.01808049252520436,50.0,0.267416147557943,SGD,relu,0.08815150340079414,96.0,34.0,0.7,0.15,200.0,0.848370326128751,0.06701449700937276,0.857142857142857,0.016192226796113648
g6bW2,0.005063784864522727,5.0,0.15434508947738523,SGD,tanh,0.0838002131382333,52.0,122.0,0.7,0.15,200.0,0.8376546266531731,0.0701323375382897,0.8720238095238096,0.014148648004767533
xVVuN,0.0014651218702220327,10.0,0.2682248271715794,SGD,elu,0.07199368161388162,108.0,183.0,0.7,0.15,200.0,0.8261240580619132,0.06773505574040775,0.8476190476190476,0.0174963553055941
eVP7e,0.12556119815031777,5.0,0.15366143591830422,SGD,elu,0.034691930995515506,140.0,62.0,0.7,0.15,200.0,0.8847582748514426,0.045276397762387864,0.8601190476190477,0.03463140049473538
