,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
Dq7oW,1.097009930104521e-06,70.0,0.15429118384650453,adam,relu,0.04529432750172864,161.0,102.0,0.7,0.15,200.0,47.0,0.4616736525544036,0.08379036722331601,0.5168261562998405,0.10375989693141661
LdOrL,1.7898653726173201e-06,70.0,0.3968128300291154,SGD,elu,0.02801812239033387,13.0,75.0,0.7,0.15,200.0,54.0,0.5076280390841441,0.08614654660731397,0.5414673046251993,0.10013167667147678
xNtAT,9.821771142646456e-05,50.0,0.031197096945961313,adam,relu,0.022778958138618355,149.0,13.0,0.7,0.15,200.0,11.0,0.6433543142432973,0.12849284283295506,0.7312599681020734,0.16390072256829846
TLPGi,3.941833364294919e-05,100.0,0.30050957807357137,adam,relu,0.04635432060218462,16.0,18.0,0.7,0.15,200.0,60.0,0.5173470368776601,0.07352064337759079,0.5618022328548645,0.12304924949396133
BhB6D,4.14211580236455e-05,5.0,0.3641517452865792,SGD,elu,0.026041137932295056,16.0,37.0,0.7,0.15,200.0,27.0,0.4745113967273644,0.08888920256230087,0.5121212121212121,0.06851541731831588
K3jhe,0.00021581601232958564,100.0,0.16426008255693159,SGD,relu,0.01730657473882632,148.0,120.0,0.7,0.15,200.0,40.0,0.510551423190927,0.09796579154730534,0.5279904306220096,0.09383254416692784
nuXxd,0.0003911466709622287,10.0,0.29434763331838804,SGD,elu,0.005245423667538596,163.0,58.0,0.7,0.15,200.0,46.0,0.6150425687074997,0.09666120024407493,0.6749601275917066,0.13445609857905558
poIRY,0.0026225034151461262,10.0,0.27282418562635774,SGD,tanh,0.0014960602754646168,188.0,27.0,0.7,0.15,200.0,20.0,0.7702361777861686,0.08647301180075476,0.8645933014354068,0.07638021642239384
Q2ACv,1.665452321602788e-05,10.0,0.3970915466883618,SGD,relu,0.05022513550658782,83.0,73.0,0.7,0.15,200.0,41.0,0.4889809692439638,0.11251678660638408,0.5225677830940989,0.11410981702839623
Jx8Pl,3.355193828644256e-05,100.0,0.243275539237996,SGD,relu,0.07493369569283562,41.0,86.0,0.7,0.15,200.0,50.0,0.40908269929245156,0.11764633253961458,0.4975279106858054,0.13743687732237173
oLY37,6.274903209186634e-06,70.0,0.25327614768614165,SGD,elu,0.08522475419100319,195.0,146.0,0.7,0.15,200.0,30.0,0.43992122809432443,0.1488637447793792,0.5312599681020733,0.14319371501017894
wlwxw,1.1133570894058622e-05,30.0,0.36992630496122647,SGD,elu,0.0776906634482466,143.0,135.0,0.7,0.15,200.0,70.0,0.498371233063177,0.1230147344123167,0.6186602870813397,0.14736436471284528
