,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
Njdz8,0.17382312612635117,100.0,0.05817396659868308,SGD,elu,0.013935490997101964,68.0,70.0,0.7,0.15,200.0,36.0,0.9146805226504033,0.036091263678555224,0.9400318979266347,0.010316402952980041
A2xit,0.050818878000172506,70.0,0.2764650723100181,SGD,tanh,0.04085447799100145,200.0,52.0,0.7,0.15,200.0,30.0,0.8894726130143826,0.059261462171861685,0.9354066985645935,0.01327218259736303
efpPz,0.016906937710587537,30.0,0.06222198185463501,SGD,elu,0.058569977335179206,84.0,123.0,0.7,0.15,200.0,44.0,0.8601353848389831,0.051868216537818077,0.9259968102073364,0.011100295145968286
C1gqG,0.02410507917758321,70.0,0.25632983891845057,adam,elu,0.03495287972518272,114.0,59.0,0.7,0.15,200.0,33.0,0.9369999548328517,0.02165576776259528,0.9430622009569378,0.016124236270972536
KcvvP,0.0001431162083462343,5.0,0.0002863281564855935,adam,elu,0.08472749194625726,39.0,52.0,0.7,0.15,200.0,63.0,0.8886277762692256,0.06855597089846927,0.9384370015948964,0.008324075502838885
E0k7j,2.2166188194215135e-06,70.0,0.28799347159048794,adam,tanh,0.05026847301692287,62.0,147.0,0.7,0.15,200.0,48.0,0.4306868299839385,0.13365801847196557,0.5006379585326954,0.10127893099786382
kXImj,0.00017878625310727435,5.0,0.10686469373635399,SGD,relu,0.08215660031199139,43.0,148.0,0.7,0.15,200.0,35.0,0.49271080177760973,0.14612460766482593,0.5666666666666667,0.14548575800425118
w3SmP,1.5765560597347378e-06,5.0,0.2604145539010318,SGD,elu,0.04517104391568571,135.0,128.0,0.7,0.15,200.0,25.0,0.4264224748573319,0.12137957844100597,0.48963317384370014,0.16981115224155127
m3esm,1.6110471103571183e-06,10.0,0.13235755558697146,SGD,elu,0.01767548536329654,94.0,186.0,0.7,0.15,200.0,52.0,0.46166160384467936,0.14972627953801726,0.4964912280701754,0.18489801770112432
yz6q2,0.020465654279960544,5.0,0.2219322856616476,SGD,relu,0.033263250636323675,51.0,32.0,0.7,0.15,200.0,26.0,0.9159540204717473,0.06054574768321605,0.9414673046251993,0.00879509772182599
PtnjS,0.002952889436234477,70.0,0.19332160514426416,adam,tanh,0.025743210516673765,122.0,16.0,0.7,0.15,200.0,10.0,0.9391992430084535,0.032646014228042745,0.945773524720893,0.008647809704450383
TLV2J,0.21747068010817064,5.0,0.21462974109408106,adam,relu,0.06956282630514173,131.0,104.0,0.7,0.15,200.0,45.0,0.7057785856400409,0.1281825531680856,0.5564593301435407,0.11896568971288116
jpBOi,0.001005890152017481,5.0,0.2880703042755063,adam,tanh,0.07063208571037861,97.0,118.0,0.7,0.15,200.0,66.0,0.9257599351837775,0.03000062962102629,0.93859649122807,0.009388237737008934
