intermediate,trialJobId,layer_2,layer_1,batch_size,learning_rate,train_frac,activation,regularization,reward,dropout,preweight,epochs,optimizer,test_frac
"[0.9412244897959183,0.9812297810671158]",NTYuL,60,101,30,0.001757268574444123,0.7,tanh,0.035223275359796025,0.9812297810671158,0.32124375758991924,8,200,adam,0.15
"[0.9453061224489796,0.984798354093036]",SbxyD,160,92,5,0.006306402194069657,0.7,tanh,0.04520633561514109,0.984798354093036,0.39733015931552396,10,200,adam,0.15
"[0.9373469387755101,0.9655904062392556]",m6L1m,186,71,50,2.112802240950447e-05,0.7,tanh,0.021518754181025203,0.9655904062392556,0.3263455090955637,9,200,adam,0.15
"[0.9401020408163264,0.972729530849571]",erV7W,166,133,100,0.0011135935108769193,0.7,relu,0.03235326482888283,0.972729530849571,0.31799276374164365,9,200,adam,0.15
"[0.9382653061224488,0.9789053566996735]",ssWHw,146,158,30,0.0035848509227652463,0.7,tanh,0.024744516290698793,0.9789053566996735,0.24728926651953564,8,200,adam,0.15
"[0.9428571428571428,0.9819787555309398]",Qhp5o,101,37,70,0.011702059845041364,0.7,relu,0.016403592996987418,0.9819787555309398,0.3892021040590091,10,200,adam,0.15
"[0.9435714285714285,0.9758024012692778]",idULR,64,99,50,0.00020804891105257982,0.7,tanh,9.559035349875067e-05,0.9758024012692778,0.34130044937945714,5,200,adam,0.15
"[0.9437755102040816,0.9803342393643956]",keJWd,117,185,5,4.322749330199681e-05,0.7,elu,0.054733596425941014,0.9803342393643956,0.29757640192449164,8,200,adam,0.15
"[0.9420408163265306,0.9754526429330707]",IiF0F,142,87,30,0.0020592406011637732,0.7,tanh,0.04345682476378997,0.9754526429330707,0.1786544301582847,4,200,adam,0.15
"[0.9441836734693878,0.9787354774188136]",K47Fp,167,138,70,0.01157220308099136,0.7,elu,0.03291016897093889,0.9787354774188136,0.2540656976038184,9,200,adam,0.15
"[0.8456632653061223,0.9770545742311049]",z1PXf,152,49,30,0.04700866651704544,0.7,relu,0.051445277333964375,0.9770545742311049,0.2415756282017011,7,200,adam,0.15
"[0.6079081632653062,0.9309449837655859]",Hg8Ku,190,115,50,0.19614972604605138,0.7,elu,0.010096519572237143,0.9309449837655859,0.20425102320030394,6,200,adam,0.15
"[0.9375510204081632,0.9835427271231998]",LrZpJ,90,70,100,0.005189109014846457,0.7,tanh,0.019118426874147162,0.9835427271231998,0.30124389249988415,10,200,adam,0.15
"[0.9404081632653062,0.9802682796286735]",Kc4Rw,128,84,5,0.0002280290853818324,0.7,relu,0.0038818288369431367,0.9802682796286735,0.37765833562200873,2,200,adam,0.15
"[0.9356122448979592,0.9579115359861088]",aQn5B,138,199,30,0.0011876749637698047,0.7,elu,0.03719630898629455,0.9579115359861088,0.34784560307919016,8,200,SGD,0.15
"[0.8548979591836735,0.9720784197053762]",Gb72m,113,106,70,0.04212078972696361,0.7,tanh,0.024710650756936035,0.9720784197053762,0.17465962354822814,9,200,adam,0.15
"[0.9324489795918367,0.9490851223435867]",rTI8k,173,174,100,4.000549917011748e-06,0.7,elu,0.01629121097730208,0.9490851223435867,0.20444365976307785,8,200,adam,0.15
"[0.8525510204081632,0.8613456193447713]",RnYV0,159,147,30,0.0004724642568799215,0.7,relu,0.028769855478365077,0.8613456193447713,0.1312293219623531,7,200,SGD,0.15
