intermediate,trialJobId,layer_2,layer_1,batch_size,learning_rate,train_frac,activation,regularization,reward,dropout,preweight,epochs,optimizer,test_frac
"[0.9425510204081633,0.9741617752312862]",qlARk,31,81,50,0.0008244846082192844,0.7,tanh,0.008149255943475885,0.9741617752312862,0.2144315464084162,9,200,adam,0.15
"[0.9393877551020408,0.9881306636668652]",nzcGn,87,51,10,0.0005028122738848872,0.7,tanh,0.019774028053375022,0.9881306636668652,0.0013265003802739248,7,200,adam,0.15
"[0.9402040816326529,0.9898466713828175]",uNFSv,106,50,10,0.001295996750947437,0.7,tanh,0.019857723729413804,0.9898466713828175,0.29245178785894055,6,200,adam,0.15
"[0.939387755102041,0.9773095514844528]",x5qa0,108,41,10,0.0004945393009634239,0.7,tanh,0.044102756061813166,0.9773095514844528,0.23726566022608614,6,200,adam,0.15
"[0.9426530612244898,0.9827731773476331]",Kq6g8,98,16,10,0.001352317364418333,0.7,tanh,0.01988440537742118,0.9827731773476331,0.3172763342478985,5,200,adam,0.15
"[0.9364285714285714,0.9660079099271283]",Rdovd,120,24,10,5.584806283088759e-06,0.7,tanh,0.026434292415684176,0.9660079099271283,0.2502350420954812,5,200,adam,0.15
"[0.9357142857142856,0.9821829679344635]",riPsu,88,48,10,0.0010482442111097586,0.7,tanh,0.05101210437149887,0.9821829679344635,0.28782288229362124,6,200,adam,0.15
"[0.9410204081632653,0.9853222019982493]",rCGMj,82,55,10,0.00343695539376851,0.7,tanh,0.029648522218431395,0.9853222019982493,0.2946366394290694,4,200,adam,0.15
"[0.9052040816326532,0.9361490036250878]",xHNrv,104,29,10,1.9616799881880096e-06,0.7,tanh,0.0333748537145015,0.9361490036250878,0.2662812135249101,5,200,adam,0.15
"[0.9389795918367347,0.9839307214460262]",wDwYC,124,51,10,0.0006751898808839311,0.7,tanh,0.024526997844760645,0.9839307214460262,0.30584209130124723,4,200,adam,0.15
"[0.9402040816326529,0.9680077535327951]",eEDkD,112,37,10,1.7123297132961466e-05,0.7,tanh,0.08913382811635462,0.9680077535327951,0.34868559597798315,6,200,adam,0.15
"[0.9418367346938776,0.9779273253319847]",FUh3Y,72,61,10,0.00012748392945619112,0.7,tanh,0.03583980095545411,0.9779273253319847,0.36083588101981334,6,200,adam,0.15
"[0.9428571428571428,0.9762544631450837]",mh2pY,61,21,10,8.057072376742424e-05,0.7,tanh,0.04089305989325912,0.9762544631450837,0.2810616919222137,7,200,adam,0.15
"[0.9435714285714287,0.982105126720391]",JEXJu,94,57,10,0.005744448281105601,0.7,tanh,0.017892135612674755,0.982105126720391,0.3342176632204003,6,200,SGD,0.15
"[0.939387755102041,0.9737548121014565]",yyPoY,87,44,10,4.0546260491754e-05,0.7,tanh,0.01419812717545553,0.9737548121014565,0.18466888835535283,5,200,adam,0.15
"[0.9395918367346938,0.9802252765800858]",PVZR1,119,70,10,0.00033058579665613233,0.7,tanh,0.020402766966498228,0.9802252765800858,0.3405185350842328,7,200,adam,0.15
"[0.9414285714285713,0.9737088911510149]",YbAeQ,102,85,10,0.00020095343399725483,0.7,tanh,0.044944556263239024,0.9737088911510149,0.20306477006741278,3,200,adam,0.15
"[0.9429591836734694,0.9794334273408868]",ePAPX,97,48,10,0.0018699634881684565,0.7,tanh,0.06845705524908093,0.9794334273408868,0.39574786325670386,7,200,adam,0.15
"[0.9280612244897958,0.9788932058309697]",B7ocE,126,74,10,0.0008808953841089779,0.7,tanh,0.07242880310687214,0.9788932058309697,0.38074144044752695,4,200,adam,0.15
"[0.9436734693877552,0.9735345643108128]",kZ5aw,109,31,10,0.0025956124957643707,0.7,tanh,0.078149361476043,0.9735345643108128,0.2739748380202182,6,200,SGD,0.15
"[0.9376530612244898,0.9824106482103927]",QJcTj,139,79,10,0.0005603343079444971,0.7,tanh,0.03923840370215911,0.9824106482103927,0.3715503816725184,2,200,adam,0.15
"[0.9413265306122449,0.9805745635285342]",qHotC,10,64,70,0.003965387349871381,0.7,tanh,0.05499255058393007,0.9805745635285342,0.22442356743187578,5,200,adam,0.15
"[0.9439795918367349,0.9738521637993749]",Wp190,91,69,100,0.000278415866959298,0.7,tanh,0.03207158039656851,0.9738521637993749,0.25776856992228514,6,200,adam,0.15
"[0.9471428571428572,0.9763009589697432]",eXfRQ,131,98,10,5.68044475527778e-05,0.7,relu,0.022309217130288113,0.9763009589697432,0.3251717361545178,7,200,adam,0.15
"[0.8643877551020409,0.8641159179544058]",CBUR8,18,38,70,0.0013830052918050858,0.7,tanh,0.04261569213899545,0.8641159179544058,0.29979358058061617,5,200,SGD,0.15
"[0.9480612244897959,0.9745893210013306]",PsnCR,144,17,5,0.009281573108023201,0.7,tanh,0.010286187257870087,0.9745893210013306,0.28673947173022574,7,200,adam,0.15
"[0.9464285714285715,0.9824698586213765]",guyaQ,74,93,10,0.007765634214234806,0.7,tanh,0.05337010276622077,0.9824698586213765,0.30991619536344195,6,200,adam,0.15
"[0.9364285714285716,0.9618470477713348]",Twkcf,80,45,70,2.7652148003072538e-05,0.7,relu,0.027313069943959177,0.9618470477713348,0.24466141518016982,10,200,adam,0.15
"[0.9345918367346939,0.9570038689234958]",NIMvz,58,59,100,1.1423180367779639e-05,0.7,tanh,0.0494974610153449,0.9570038689234958,0.34891376243129896,7,200,adam,0.15
"[0.9464285714285715,0.9814891407980711]",a04hn,43,34,10,0.00014135558678933,0.7,tanh,0.01710510148073356,0.9814891407980711,0.2647046792269637,6,200,adam,0.15
"[0.841530612244898,0.849485842422163]",N97Ni,65,24,70,0.00048458776572035586,0.7,tanh,0.04741188554479599,0.849485842422163,0.3193879483491067,8,200,SGD,0.15
"[0.9455102040816327,0.9797159160834434]",dcnET,100,84,5,0.0048206900382901,0.7,tanh,0.06356600420632154,0.9797159160834434,0.36538957363686486,5,200,adam,0.15
"[0.9424489795918367,0.9817456541511611]",YOI02,115,11,10,0.0030691683567188647,0.7,tanh,0.05821269320437173,0.9817456541511611,0.3327015690212782,9,200,adam,0.15
"[0.9441836734693878,0.9795107029120214]",ZhCEJ,136,112,70,0.0016933853037397353,0.7,relu,0.024278760232233628,0.9795107029120214,0.3889485106517042,10,200,adam,0.15
"[0.9428571428571427,0.9823041080910858]",cQYxM,83,53,10,0.0007858657017616743,0.7,tanh,0.037821949116833405,0.9823041080910858,0.3570113175132244,7,200,adam,0.15
"[0.9413265306122447,0.9762685705778319]",MEdHl,106,78,100,9.318990143995012e-05,0.7,tanh,0.03012300299367285,0.9762685705778319,0.2827076737562262,8,200,adam,0.15
"[0.9436734693877551,0.982509939020327]",mI27k,48,27,10,0.014760112032228233,0.7,tanh,0.01243994682822967,0.982509939020327,0.39989781263721375,6,200,SGD,0.15
"[0.9362244897959183,0.9790611814236551]",zcvaP,147,106,70,0.001104735767835911,0.7,tanh,0.03433459852941941,0.9790611814236551,0.23690038726861762,7,200,adam,0.15
"[0.9432653061224489,0.9847373598260875]",AWc2W,36,121,5,0.0003773281045915619,0.7,relu,0.026499026694054507,0.9847373598260875,0.295769590736757,10,200,adam,0.15
"[0.9394897959183673,0.9860090784100741]",Vuy8T,69,115,10,0.006288316612588104,0.7,tanh,0.040921699208520936,0.9860090784100741,0.16114561120219623,8,200,adam,0.15
"[0.9410204081632655,0.9709402129776187]",l7WDB,97,71,70,0.00018223209380647978,0.7,tanh,0.01925427609922513,0.9709402129776187,0.3439889935174323,5,200,adam,0.15
"[0.938673469387755,0.9846585202890477]",cewpj,127,41,10,0.011651435005753262,0.7,tanh,0.0068564017695292665,0.9846585202890477,0.3729741813801224,4,200,adam,0.15
"[0.9385714285714286,0.9638816294246609]",sWq7Z,78,64,100,0.002106148251992398,0.7,tanh,0.01412719452666873,0.9638816294246609,0.21829918616114335,9,200,SGD,0.15
"[0.9409183673469388,0.9805742686547869]",cvJvQ,88,87,10,0.0002714911293713582,0.7,tanh,0.08216303883629344,0.9805742686547869,0.2514539902936058,7,200,adam,0.15
"[0.9404081632653061,0.9686163462212638]",svkxb,123,132,70,0.0001143652109769392,0.7,relu,0.022078088487030075,0.9686163462212638,0.31488647140866494,6,200,adam,0.15
"[0.9391836734693877,0.9771879523634462]",fZp6U,112,100,5,0.0037978632193616463,0.7,tanh,0.036300443933225346,0.9771879523634462,0.178023441042239,7,200,adam,0.15
"[0.9429591836734694,0.9838981938468823]",tTNU3,54,52,10,0.0006145949208750845,0.7,tanh,0.06671338977583156,0.9838981938468823,0.3310158323364722,6,200,adam,0.15
"[0.9357142857142857,0.9576149144769659]",sTtWY,134,57,70,1.9846576887105712e-05,0.7,tanh,0.07013529470065863,0.9576149144769659,0.3539524842907712,9,200,adam,0.15
"[0.9391836734693877,0.9657398444904389]",rJpXl,90,76,10,0.0013236299470978667,0.7,tanh,0.01608744159049335,0.9657398444904389,0.2772824026821368,8,200,SGD,0.15
"[0.9446938775510203,0.9757998868410885]",vK8If,26,91,50,0.0009189308837011593,0.7,tanh,0.05068448369330445,0.9757998868410885,0.3001495360151985,10,200,adam,0.15
"[0.9369387755102041,0.9723000533633875]",RECK4,141,14,100,0.002524677305383239,0.7,tanh,0.028892112567088787,0.9723000533633875,0.2576376173376872,9,200,adam,0.15
"[0.8916326530612244,0.9790999184484797]",idqhS,117,45,10,0.032377184878116846,0.7,relu,0.04470130428245188,0.9790999184484797,0.2073846474270934,7,200,adam,0.15
"[0.9420408163265306,0.9718025111585892]",nB7QK,106,62,70,0.00022502109190813459,0.7,tanh,0.031409158735769174,0.9718025111585892,0.2310120993759296,5,200,adam,0.15
"[0.941734693877551,0.9806474003783008]",XvMGa,85,95,5,3.6170354022494474e-05,0.7,tanh,0.060518607917357414,0.9806474003783008,0.38453951814766146,8,200,adam,0.15
"[0.941530612244898,0.9742272943670794]",g5MsF,152,36,50,0.010187070092887445,0.7,tanh,0.005278702629666048,0.9742272943670794,0.19710200514518772,3,200,SGD,0.15
"[0.9409183673469388,0.9778817946673654]",Jq0RL,63,49,10,0.01912091396771207,0.7,tanh,0.05631791217151352,0.9778817946673654,0.3637711016563933,6,200,adam,0.15
"[0.9410204081632653,0.9729978867441862]",n4TmA,95,41,70,0.00045286657738030585,0.7,tanh,0.010144358006045545,0.9729978867441862,0.37742206603186845,4,200,adam,0.15
"[0.9418367346938774,0.9632906540062283]",bt1Md,162,83,50,7.319547878597337e-05,0.7,relu,0.052279650525451964,0.9632906540062283,0.3423412170048968,6,200,adam,0.15
"[0.881734693877551,0.9057319007935979]",BcfOZ,75,31,10,3.06276464521092e-06,0.7,tanh,0.02476293278556008,0.9057319007935979,0.26736851383458093,5,200,adam,0.15
"[0.9418367346938776,0.9699655068477998]",g9oXM,110,26,100,0.0016060249933552446,0.7,tanh,0.008407854732904464,0.9699655068477998,0.32086300142056523,8,200,adam,0.15
"[0.9405102040816326,0.9832422832559352]",e9v9w,129,18,10,0.005232811371651799,0.7,tanh,0.0018207490538610614,0.9832422832559352,0.24394416979433575,9,200,SGD,0.15
"[0.9423469387755101,0.9761122011454105]",JuZJe,101,109,70,0.00016744467058262764,0.7,tanh,0.046155337473260394,0.9761122011454105,0.15130640835601492,7,200,adam,0.15
"[0.945,0.979288757672539]",URI6O,68,104,50,0.007299989969996525,0.7,tanh,0.0212743953021451,0.979288757672539,0.3045530531087845,10,200,adam,0.15
"[0.9409183673469389,0.9802531198790995]",a0TUe,121,126,5,4.796682306000933e-05,0.7,relu,0.042656653407206105,0.9802531198790995,0.2915477959409713,8,200,adam,0.15
"[0.9428571428571428,0.9789575089874999]",LGpum,59,66,10,0.0007378296303734188,0.7,tanh,0.033131467527828494,0.9789575089874999,0.3278552243326293,7,200,adam,0.15
"[0.9444897959183673,0.9775249442622125]",TtpfB,72,72,70,0.003199857831935127,0.7,tanh,0.06496814022370744,0.9775249442622125,0.3922479386392254,6,200,adam,0.15
"[0.9383673469387755,0.9631720549745854]",xIJmL,81,58,50,0.0020249493546439243,0.7,tanh,0.03883494458894988,0.9631720549745854,0.18852781574999028,7,200,SGD,0.15
"[0.5,0.9442843240239489]",PU1ML,47,21,10,0.05412240965647705,0.7,tanh,0.035185666786565775,0.9442843240239489,0.1166981791142987,10,200,adam,0.15
"[0.9418367346938776,0.9711522446341883]",StJLa,21,89,100,0.001074571111308856,0.7,tanh,0.003842542494253788,0.9711522446341883,0.312119711012847,5,200,adam,0.15
"[0.9410204081632655,0.9785290794245626]",J6Fbt,52,115,10,0.0003845457493243284,0.7,relu,0.01795247102533102,0.9785290794245626,0.2735785296197974,9,200,adam,0.15
"[0.9403061224489795,0.9683945260882829]",QWbrV,34,10,70,0.0005579329377392793,0.7,tanh,0.013346920885481312,0.9683945260882829,0.1351153778399522,6,200,adam,0.15
"[0.8509183673469389,0.9806046444761997]",Lghar,93,81,50,0.02596237502982691,0.7,tanh,0.06196289273186929,0.9806046444761997,0.33857292722964294,7,200,adam,0.15
"[0.9392857142857143,0.9763943001760633]",JiB3X,113,99,5,0.003972859468488173,0.7,tanh,0.02838115979076573,0.9763943001760633,0.35015805812054956,8,200,SGD,0.15
"[0.9422448979591836,0.9777105869064592]",mlemo,39,54,30,0.0002617990032153487,0.7,tanh,0.0742163269187887,0.9777105869064592,0.21892005560730476,5,200,adam,0.15
"[0.945918367346939,0.9797990127362011]",y9gun,102,46,10,0.013347794754774754,0.7,tanh,0.02342650743364516,0.9797990127362011,0.3698567003333859,10,200,adam,0.15
"[0.8745918367346939,0.8983287369479935]",Qn5ao,138,37,70,7.906430527600109e-06,0.7,relu,0.04819886517653654,0.8983287369479935,0.39916399095798044,9,200,adam,0.15
"[0.6387755102040816,0.9656192393538234]",KQAjq,131,33,50,0.04038149200763527,0.7,tanh,0.09162568440454893,0.9656192393538234,0.3580641502893887,8,200,adam,0.15
"[0.9415306122448979,0.9873656568952415]",JmjmN,144,68,10,0.00034755938889094543,0.7,elu,0.01933958609779155,0.9873656568952415,0.3224074044976063,6,200,adam,0.15
"[0.6806632653061225,0.9368466457121747]",CWD8y,149,142,100,0.08782381371336191,0.7,tanh,0.015656494263147455,0.9368466457121747,0.25924137199564745,7,200,adam,0.15
"[0.6543877551020408,0.6705259497664022]",jcOzZ,91,74,70,0.0001278430205773121,0.7,tanh,0.011713288218605643,0.6705259497664022,0.37848499579979666,4,200,SGD,0.15
"[0.9387755102040816,0.9824394211051096]",FDpFK,124,135,10,0.001365323709292413,0.7,tanh,0.04080204867139635,0.9824394211051096,0.2931143806798498,7,200,adam,0.15
"[0.926530612244898,0.955283746142381]",V0Nnl,119,61,50,5.174148357591068e-06,0.7,tanh,0.058657144495358686,0.955283746142381,0.30726080902687725,8,200,adam,0.15
"[0.9435714285714287,0.9795736116888604]",QrAzc,108,95,30,0.000696651160686058,0.7,relu,0.02543073062115511,0.9795736116888604,0.28059851125466834,6,200,adam,0.15
"[0.9448979591836736,0.9884207007134945]",Rwn91,158,121,10,0.0027878443688645563,0.7,elu,0.07019527188763122,0.9884207007134945,0.2836519685984874,8,200,adam,0.15
"[0.8814285714285715,0.9798009412509903]",h54cp,148,118,10,0.008135871322680559,0.7,elu,0.07814522991080206,0.9798009412509903,0.2411811138832119,8,200,adam,0.15
"[0.9418367346938776,0.9726505352470802]",YSXV4,158,124,10,0.004882234102517498,0.7,elu,0.07233852946730365,0.9726505352470802,0.22543786825914103,8,200,SGD,0.15
"[0.9412244897959183,0.9856381027694953]",jv2fp,174,151,10,0.0010671140649437705,0.7,elu,0.08635464505140518,0.9856381027694953,0.21087097520497255,8,200,adam,0.15
"[0.9451020408163266,0.9818982405926203]",r6n22,155,146,10,0.0018441125898807954,0.7,elu,0.08197787016153615,0.9818982405926203,0.2531380280616614,7,200,adam,0.15
"[0.9429591836734694,0.9844458062167799]",iXXg0,188,158,10,0.0027581088040477867,0.7,elu,0.0756672894099865,0.9844458062167799,0.26718223027441423,8,200,adam,0.15
"[0.9435714285714285,0.9725691858066001]",yl2Iu,179,128,10,2.6563665868021345e-05,0.7,elu,0.08890763390070493,0.9725691858066001,0.23393703180232786,7,200,adam,0.15
"[0.9421428571428571,0.9809376689149758]",b3v0i,168,175,10,9.113185121018813e-05,0.7,elu,0.09820682745250134,0.9809376689149758,0.2000890946265525,9,200,adam,0.15
"[0.9412244897959183,0.9734086948455178]",zZTFl,163,106,10,0.006413073838122788,0.7,elu,0.08604046256930145,0.9734086948455178,0.2893219484223041,7,200,SGD,0.15
"[0.9422448979591836,0.9755670331130905]",aKWPn,172,187,10,0.0005144608318015021,0.7,elu,0.0801754074434641,0.9755670331130905,0.16592703785795218,8,200,adam,0.15
"[0.94265306122449,0.9750657280057833]",I3koi,134,154,10,6.023958076507566e-05,0.7,elu,0.09586946279426035,0.9750657280057833,0.1266682782141243,9,200,adam,0.15
"[0.6935204081632652,0.9663218142010542]",ltWBx,144,138,10,0.016754727569181695,0.7,elu,0.09373826993725767,0.9663218142010542,0.17590545929828005,7,200,adam,0.15
"[0.9425510204081633,0.9841527754875792]",Cmj3p,153,122,10,0.0002045022907029902,0.7,elu,0.06804414719246142,0.9841527754875792,0.2830013618509848,8,200,adam,0.15
"[0.9458163265306123,0.9865829559006525]",SUFii,140,116,10,0.0034175021645664154,0.7,elu,0.06969862927257423,0.9865829559006525,0.2500202106469477,8,200,adam,0.15
"[0.9393877551020408,0.9673014800397517]",yvCS3,165,131,5,0.00029610481531855664,0.7,elu,0.0319063622610207,0.9673014800397517,0.26196078028744674,9,200,SGD,0.15
"[0.9408163265306122,0.9788485664007107]",dw0Me,159,111,10,0.001563333071491299,0.7,elu,0.009175528773992362,0.9788485664007107,0.29926915911947255,7,200,adam,0.15
"[0.9420408163265307,0.9805541661360561]",vXFez,176,147,70,0.0008049643787170538,0.7,elu,0.0002750054852328661,0.9805541661360561,0.27261535015595795,6,200,adam,0.15
"[0.9408163265306122,0.9853246218252394]",BbRcN,135,103,10,0.0022389402783894174,0.7,elu,0.006425688017131,0.9853246218252394,0.1924176707484978,7,200,adam,0.15
"[0.9416326530612246,0.9807683501912396]",d0ZkQ,186,120,100,0.010300618478610635,0.7,elu,0.026711365143791133,0.9807683501912396,0.31550755788258095,8,200,adam,0.15
"[0.9407142857142856,0.9757233221482515]",Jq7oU,117,181,10,0.00016406184116376843,0.7,elu,0.08221917368435855,0.9757233221482515,0.3264967022570484,9,200,adam,0.15
"[0.943061224489796,0.9768240356467851]",zVatr,86,133,50,0.0027422184217288743,0.7,tanh,0.06513945175100397,0.9768240356467851,0.3408029432405153,9,200,adam,0.15
"[0.945,0.9833338986161841]",UrBNl,98,78,70,0.0012720821176118579,0.7,tanh,0.05473234033071172,0.9833338986161841,0.302333313077058,10,200,adam,0.15
"[0.9422448979591836,0.9823900357659507]",W1kL7,77,111,50,0.003986320186078041,0.7,tanh,0.060578701659858514,0.9823900357659507,0.3487277971532399,6,200,adam,0.15
"[0.9424489795918369,0.9772821287616514]",Aq4Rk,194,86,30,0.0009272700473236841,0.7,tanh,0.07709484045985426,0.9772821287616514,0.33465062355135367,9,200,adam,0.15
"[0.9414285714285715,0.986095666854213]",CcMku,82,142,5,0.0004175870508778739,0.7,tanh,0.07110569665345151,0.986095666854213,0.3114163635670113,7,200,adam,0.15
"[0.9398979591836735,0.9788201886219469]",BLqWx,67,99,10,0.0006474584635568312,0.7,elu,0.057593875380912485,0.9788201886219469,0.3178437718052491,10,200,adam,0.15
"[0.9454081632653061,0.9848519436803412]",pbyvo,128,41,70,0.006280673210224282,0.7,relu,0.053732165421647354,0.9848519436803412,0.36083773480560494,6,200,adam,0.15
"[0.9414285714285715,0.9792779928393746]",P0bI1,168,93,10,0.0024775889367027386,0.7,tanh,0.06681362250633135,0.9792779928393746,0.2876066560247642,8,200,adam,0.15
"[0.9392857142857143,0.9780203349056078]",DClSz,181,52,50,0.0017597783194024167,0.7,tanh,0.049636395758876545,0.9780203349056078,0.3320584420901382,7,200,adam,0.15
"[0.9394897959183675,0.9834739883172123]",GmiJO,72,108,10,0.008791511740825325,0.7,tanh,0.06422574143838611,0.9834739883172123,0.36761882260177714,10,200,adam,0.15
"[0.9413265306122449,0.9720996109986295]",xasFt,103,29,100,0.005236057743827083,0.7,elu,0.061869434214647044,0.9720996109986295,0.3562515451615376,6,200,adam,0.15
"[0.941530612244898,0.9740868012675132]",myVSU,65,114,70,0.0013128101245455117,0.7,tanh,0.07413583725087416,0.9740868012675132,0.3245982012214053,8,200,adam,0.15
"[0.9376530612244899,0.9709767552959401]",WUj9E,56,127,50,0.022821786544366455,0.7,tanh,0.029624330232119474,0.9709767552959401,0.2765950628843158,7,200,adam,0.15
"[0.9409183673469388,0.9796674309516586]",hmiIr,150,57,10,0.004446445540950459,0.7,relu,0.03686824830899235,0.9796674309516586,0.3086679956833433,5,200,adam,0.15
"[0.9435714285714285,0.981007489085053]",DQnii,61,50,30,0.013400398194864294,0.7,tanh,0.022497216118075994,0.981007489085053,0.3813067390451448,10,200,adam,0.15
"[0.9464285714285714,0.9823732087585395]",jOHhR,88,89,5,0.0005110661850698231,0.7,tanh,0.04413381555700774,0.9823732087585395,0.24649233269919288,9,200,adam,0.15
"[0.9454081632653063,0.9766954928310468]",HWEVd,123,64,10,0.00085909442770919,0.7,elu,0.014585314687491678,0.9766954928310468,0.292428325535219,6,200,adam,0.15
"[0.9380612244897959,0.9824068641775231]",hnT4z,95,69,70,0.0019513329526743206,0.7,tanh,0.02019553809453079,0.9824068641775231,0.3403746184475995,7,200,adam,0.15
"[0.9428571428571428,0.9741234942382565]",x4g3p,43,81,50,0.00024335362116130566,0.7,tanh,0.08433990460801884,0.9741234942382565,0.2657384826546032,9,200,adam,0.15
"[0.9439795918367349,0.987493197180957]",Hp4jb,107,138,10,0.0032838678709865236,0.7,elu,0.046383144380830424,0.987493197180957,0.3902348839143105,8,200,adam,0.15
"[0.9414285714285715,0.972658045602444]",Niwxe,114,163,100,0.0005888699376254674,0.7,tanh,0.07415906703268454,0.972658045602444,0.30040934531666047,5,200,adam,0.15
"[0.9387755102040817,0.9761089317277454]",E3ZSC,146,102,10,0.001244347303539594,0.7,relu,0.051628593811027,0.9761089317277454,0.28450599157906836,6,200,adam,0.15
"[0.9414285714285715,0.9806185067012514]",EG7o8,79,46,70,0.007976599342143623,0.7,tanh,0.05647903665259436,0.9806185067012514,0.2213962781327102,8,200,adam,0.15
"[0.9273469387755101,0.951224348011103]",k6tt3,141,119,50,0.0003059096478330403,0.7,tanh,0.03402066073086723,0.951224348011103,0.34610619801430065,7,200,SGD,0.15
"[0.9441836734693878,0.9805507452796218]",GD1rP,161,123,10,0.00011403965885819662,0.7,elu,0.018460335945974533,0.9805507452796218,0.2561387052190807,5,200,adam,0.15
"[0.9394897959183673,0.9663278486427542]",ZUDpV,156,38,30,0.002478537790646922,0.7,tanh,0.09151119275101863,0.9663278486427542,0.3730120013608496,7,200,adam,0.15
"[0.6720408163265306,0.9696733151410936]",DeY2X,70,96,5,0.0296572364206894,0.7,tanh,0.03927231884589602,0.9696733151410936,0.23472216261238135,8,200,adam,0.15
"[0.9451020408163264,0.9835815980840475]",ChIJC,51,22,10,0.019512585877966605,0.7,elu,0.012366351522881888,0.9835815980840475,0.32998725646149685,10,200,adam,0.15
"[0.938673469387755,0.9770891914544373]",B6Vp6,130,61,70,0.00036198699399806947,0.7,tanh,0.015935266324863355,0.9770891914544373,0.31834281575057694,9,200,adam,0.15
"[0.8217346938775509,0.837016516111756]",MsRRJ,111,130,50,0.0010436831260287262,0.7,relu,0.031054754615255475,0.837016516111756,0.27101513438698666,6,200,SGD,0.15
"[0.9406122448979591,0.9887602788020974]",MSGWB,91,75,10,0.0007375066195092223,0.7,tanh,0.027097989826616327,0.9887602788020974,0.353625750946148,7,200,adam,0.15
"[0.9439795918367349,0.9834524442961248]",Es8dK,98,75,10,7.813105005114815e-05,0.7,tanh,0.02344661661830771,0.9834524442961248,0.3082706374125356,7,200,adam,0.15
"[0.9423469387755103,0.9848726310764124]",ofPmL,119,82,10,0.00014342732158211964,0.7,elu,0.017583203442030577,0.9848726310764124,0.2419245732983272,7,200,adam,0.15
"[0.9407142857142858,0.9807311013306521]",AT4iF,103,77,10,0.00018411969032585928,0.7,tanh,0.026218241352746106,0.9807311013306521,0.2944673511338245,7,200,adam,0.15
"[0.939795918367347,0.9793643805579644]",Bx1Xl,126,72,10,0.0005037762938069057,0.7,tanh,0.021172649751559063,0.9793643805579644,0.3512521470976703,8,200,adam,0.15
"[0.9395918367346938,0.9832077786494843]",gN0Vf,85,90,10,0.0007700562049705155,0.7,tanh,0.028400964400914053,0.9832077786494843,0.3360545749222653,7,200,adam,0.15
"[0.9412244897959183,0.9597729659081201]",Yp3eR,92,84,10,0.00024699703569145033,0.7,elu,0.011764318350834212,0.9597729659081201,0.3630797632411149,8,200,SGD,0.15
"[0.9373469387755101,0.9844903460858078]",fCjez,136,106,10,0.0015710750766879617,0.7,tanh,0.0030790290783587297,0.9844903460858078,0.2765110233579253,6,200,adam,0.15
"[0.9426530612244898,0.9825028409674414]",NZtZf,106,66,10,0.0003561572541360549,0.7,relu,0.008295858300828404,0.9825028409674414,0.21572104705483702,8,200,adam,0.15
"[0.941734693877551,0.9775273482292295]",XPPb3,96,42,10,4.974939082222124e-05,0.7,tanh,0.02406671723718616,0.9775273482292295,0.07727340532301899,7,200,adam,0.15
"[0.9434693877551021,0.9838967839921631]",E5xMd,122,54,10,0.0001060608833264399,0.7,elu,0.005260309773114504,0.9838967839921631,0.28451163314502065,6,200,adam,0.15
"[0.9468367346938775,0.9846157379716761]",krkRl,190,101,10,0.0004290237079998525,0.7,tanh,0.020504913878768745,0.9846157379716761,0.2615787384180265,8,200,adam,0.15
"[0.9400000000000001,0.9726845139372182]",TTYul,200,135,10,1.1591778910006926e-05,0.7,tanh,0.01036018274316525,0.9726845139372182,0.3190628225654331,7,200,adam,0.15
"[0.9430612244897958,0.9810105055100742]",fWBRP,132,94,10,3.26302475724531e-05,0.7,tanh,0.014415423545136873,0.9810105055100742,0.20315777325788875,8,200,adam,0.15
"[0.9370408163265307,0.9663047597283493]",SjiND,114,111,10,0.0006558346744746305,0.7,elu,0.027135630451731785,0.9663047597283493,0.30433689411531595,7,200,SGD,0.15
"[0.9363265306122447,0.9863726325010275]",Ky6c1,152,70,10,0.0034086558240178774,0.7,tanh,0.03258704299739597,0.9863726325010275,0.09930124301904061,6,200,adam,0.15
"[0.9393877551020408,0.9747168045843744]",LqrBB,110,49,100,0.0010784555846093426,0.7,relu,0.01749043122606987,0.9747168045843744,0.22827317831642427,7,200,adam,0.15
"[0.9420408163265307,0.9876910419563618]",K5CzC,100,149,10,0.0018580692759511163,0.7,tanh,0.035921092686004866,0.9876910419563618,0.39590076968537,8,200,adam,0.15
"[0.9418367346938776,0.9742489941631967]",OAp2i,89,118,70,0.004736389135093866,0.7,elu,0.021742538634827172,0.9742489941631967,0.25194817190895186,6,200,adam,0.15
"[0.9376530612244898,0.9804944463608732]",tsVyz,75,61,10,0.00020276179931193097,0.7,tanh,0.029393437750350082,0.9804944463608732,0.2976364447430723,7,200,adam,0.15
"[0.9359183673469389,0.961453189280484]",N1Tr0,82,86,30,0.0008531053928604559,0.7,tanh,0.015158047991920262,0.961453189280484,0.38198301036452675,8,200,SGD,0.15
"[0.9444897959183673,0.9853161260885097]",C17cY,138,126,5,0.006467716700053748,0.7,tanh,0.013080939499722884,0.9853161260885097,0.3233823693947616,7,200,adam,0.15
"[0.9419387755102042,0.9726090237755969]",dYLdq,143,33,10,0.0006387894189674853,0.7,elu,0.006861446982940224,0.9726090237755969,0.3456460490765206,6,200,adam,0.15
"[0.944795918367347,0.9747939105689983]",yKfqJ,115,78,70,7.147776453431503e-05,0.7,tanh,0.02517669263405882,0.9747939105689983,0.18600413780601785,8,200,adam,0.15
