optimizer,test_frac,preweight,reward,regularization,trialJobId,epochs,layer_1,activation,batch_size,learning_rate,dropout,layer_2,train_frac
SGD,0.15,10,0.6728585523340876,0.027424061225084135,tskDk,200,49,tanh,5,0.01246849906507869,0.051427855579672596,151,0.7
SGD,0.15,3,0.6809939780424171,0.022925447178586574,Nfc1q,200,13,tanh,5,0.036137064004153244,0.018191574975431224,105,0.7
SGD,0.15,2,0.662257859815635,0.017348312305925265,OhjAK,200,24,tanh,5,0.0371440045343166,0.06066737314789236,145,0.7
SGD,0.15,3,0.6115241479824433,0.013214947569755772,EOHLT,200,14,tanh,5,0.4667062494339196,0.10144832962823619,160,0.7
SGD,0.15,4,0.6477704839026466,0.021480504163259664,zpzmZ,200,43,tanh,5,0.2730056053482591,0.01381981150948744,105,0.7
SGD,0.15,3,0.6916677464800035,0.007563489465870744,Py7eV,200,12,tanh,5,0.02663654586500646,0.02650883990991433,193,0.7
SGD,0.15,2,0.6672130017214428,0.008036679842934054,rh38f,200,21,tanh,5,0.1876333806966119,0.027821662300147293,190,0.7
SGD,0.15,3,0.5992599849920607,0.006541538185850161,uGEWg,200,26,relu,5,0.008668969925155515,0.039266506521632674,169,0.7
SGD,0.15,2,0.6512527373744081,0.002699885845162432,tx6SI,200,10,tanh,5,0.10542481170238802,0.06834751574211599,147,0.7
SGD,0.15,3,0.6475860044732779,0.010268553164727074,zo1EJ,200,30,tanh,5,0.051551758754326854,0.13707629716687403,197,0.7
SGD,0.15,3,0.6053936391130305,0.020050817668739528,Aold5,200,12,tanh,50,0.012972530457516276,0.08079517038757099,182,0.7
SGD,0.15,3,0.6514473731377037,0.012839683521557448,rgRIF,200,19,relu,10,0.018105949043091662,0.09246088983317256,173,0.7
SGD,0.15,2,0.6724617333599813,0.023816996243694773,Z0YrU,200,39,tanh,100,0.08627115662196769,0.11843316853862693,117,0.7
SGD,0.15,4,0.6986839648272751,0.00045730097569527967,uHk5d,200,33,tanh,5,0.14961448231040542,0.022905274807688752,98,0.7
SGD,0.15,4,0.6491184785658813,0.01613429747348539,v2O1G,200,68,tanh,70,0.022710574226983322,0.16865921825407032,188,0.7
SGD,0.15,4,0.6710523387632459,0.004200449345756178,JCL2K,200,34,tanh,5,0.13957401969671113,0.06027273499064229,158,0.7
SGD,0.15,4,0.6316396407280875,0.002775342409568317,P8CtF,200,31,tanh,10,0.005780745603031639,0.10223595287679743,164,0.7
SGD,0.15,2,0.5869881263466714,0.005077774074514387,sSWlO,200,57,relu,100,0.48618429502949123,0.15583990541600756,179,0.7
SGD,0.15,3,0.6110011268082043,0.0009158453562356313,EHej3,200,46,tanh,5,0.3362820586432706,0.04409727494641073,194,0.7
SGD,0.15,4,0.5954624400382716,0.0006471247943627542,aSZFl,200,41,tanh,50,0.0033062137332632397,0.0292207741196563,149,0.7
SGD,0.15,2,0.6699831216106762,0.00998854441672317,EDxBH,200,65,tanh,10,0.06491660735688926,0.006591791383971951,166,0.7
SGD,0.15,5,0.6312737105969405,0.015178120535313321,hXQjO,200,82,tanh,100,0.1479671169933947,0.2037524314530989,138,0.7
SGD,0.15,3,0.6439382952102539,0.018637100540114325,IjsqB,200,27,tanh,5,0.2465822806490952,0.13039495159370926,125,0.7
SGD,0.15,4,0.6226170691556809,0.03692267367699505,wANCc,200,62,relu,70,0.028989776624266297,0.14273571250617223,142,0.7
SGD,0.15,5,0.6390641824045817,0.0067086418937136495,EGiK9,200,53,tanh,10,0.11188743265252589,0.18649919209767235,171,0.7
SGD,0.15,2,0.5621370894891236,0.011903279116161177,eYR2H,200,71,tanh,100,0.009436903682148615,0.09154751085712579,99,0.7
SGD,0.15,3,0.5980315085442032,0.02729203007188096,HOwOp,200,76,tanh,5,0.0014840704386381745,0.11975137506068753,184,0.7
SGD,0.15,4,0.6685115386078321,0.032204336337091743,azr9g,200,23,tanh,50,0.18973721419320205,0.07699269438677261,177,0.7
SGD,0.15,5,0.6614439332848607,0.008254658579051125,VbzsR,200,38,tanh,5,0.007046458275239341,0.055333562112540854,130,0.7
SGD,0.15,2,0.6379728259859363,0.00024749264440272235,OoCsF,200,87,relu,10,0.05765035836917321,0.0100663326223169,97,0.7
SGD,0.15,4,0.5879491453856353,0.033350497276263026,yprDw,200,10,tanh,100,0.013980279768282311,0.23079021063918367,154,0.7
SGD,0.15,3,0.6669175096637595,0.026336129602821754,meuE9,200,34,tanh,5,0.0028152813893226906,0.033979564998348324,111,0.7
SGD,0.15,4,0.5133378470614546,0.014139505506012246,SK2XH,200,47,tanh,70,0.0009344302420138932,0.06980692314046355,90,0.7
SGD,0.15,5,0.6554913873723799,0.018346617167261464,AVuVG,200,63,tanh,10,0.0043556941145682405,0.00035519463119124475,123,0.7
SGD,0.15,2,0.6763982475289264,0.04395429526534019,a814c,200,95,tanh,100,0.370459667835857,0.02188648609680375,168,0.7
