epochs,optimizer,batch_size,layer_2,preweight,trialJobId,dropout,reward,layer_1,regularization,train_frac,learning_rate,activation,test_frac
200,SGD,5,14,5,g2UAu,0.3137567757218862,0.4233982595526854,195,0.04686277805893055,0.7,4.8183828358825135e-06,tanh,0.15
200,SGD,50,109,3,p34lF,0.29304547019834504,0.4537764121854263,127,0.08905696260296982,0.7,6.016847885628009e-05,relu,0.15
200,SGD,10,24,9,rHVmD,0.2735637608960849,0.6000919299196892,40,0.07651607395007885,0.7,0.31572261382473543,relu,0.15
200,adam,50,193,5,xKUei,0.33804859554599753,0.5434989499688762,77,0.0711456041456826,0.7,7.26778702468718e-06,elu,0.15
200,SGD,70,35,7,XfgTv,0.06058126425504984,0.5556051086224507,145,0.09981289056450811,0.7,0.0014636003077437244,elu,0.15
200,SGD,5,197,5,Qw5IS,0.24756913259519864,0.5916101167323549,96,0.09928454656165143,0.7,0.006422731146898281,tanh,0.15
200,SGD,5,168,2,XYUgx,0.360328375733509,0.40797894589871,61,0.08132739788723564,0.7,1.140293320769733e-06,tanh,0.15
200,SGD,5,129,9,RhKuy,0.0958579571530541,0.5326456807493207,76,0.05012147418961613,0.7,0.00010004510512254643,tanh,0.15
200,adam,70,107,8,bv9oM,0.37423554076333204,0.5263680644896838,142,0.003391298546247312,0.7,0.3768214682874501,relu,0.15
200,SGD,70,66,4,CZp7A,0.23623995569630557,0.5232041081460364,134,0.02027751526942234,0.7,0.006221107447419683,relu,0.15
200,adam,70,171,6,U2dKb,0.28841603466297355,0.5176758105415425,68,0.08656876799419216,0.7,0.42059007595147946,elu,0.15
200,SGD,50,177,5,nwvn0,0.26407922482907814,0.4824794606241235,182,0.0333107707958995,0.7,0.0004693053736237711,tanh,0.15
200,adam,30,40,8,uBZgQ,0.33716268001288613,0.6030670612112391,182,0.041645625995772054,0.7,2.2224727988047417e-05,relu,0.15
200,adam,10,81,8,TqOBO,0.09207102579666447,0.5747162750301456,163,0.06916165258246114,0.7,1.7767771188686893e-05,tanh,0.15
200,adam,10,39,4,cTaxe,0.015176205960213763,0.4943261395161356,70,0.02564364551966848,0.7,0.1129991564033211,relu,0.15
200,adam,30,133,3,GKkKq,0.020707552364357708,0.6330279303437718,49,0.07318119968354882,0.7,0.0003663640822315963,relu,0.15
200,adam,30,127,2,MncjC,0.36938223792819486,0.605182611294764,13,0.04706332689879777,0.7,0.00023510550557947563,elu,0.15
200,adam,30,27,3,bey8X,0.01350157982604956,0.634680253615835,172,0.001660118966729507,0.7,0.0020781715506710302,tanh,0.15
200,adam,70,35,7,R3Xgs,0.019309241422465862,0.6148712768919105,49,0.08144573023240642,0.7,0.00046716530879638166,elu,0.15
200,adam,10,87,5,AUmzx,0.07587504169134443,0.6047862087381836,24,0.0008490555728440374,0.7,0.00022445660382100916,tanh,0.15
200,adam,100,146,3,rwavg,0.15575967467593166,0.6357529219755277,104,0.06128972719462673,0.7,0.025913640930897635,relu,0.15
200,adam,100,150,3,B7brR,0.15606989756607229,0.5732353386169163,109,0.061449597113916496,0.7,0.034367038281073334,tanh,0.15
200,adam,100,150,2,CyRp2,0.16172891232130027,0.5623712856886132,103,0.060207556527969996,0.7,0.015616469049757458,relu,0.15
200,adam,100,60,4,eIsta,0.13748510471845832,0.6710916112464954,120,0.013063068166843075,0.7,0.0015284277487267377,tanh,0.15
200,adam,100,60,4,lrUzw,0.18577444598388604,0.5903993533313739,119,0.01776426997071947,0.7,0.029243786083747485,relu,0.15
200,adam,100,89,4,CiIqs,0.13021982196147988,0.5794944739410036,96,0.01064252582163968,0.7,0.07183279223207953,relu,0.15
200,adam,100,60,6,bFYtI,0.21219480141268932,0.6302019194559251,154,0.035459321173325425,0.7,0.00180868923365339,tanh,0.15
200,adam,100,73,3,rTku1,0.1200536959534182,0.6017638808049024,117,0.057467980795226935,0.7,0.007040454883978716,relu,0.15
200,adam,100,101,2,SeaP5,0.19494290648216256,0.602513061728349,84,0.05345145657793457,0.7,0.0037259932875390984,tanh,0.15
200,adam,100,11,4,Ix4bU,0.04882354463169544,0.5674273945888931,193,0.04072197974178098,0.7,0.07553921905987392,tanh,0.15
200,adam,100,117,3,a7b41,0.14560954242927115,0.5786535716441813,128,0.06483995720787852,0.7,0.017874967685684293,relu,0.15
200,adam,100,147,6,uOxHU,0.11820589659797592,0.6322514398673629,87,0.027638720772888172,0.7,0.0009918703839410382,elu,0.15
200,adam,50,96,5,IvtYd,0.22398574293555923,0.49988628128708157,116,0.012888828275426993,0.7,0.13861894977662567,relu,0.15
200,SGD,100,53,2,EAvlW,0.1875635902319748,0.4437970411016872,152,0.09345300215883824,0.7,4.8381570912504585e-05,tanh,0.15
200,adam,50,183,4,AJ7D8,0.17360589779306013,0.639149766067697,135,0.053222398523492746,0.7,0.003098411249830551,elu,0.15
200,SGD,50,185,7,T0nQ6,0.3152429192651266,0.48394275474616977,138,0.04169537487514502,0.7,4.645137358124267e-06,elu,0.15
200,adam,50,116,10,aKK8A,0.04116737980081642,0.6556699347042857,168,0.008039175607741245,0.7,0.00013269086864974508,elu,0.15
200,SGD,50,47,5,uyRMF,0.07399776931346877,0.44718324105720164,200,0.009249068642078145,0.7,2.3495540317554553e-06,elu,0.15
200,adam,5,115,9,U5pqM,0.039163597230937694,0.628666666492148,165,0.007658947984249265,0.7,0.0001098000787611838,elu,0.15
200,SGD,50,75,10,olNkx,0.04378176670932945,0.4197359100436193,190,0.019758234260487863,0.7,2.8605499394850337e-05,elu,0.15
200,adam,5,16,10,dJz2o,0.09426286486963556,0.6034293738758125,150,0.027528104686620737,0.7,9.676291665542924e-06,elu,0.15
200,adam,50,161,7,fG0bp,0.10871721267435418,0.6439936751940205,173,0.015193912043380166,0.7,0.0001164602349808786,tanh,0.15
200,SGD,50,137,9,TFWJl,0.13628699071654254,0.5113991962629734,160,0.004449793773696305,0.7,0.0008953013857659597,elu,0.15
200,adam,10,115,8,zpxC5,0.05959611838509975,0.6099745215412485,127,0.03223818158228638,0.7,5.770961708223182e-05,tanh,0.15
200,adam,70,20,6,h4E14,0.25312385899289264,0.6203300262995113,179,0.022916631190725338,0.7,0.00018323530696167135,elu,0.15
200,SGD,5,98,10,fYWV4,0.07737358899029399,0.5966756899790956,145,0.005007746944685639,0.7,0.009834163394549993,tanh,0.15
200,adam,30,68,7,XyxOK,0.2108491871163954,0.5369908624084251,129,0.016616691371989532,0.7,1.247054334698449e-06,elu,0.15
200,adam,50,108,5,ufWmp,0.2730262540397075,0.6188701430370737,96,0.03764455917444195,0.7,1.2315809211810764e-05,tanh,0.15
200,SGD,10,125,8,XH6co,0.031130766091370908,0.449650366380758,58,0.03174017493745955,0.7,3.642295537746558e-05,elu,0.15
200,adam,70,27,9,Iiv9F,0.23350370739205473,0.6590514881209956,30,0.024448721433012566,0.7,0.0005784452378401703,tanh,0.15
200,adam,70,31,9,g9jWA,0.30573262146142455,0.6556451923558898,35,0.04697525566181917,0.7,0.0006053386465573463,tanh,0.15
200,adam,70,47,6,jJ2Ot,0.3364688915104783,0.5489509658159044,10,0.021607735329639572,0.7,0.21433914817604724,tanh,0.15
200,adam,70,26,8,vHfNG,0.23921183730587037,0.6282590115430672,63,0.024695355491931987,0.7,0.0032885154996240653,tanh,0.15
200,SGD,70,43,5,mIKod,0.28341476038656127,0.5389280718055661,23,0.028802117384972365,0.7,0.0012504414250901097,tanh,0.15
200,adam,70,55,9,LLh0U,0.26247026996317446,0.6192778047754828,81,0.0005567623688290911,0.7,0.00038574912053036136,tanh,0.15
200,adam,30,88,4,Stv6e,0.3978117781128851,0.6373634326729976,37,0.012049970781634277,0.7,0.005863388755450796,tanh,0.15
200,adam,70,19,6,iK9HZ,0.1772175989204295,0.638176248634893,47,0.03725347721958948,0.7,0.0002817586804501952,tanh,0.15
200,adam,5,77,7,yOga3,0.20833038137029503,0.508576134028614,21,0.04164281048793342,0.7,0.051149418593227865,tanh,0.15
200,SGD,10,34,3,lx178,0.23140149875642232,0.5682823700253345,73,0.015331154377162553,0.7,0.002042040562426468,tanh,0.15
200,adam,70,82,2,ivor7,0.30686587253362285,0.5743645612987336,90,0.050104767529686664,0.7,7.189843573375678e-05,tanh,0.15
200,adam,30,70,4,rz7yu,0.3926296493799228,0.6195288218523322,110,0.06887685033440807,0.7,0.012029133471298045,tanh,0.15
200,adam,100,11,8,AVtB2,0.3553026911480165,0.5984680984980872,54,0.044319210497492684,0.7,0.0006398346639367301,tanh,0.15
200,adam,70,62,5,LQTMy,0.16238365666961685,0.5409702776771788,29,0.029489454749606517,0.7,4.14641114513775e-06,tanh,0.15
200,SGD,100,53,3,zfPjZ,0.10685984459569192,0.4885808179906834,68,0.07982184281646117,0.7,0.004457591538098572,relu,0.15
200,adam,10,40,7,jKOZa,0.32365419153668107,0.5480721133176438,79,0.055722447696588476,0.7,0.020348916699178432,tanh,0.15
200,adam,50,140,10,DitXW,0.00944786691155896,0.6345658821151157,159,0.006123568779169426,0.7,0.00013168196933792585,elu,0.15
200,adam,50,158,10,l1S7R,0.14640017855742868,0.6294988641028524,169,0.01808470053579154,0.7,0.00017971412673894126,elu,0.15
200,adam,50,124,9,mtTfY,0.06653363663598424,0.647905597687367,188,0.0013342368908871019,0.7,2.0535179351927155e-05,elu,0.15
200,adam,5,93,9,OQSoz,0.083911542772346,0.6312683979674156,139,0.023861872680148118,0.7,7.404618919632742e-05,elu,0.15
200,adam,100,81,10,HgMGU,0.001538213488583129,0.615280131432858,199,0.009985602246132243,0.7,0.001279205035937228,relu,0.15
200,adam,30,120,8,ZDiGN,0.12834147647494748,0.624443462085409,97,0.013665025633035373,0.7,0.00032044420688782287,tanh,0.15
200,adam,70,106,10,qyLYk,0.19762910473879874,0.632509891754921,119,0.020043409846414208,0.7,0.002529004049655789,elu,0.15
200,adam,50,133,9,i5F70,0.25154914688829405,0.6301582839914138,179,0.00726583464634388,0.7,0.0008793663277934477,tanh,0.15
200,adam,100,103,9,CgIDx,0.22610798354265457,0.6316344529630633,111,0.002219356122740105,0.7,0.0005019735504816034,elu,0.15
200,adam,100,64,10,IXf9c,0.10657741003969763,0.5197184718413996,148,0.026694860358533586,0.7,7.505158263849549e-06,relu,0.15
200,adam,50,24,8,djLbd,0.026376293718874483,0.5703495036405491,100,0.03396265472662563,0.7,3.453358995315186e-05,tanh,0.15
200,adam,10,47,4,TfThq,0.17241365679657214,0.5960797515344463,90,0.038898319908963815,0.7,1.3988486149543406e-05,elu,0.15
200,adam,5,112,2,fkjYy,0.14495203135027857,0.6031752579758147,133,0.009016596637697227,0.7,0.0001865504086866064,tanh,0.15
200,adam,70,94,10,BlTLG,0.054804350902495844,0.6084965850161446,185,0.03102304519441304,0.7,0.008757682710760436,elu,0.15
200,SGD,100,56,6,A4FoM,0.186743138401905,0.5178945993484696,155,0.012136585338789696,0.7,0.0015974824737344123,relu,0.15
200,adam,50,31,5,csRB5,0.28836100580776836,0.6296983438268741,122,0.018178887213382233,0.7,0.005236134881553691,tanh,0.15
