,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
uNxtM,0.07341197110784092,70.0,0.10696025577952746,SGD,relu,1.1862591554353922e-05,82.0,63.0,0.7,0.15,200.0,0.5886012944474366,0.06001035135257801,-1,-1
Jmd12,0.13746292201332058,5.0,0.13634953408235878,SGD,relu,3.5495725372293525e-06,68.0,100.0,0.7,0.15,200.0,0.6258988296516292,0.023081135492676243,-1,-1
A3zTR,1.1934814648640255e-05,50.0,0.08846717311009229,SGD,relu,1.3228086823246803e-05,19.0,39.0,0.7,0.15,200.0,0.43592119278947566,0.07162418531025536,-1,-1
aQAEm,0.0004993119391127755,5.0,0.11531755640940564,SGD,relu,4.707023739420756e-07,93.0,31.0,0.7,0.15,200.0,0.4899137279976479,0.03760786297831455,-1,-1
Y6dEQ,0.007010480313961972,10.0,0.10149538390011605,SGD,tanh,9.337792236681223e-05,39.0,119.0,0.7,0.15,200.0,0.6066136964996184,0.058979504224362475,-1,-1
ru3SF,0.002120613514172751,5.0,0.1268409224692276,SGD,relu,2.4154703290886614e-05,54.0,26.0,0.7,0.15,200.0,0.5157842193737402,0.013897738349057977,-1,-1
oBFZS,0.04244661078458612,100.0,0.14912592593812948,SGD,relu,2.157049044685277e-05,46.0,186.0,0.7,0.15,200.0,0.6051352826606943,0.04970929048313006,-1,-1
BPrIF,0.21448211159005348,5.0,0.09256296780232763,SGD,relu,3.301041686101821e-05,10.0,193.0,0.7,0.15,200.0,0.6645891764099761,0.07148900303274319,-1,-1
XBeUy,0.4922513501903888,70.0,0.12128276196503254,SGD,relu,2.990681455578229e-05,72.0,81.0,0.7,0.15,200.0,0.6718909108286771,0.08043344709753628,-1,-1
j2oPF,0.3364601093069296,5.0,0.11006544381023846,SGD,tanh,7.626778926161557e-05,24.0,89.0,0.7,0.15,200.0,0.6370532181246951,0.045778763958079845,-1,-1
JFzd3,0.0008922926517969409,50.0,0.08639412199210719,SGD,relu,3.801482161190119e-07,86.0,46.0,0.7,0.15,200.0,0.45059480977670957,0.02903915856252766,-1,-1
Bc66M,0.001574088359003666,5.0,0.13867099403796657,SGD,relu,1.853123751503012e-05,58.0,108.0,0.7,0.15,200.0,0.5485669403326299,0.08210797474984992,-1,-1
b6RBN,0.020698480141214455,30.0,0.14696328306152168,SGD,relu,1.6608164043640516e-05,51.0,15.0,0.7,0.15,200.0,0.5583655904198183,0.05763002110270438,-1,-1
kK3Kx,0.03238918684950244,10.0,0.09970773713183267,SGD,relu,7.995525323960148e-05,33.0,128.0,0.7,0.15,200.0,0.6585942201336243,0.03384871670833789,-1,-1
Vgc2P,0.15925354891081706,5.0,0.08970667004942884,SGD,relu,7.054449591473856e-05,77.0,152.0,0.7,0.15,200.0,0.6238857139273077,0.036048634858267585,-1,-1
BbWSW,0.1102746750258348,100.0,0.10589623090205527,SGD,tanh,2.5881313601837022e-05,63.0,180.0,0.7,0.15,200.0,0.5433521497754742,0.07815259878130204,-1,-1
oYJQo,6.019969600533428e-05,5.0,0.11379853041513291,SGD,relu,8.353601309071638e-06,42.0,69.0,0.7,0.15,200.0,0.487278804620016,0.026535634971515832,-1,-1
u6UnL,0.00026191159702650455,30.0,0.0840897187178192,SGD,relu,5.005542303050316e-06,15.0,22.0,0.7,0.15,200.0,0.5239781216729156,0.037761428215370256,-1,-1
PXCaR,0.49622636286767896,70.0,0.09606022818802458,SGD,tanh,1.096843748666112e-05,27.0,11.0,0.7,0.15,200.0,0.5912710965311901,0.0841679916664531,-1,-1
