,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
M0Al1,0.0003448664359324843,100.0,0.12418176020506229,SGD,relu,1.1196965805524744e-05,48.0,95.0,0.7,0.15,200.0,0.48258599060845314,0.04141993315012241,-1,-1
vguU3,0.023424457862127348,30.0,0.10247720381439393,SGD,tanh,4.308249067905052e-05,194.0,119.0,0.7,0.15,200.0,0.6335165124552581,0.025667743290841823,-1,-1
dj7VR,0.4355295071074287,30.0,0.08210078938240661,SGD,relu,4.352436914260671e-05,179.0,74.0,0.7,0.15,200.0,0.5856681858509626,0.025611131402477973,-1,-1
FhW7j,0.01595502840830658,30.0,0.1018810692910977,SGD,tanh,5.1594628410946375e-05,196.0,10.0,0.7,0.15,200.0,0.5261254161801405,0.09042567270155702,-1,-1
IBq2f,0.07620532817446535,30.0,0.06705905656846634,adam,elu,7.409815248040044e-05,182.0,83.0,0.7,0.15,200.0,0.5118755004272986,0.03154341523037734,-1,-1
DyEKm,0.19111488220563,30.0,0.05435659287666432,SGD,tanh,4.762205204701841e-05,144.0,196.0,0.7,0.15,200.0,0.5822046368653216,0.024704531825700062,-1,-1
rR6vS,0.021874643219559432,70.0,0.1492901031490095,adam,elu,5.5912712105779335e-05,157.0,114.0,0.7,0.15,200.0,0.512301933279008,0.10414330403478077,-1,-1
FiNxj,0.12765431733446952,100.0,0.04429923222808335,SGD,relu,3.742867232978127e-05,128.0,61.0,0.7,0.15,200.0,0.5677388226600604,0.0901284375932067,-1,-1
UsEQp,0.29344832784244157,30.0,0.13145682959745356,SGD,tanh,7.810971359593794e-05,138.0,143.0,0.7,0.15,200.0,0.568523062659059,0.04062935735646791,-1,-1
DBzeu,0.009360130560480299,10.0,0.10625400083534635,adam,tanh,4.2490153057638186e-05,200.0,93.0,0.7,0.15,200.0,0.5590786699585746,0.046598140855400316,-1,-1
Zffxi,0.07377499027009557,50.0,0.002768807275235194,SGD,elu,6.163961201921331e-05,28.0,108.0,0.7,0.15,200.0,0.6147810109570576,0.07423221640249188,-1,-1
Z7zg4,0.03111646485759693,100.0,0.07842229992152171,adam,tanh,9.917514091537422e-05,186.0,121.0,0.7,0.15,200.0,0.4872147158159527,0.022300161272061518,-1,-1
wSW2E,0.4766343277334539,70.0,0.08912741245170457,SGD,relu,3.4411711235032586e-05,174.0,177.0,0.7,0.15,200.0,0.6115071233237617,0.0512572942876429,-1,-1
xjDIX,0.2902200559123598,30.0,0.09657539607308971,SGD,elu,9.122881308562028e-05,83.0,42.0,0.7,0.15,200.0,0.5586449720014398,0.04650009413513066,-1,-1
LJgRC,0.12794314660178488,10.0,0.11542070799420891,adam,tanh,3.899879310412694e-05,118.0,87.0,0.7,0.15,200.0,0.48896636033290697,0.010294869530390362,-1,-1
