,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
GnafG,0.0026307022386436348,10.0,0.025471939587830866,adam,relu,1.461162830219995e-05,110.0,178.0,0.7,0.15,200.0,0.553727490757416,0.028974742486169085,-1,-1
BeNrj,0.34866291947721,5.0,0.01091288755299549,SGD,relu,1.8176254023335512e-05,116.0,199.0,0.7,0.15,200.0,0.5458906159775629,0.08550057713301921,-1,-1
WISWs,4.035417774271562e-06,100.0,0.020188715566709602,SGD,relu,9.219704889962302e-06,90.0,167.0,0.7,0.15,200.0,0.4368429270593957,0.06604931778671438,-1,-1
BLHwE,1.7392373578990362e-06,70.0,0.046016066277876355,SGD,relu,2.8046324542623118e-05,107.0,159.0,0.7,0.15,200.0,0.46499362926184473,0.03837600926770766,-1,-1
BliBP,0.20379106958119683,5.0,0.005947919415984035,SGD,relu,4.9290476969474866e-05,57.0,176.0,0.7,0.15,200.0,0.6273202673802685,0.03990806372470638,-1,-1
IDj2G,0.1216572693890835,30.0,0.14582125730914386,SGD,tanh,3.609289385185159e-05,40.0,110.0,0.7,0.15,200.0,0.5603831571972127,0.03441104863277862,-1,-1
zWZE6,0.04927686404944866,30.0,0.08627036226364723,SGD,tanh,3.1510946989488056e-05,165.0,144.0,0.7,0.15,200.0,0.5900497551443623,0.08448780413040917,-1,-1
saTZ9,0.08933634145165419,100.0,0.07538930596147468,SGD,tanh,4.427964707446357e-05,177.0,134.0,0.7,0.15,200.0,0.5112383998532211,0.017428339097239513,-1,-1
i1QYw,0.01333606753587038,10.0,0.07055586744824974,SGD,tanh,5.110345557935785e-05,195.0,139.0,0.7,0.15,200.0,0.5420519331231348,0.05524583079866425,-1,-1
CdeVH,0.06228088607940465,30.0,0.035989639697207934,SGD,tanh,4.711028494453118e-05,199.0,94.0,0.7,0.15,200.0,0.6134296196580535,0.03502090837697886,-1,-1
xQiDk,0.26055458719919483,5.0,0.10086947297483304,SGD,relu,5.611399353041068e-05,150.0,105.0,0.7,0.15,200.0,0.5788533138525842,0.024997022469754694,-1,-1
u20Yz,0.15016210229059457,100.0,0.05388098462235842,SGD,tanh,3.7947608078934544e-05,34.0,120.0,0.7,0.15,200.0,0.6210282975048751,0.018511453890680932,-1,-1
UpAtD,0.028400498595158422,70.0,0.08913989787345761,SGD,relu,2.5466202184292935e-05,160.0,130.0,0.7,0.15,200.0,0.5408125823993565,0.05371078975241116,-1,-1
FZeh9,0.04123073817918996,5.0,0.1063472289005052,SGD,tanh,2.279323364005538e-05,66.0,142.0,0.7,0.15,200.0,0.5755687072131396,0.03392880445359906,-1,-1
ZjlLm,0.09550832172850018,30.0,0.04909046131728261,SGD,relu,6.88692205730825e-05,18.0,115.0,0.7,0.15,200.0,0.6065529795304017,0.03999368025464861,-1,-1
nCKc7,0.004262355872558989,100.0,0.06753199341680226,SGD,tanh,3.4266531715764964e-05,154.0,102.0,0.7,0.15,200.0,0.5103879120329322,0.06184821995213765,-1,-1
llZR8,0.17345786127483814,5.0,0.041434440562719596,SGD,relu,2.9993731787931578e-05,135.0,151.0,0.7,0.15,200.0,0.5942702467910639,0.06495655085354185,-1,-1
ViCvV,0.07028989277073745,10.0,0.1250495034976219,SGD,tanh,5.794701787657386e-05,96.0,172.0,0.7,0.15,200.0,0.5617115588419229,0.07234245258766668,-1,-1
jRNhG,0.005914437195403302,30.0,0.06295667141631367,SGD,relu,2.745570757416668e-05,62.0,123.0,0.7,0.15,200.0,0.46976784700869845,0.049963723944088954,-1,-1
Q41in,0.4014773230577419,100.0,0.08378868159455977,SGD,tanh,4.0754563046431835e-05,121.0,85.0,0.7,0.15,200.0,0.5824017974071002,0.04926529069749173,-1,-1
RkZBk,0.018510724995464002,5.0,0.05859300877131827,SGD,tanh,6.527221156992629e-05,174.0,163.0,0.7,0.15,200.0,0.5520929618740593,0.014542680935545506,-1,-1
xpaRf,0.29060951055814244,70.0,0.09557366251660405,adam,relu,1.1886576318600435e-05,82.0,137.0,0.7,0.15,200.0,0.5019679660605171,0.0027475929098324837,-1,-1
n0VH5,0.00327205858787913,30.0,0.11540580044339539,SGD,tanh,6.015763578029181e-05,180.0,156.0,0.7,0.15,200.0,0.50757299132686,0.05201340934348353,-1,-1
BLwGL,0.0008374383941833344,5.0,0.13318234031628906,SGD,relu,1.948171620545241e-05,23.0,132.0,0.7,0.15,200.0,0.49109709833858367,0.021651669329468794,-1,-1
ecEvo,0.024041803926321964,100.0,0.12198771725784446,SGD,tanh,4.3194605232007097e-05,43.0,109.0,0.7,0.15,200.0,0.534840286094189,0.06758013676672765,-1,-1
wYmrr,0.03371404632506507,5.0,0.13851941088423006,SGD,relu,5.1973837495957145e-05,12.0,186.0,0.7,0.15,200.0,0.6272040274303212,0.03944338571724797,-1,-1
uK38W,0.010015721787796979,10.0,0.07870763144140702,SGD,tanh,4.617822664157621e-05,146.0,98.0,0.7,0.15,200.0,0.5394729558825713,0.024929625766934905,-1,-1
BGX3s,0.12548690272424462,30.0,0.01900084891040802,adam,relu,1.632695273593962e-05,139.0,146.0,0.7,0.15,200.0,0.546210068013808,0.04809714348173683,-1,-1
tY5iC,0.056485399094149596,100.0,0.027592031391449025,SGD,tanh,3.7921353773651024e-05,186.0,190.0,0.7,0.15,200.0,0.5458155633487234,0.06031881616694504,-1,-1
ZBani,0.2132192556426713,5.0,0.10254649186037483,SGD,relu,7.994905587242977e-05,192.0,120.0,0.7,0.15,200.0,0.6123803037666893,0.027120102867911527,-1,-1
u7l2m,0.4635002680499661,70.0,0.129247375305467,SGD,tanh,7.145361533582163e-05,72.0,82.0,0.7,0.15,200.0,0.5649166590762518,0.045932059379217134,-1,-1
Zpfxv,0.0018845524337976248,30.0,0.09246374094683904,SGD,relu,3.1698726028227664e-05,102.0,126.0,0.7,0.15,200.0,0.49847414084096586,0.028941451166482175,-1,-1
yFTyV,0.007297124914734157,5.0,0.0008455753770728741,adam,relu,5.438602299879359e-05,130.0,154.0,0.7,0.15,200.0,0.5242413182383476,0.05246624964490362,-1,-1
j40rO,0.10525249257878785,100.0,0.09771438864085308,SGD,tanh,2.3668584387147293e-05,160.0,112.0,0.7,0.15,200.0,0.6322110669816553,0.05561214677744943,-1,-1
cv6VP,0.00014104617959732928,5.0,0.10871161253351252,SGD,relu,6.35546416552401e-05,56.0,91.0,0.7,0.15,200.0,0.4963498540665069,0.02138378142538299,-1,-1
rlXoQ,0.013537878154601625,10.0,0.023746416999149967,SGD,tanh,6.43828450596237e-06,165.0,161.0,0.7,0.15,200.0,0.5779314443258918,0.029989724593718355,-1,-1
U0KPI,0.0002589533906616082,30.0,0.03861681336149942,SGD,relu,4.874308132942656e-05,200.0,149.0,0.7,0.15,200.0,0.4809944026268381,0.04797345273650713,-1,-1
EAzFm,0.04396599214207444,100.0,0.03221998262197704,SGD,tanh,7.54573792371309e-05,143.0,195.0,0.7,0.15,200.0,0.559229742708808,0.05545684472052163,-1,-1
GDLqB,0.3082180739136163,5.0,0.06501310595628218,adam,relu,3.936647645139615e-05,93.0,166.0,0.7,0.15,200.0,0.5035584342635046,0.010660723884072992,-1,-1
gI1Ze,0.16187545255687108,70.0,0.072529874624389,SGD,tanh,6.11478049010521e-05,76.0,70.0,0.7,0.15,200.0,0.5641613089677335,0.08257868222373535,-1,-1
orXVV,0.01609463724892752,30.0,0.05116413925705771,SGD,relu,3.623073536864374e-05,50.0,181.0,0.7,0.15,200.0,0.58274614709497,0.04499930165350093,-1,-1
r1nAT,0.07171873177304107,5.0,0.11196209690124047,SGD,tanh,3.110037349663583e-06,31.0,140.0,0.7,0.15,200.0,0.5725462261813486,0.058178405684081974,-1,-1
WeA9t,0.24216229779917714,100.0,0.14319872448882062,SGD,relu,1.3984683511027087e-05,99.0,103.0,0.7,0.15,200.0,0.6290118710437891,0.04567219225384728,-1,-1
IYdk2,0.029586425955280528,5.0,0.05561459150104319,SGD,tanh,4.004381081240617e-09,150.0,96.0,0.7,0.15,200.0,0.5659152189187876,0.06205984847067695,-1,-1
eIXZ7,0.36225748936859115,10.0,0.11775792531791429,adam,relu,4.482829641931915e-05,36.0,116.0,0.7,0.15,200.0,0.4967069552772008,0.004544921084061998,-1,-1
S2WjA,1.042029857088241e-06,30.0,0.014900277652052783,SGD,tanh,3.4917154528295546e-05,87.0,174.0,0.7,0.15,200.0,0.4642219134819106,0.04284726027737379,-1,-1
p58BT,2.7684942246514968e-05,100.0,0.044834199418616216,SGD,relu,2.895667356128577e-05,70.0,127.0,0.7,0.15,200.0,0.4520103325135292,0.03973330444712065,-1,-1
liKq9,0.08850629016233467,50.0,0.04765432925711702,SGD,elu,5.7024434327926267e-05,134.0,132.0,0.7,0.15,200.0,0.5798280923528605,0.05545386503071112,-1,-1
E9GrM,1.312738412296951e-05,5.0,0.08745507390653783,SGD,tanh,2.5916097204541068e-05,125.0,143.0,0.7,0.15,200.0,0.45166371659764126,0.031230945455090503,-1,-1
btSts,0.021797488988810877,70.0,0.07508121552556182,SGD,relu,2.0443129745334404e-05,170.0,136.0,0.7,0.15,200.0,0.5367889944400047,0.03160968471421729,-1,-1
aMDZ7,0.008953659602135072,30.0,0.08318153468666636,adam,tanh,6.798404488130723e-05,108.0,107.0,0.7,0.15,200.0,0.5601169120872147,0.06597956334054289,-1,-1
ZmKkt,0.05107216690905048,5.0,0.009673781139663384,SGD,relu,4.158306754748798e-05,115.0,88.0,0.7,0.15,200.0,0.5577152864375862,0.0623039602765772,-1,-1
VKAXC,0.16319054492190646,100.0,0.10492193593109428,SGD,tanh,3.325319732928683e-05,182.0,171.0,0.7,0.15,200.0,0.5601681466598483,0.10192776154398374,-1,-1
D3kPY,8.754495648396396e-05,5.0,0.06045540769354252,SGD,elu,5.3253498039947445e-05,26.0,159.0,0.7,0.15,200.0,0.5050000626195141,0.05207920055209574,-1,-1
hQvFb,0.48897971074069996,10.0,0.041508527319235426,SGD,relu,9.787485459750766e-05,47.0,122.0,0.7,0.15,200.0,0.6258968447793871,0.04144751640611999,-1,-1
zEwsH,0.2053170567726062,30.0,0.06903979534085346,SGD,tanh,1.0087931025719038e-05,79.0,185.0,0.7,0.15,200.0,0.5484012455832058,0.059158155165256375,-1,-1
SOLMF,0.001055205638729115,50.0,0.0906637449756677,adam,relu,5.055134607741856e-05,20.0,151.0,0.7,0.15,200.0,0.5819039749430306,0.07588549734994007,-1,-1
qzeyR,0.005056049694787508,100.0,0.03529524153531013,SGD,tanh,1.624324259586647e-05,159.0,58.0,0.7,0.15,200.0,0.4945709441583606,0.042353502605818764,-1,-1
i2Xz9,0.11743394596997903,5.0,0.07818902718493267,SGD,relu,2.200196167315949e-05,112.0,79.0,0.7,0.15,200.0,0.6099907748041636,0.06977681407401513,-1,-1
gKD2r,0.4904035722273737,70.0,0.11438917321665877,SGD,tanh,4.7484997749458115e-05,83.0,114.0,0.7,0.15,200.0,0.6170131974409602,0.06372920903103355,-1,-1
uXfPb,0.0005436828565125112,30.0,0.1272885019588548,SGD,elu,7.330409453982354e-05,120.0,145.0,0.7,0.15,200.0,0.4674470640858999,0.03580608550065726,-1,-1
Ghfwg,0.012030904419271333,5.0,0.1352307533585349,SGD,relu,4.324605838422439e-05,155.0,129.0,0.7,0.15,200.0,0.571162876743388,0.048807488729117186,-1,-1
FlSpf,0.03725506006472964,100.0,0.12035550835792151,adam,tanh,3.0194634992942755e-05,62.0,165.0,0.7,0.15,200.0,0.47925961953831375,0.027006380471025868,-1,-1
Ib2Ut,0.06857553762688526,5.0,0.10036722670591074,SGD,relu,6.624088454906595e-05,196.0,101.0,0.7,0.15,200.0,0.5431679930441273,0.0707384515647708,-1,-1
BKoTB,0.003700501075637276,10.0,0.14840046208946847,SGD,tanh,7.132988371962208e-06,174.0,139.0,0.7,0.15,200.0,0.5731828272314365,0.063739439348078,-1,-1
DO2xi,0.002351535018821059,30.0,0.05730844529680321,SGD,relu,8.437606097670932e-05,53.0,200.0,0.7,0.15,200.0,0.4828805231690062,0.03645151406923998,-1,-1
AJKr3,0.006904947725594855,100.0,0.09548616764858514,SGD,tanh,3.937709979448324e-05,104.0,156.0,0.7,0.15,200.0,0.5035070680332824,0.03964872289865439,-1,-1
JarWc,0.33546440950519363,50.0,0.027865327736894853,SGD,elu,8.01176749294154e-05,187.0,107.0,0.7,0.15,200.0,0.5785180970630852,0.06359158059569713,-1,-1
QrWDM,0.024930935715663523,5.0,0.08108680472455881,adam,relu,1.8518772230127745e-05,15.0,177.0,0.7,0.15,200.0,0.49863060684727156,0.009492484928217186,-1,-1
YDSxn,0.12786829591120025,70.0,0.030800171184824594,SGD,tanh,5.918572218670999e-05,67.0,119.0,0.7,0.15,200.0,0.5688225597764589,0.028181611874850056,-1,-1
iO20s,0.26255884385593087,30.0,0.021617019195826433,SGD,relu,5.524453468266829e-05,40.0,112.0,0.7,0.15,200.0,0.5838106712389523,0.02707317927856955,-1,-1
xmw2p,0.09732165729323956,5.0,0.0045821303466868635,SGD,tanh,2.475930831684008e-05,165.0,125.0,0.7,0.15,200.0,0.5501403551198347,0.056172821551388294,-1,-1
OK6Xs,0.0015691044850299912,100.0,0.1304792545505323,SGD,relu,6.1967045769392e-05,90.0,94.0,0.7,0.15,200.0,0.49410361708170364,0.023127816952233406,-1,-1
hpWfv,0.018413724960853813,5.0,0.12614790763243594,SGD,tanh,6.994372199403021e-05,138.0,64.0,0.7,0.15,200.0,0.5784151754378204,0.07760845726775199,-1,-1
bOj10,0.4994197838469121,10.0,0.06628978061619206,adam,elu,2.7664261067777613e-05,149.0,147.0,0.7,0.15,200.0,0.4986674974673598,0.001655710359099581,-1,-1
J7R0n,0.054507537277965964,30.0,0.017019036777482247,SGD,relu,3.6767503695991914e-05,129.0,134.0,0.7,0.15,200.0,0.5822760025020375,0.0940352223573801,-1,-1
n1gXa,4.176588595297732e-05,50.0,0.0520560866949763,SGD,tanh,3.230471060227072e-05,74.0,153.0,0.7,0.15,200.0,0.45937096482917406,0.03545404916622229,-1,-1
b413I,0.0003607596692143838,100.0,0.10985922681572971,SGD,relu,7.609043349320852e-05,142.0,168.0,0.7,0.15,200.0,0.46948988026169214,0.031173494215707163,-1,-1
R1JnB,0.17225254339872106,5.0,0.06265451118495359,SGD,tanh,4.496324205561455e-05,96.0,98.0,0.7,0.15,200.0,0.5745652834549475,0.020967190558264723,-1,-1
Fv77G,0.03840122351893088,70.0,0.09246046677223478,SGD,relu,8.836499104388962e-05,11.0,74.0,0.7,0.15,200.0,0.5517514785603292,0.07120044362809344,-1,-1
r57ly,0.08463551784983289,30.0,0.10525606838988988,adam,tanh,1.2058963044369313e-05,191.0,189.0,0.7,0.15,200.0,0.4963414328446392,0.02845389231768351,-1,-1
m24oA,0.3897977111604542,5.0,0.07160434418655481,SGD,elu,4.8374857768268925e-05,85.0,180.0,0.7,0.15,200.0,0.5977751223398202,0.050172332504186345,-1,-1
xG0iM,0.028135828271744562,5.0,0.047855651463617255,SGD,elu,5.2410397623364046e-05,45.0,161.0,0.7,0.15,200.0,0.5908087090036825,0.042145807607143,-1,-1
rmBnv,0.37145330885298944,100.0,0.12296708089957227,SGD,relu,6.38943302340074e-05,29.0,142.0,0.7,0.15,200.0,0.5789203321516531,0.044569279608657655,-1,-1
H0Juf,0.25137623033402834,5.0,0.03796022476701912,SGD,tanh,4.668533373323007e-05,37.0,118.0,0.7,0.15,200.0,0.5959781134768508,0.05538965772904859,-1,-1
qjLbg,0.000724580499113761,10.0,0.04267473018061842,SGD,relu,2.129744968556891e-05,101.0,131.0,0.7,0.15,200.0,0.5056792208666083,0.037016823580354755,-1,-1
pEA1b,0.1427915726051174,30.0,0.13879347647595358,SGD,tanh,3.4578993323400747e-05,60.0,157.0,0.7,0.15,200.0,0.5870506596498004,0.05706324593203974,-1,-1
qgpou,0.012280441584474739,50.0,0.025147990277351047,adam,relu,1.476836430421274e-05,177.0,87.0,0.7,0.15,200.0,0.573675464081391,0.05787035087733276,-1,-1
GifOn,0.002917831928715975,100.0,0.05365958116264512,SGD,tanh,4.87924764237266e-05,123.0,183.0,0.7,0.15,200.0,0.5055631237883912,0.022409959865852,-1,-1
vZfFm,0.008773792656810952,5.0,0.11768514533781209,SGD,elu,4.052999342005225e-05,24.0,81.0,0.7,0.15,200.0,0.5684082450677098,0.040573974559866055,-1,-1
SfJpH,0.04604853380660795,70.0,0.008269864942145367,SGD,relu,3.0187222252253884e-05,152.0,137.0,0.7,0.15,200.0,0.584591450704922,0.08500263566145101,-1,-1
CnfJp,0.004969227334828839,30.0,0.07143010208941925,SGD,tanh,5.756454684164537e-05,169.0,10.0,0.7,0.15,200.0,0.5177316311811057,0.03253714389897155,-1,-1
NDh1h,0.06346070138061947,5.0,0.0853690775226675,SGD,relu,5.038050700927182e-05,86.0,123.0,0.7,0.15,200.0,0.5568310201599506,0.05449970423989473,-1,-1
tA8Ck,0.18947861155633333,100.0,0.08847890270624298,adam,tanh,4.2746703610162125e-05,93.0,180.0,0.7,0.15,200.0,0.4932010486443742,0.06175682474467247,-1,-1
i29vb,0.3931101203196042,5.0,0.0332683247185807,SGD,relu,9.340927365563576e-05,183.0,170.0,0.7,0.15,200.0,0.6054930776136962,0.0653073271834333,-1,-1
Sv2QF,0.10559984365073691,10.0,0.10760385034401415,SGD,tanh,2.7230981307689928e-05,132.0,104.0,0.7,0.15,200.0,0.6166864697783666,0.05677912747010519,-1,-1
BnDW9,0.029851826769665468,30.0,0.013138147828168759,SGD,elu,2.35976048440334e-05,110.0,175.0,0.7,0.15,200.0,0.6133622982224913,0.07585355002075886,-1,-1
X2d37,0.022367842345824607,50.0,0.10020408254991457,SGD,relu,1.896078440188521e-05,200.0,150.0,0.7,0.15,200.0,0.5116183970853772,0.06314397368934506,-1,-1
Qvp9N,0.015378804445548866,100.0,0.07729137063651358,SGD,tanh,3.778168306107692e-05,146.0,192.0,0.7,0.15,200.0,0.5003459006081812,0.07343466415746888,-1,-1
JWGv7,0.00010387951742450611,5.0,0.06014897722329386,SGD,relu,3.6120380207092175e-05,78.0,109.0,0.7,0.15,200.0,0.467830278069563,0.06452107646719661,-1,-1
XMMNW,0.08109247713851879,30.0,0.1142667128061737,adam,tanh,8.24221545133796e-05,157.0,91.0,0.7,0.15,200.0,0.5127600249160083,0.04415103364091356,-1,-1
mBrfr,0.00017063919929879645,70.0,0.045234425612228714,SGD,relu,5.474297919210763e-05,64.0,163.0,0.7,0.15,200.0,0.49279471719008716,0.04494457133847573,-1,-1
bReuP,0.001162150594245579,5.0,0.09784386122878412,SGD,tanh,3.330239664203903e-05,33.0,126.0,0.7,0.15,200.0,0.5621169410767646,0.07110967467528732,-1,-1
mdU6N,0.231320249177282,100.0,0.10286229740777016,SGD,elu,4.706247490324697e-06,19.0,114.0,0.7,0.15,200.0,0.5590652361481177,0.04659582189474189,-1,-1
rRhu6,0.03926804695343369,5.0,0.06773539888448861,SGD,relu,2.569621997376155e-05,69.0,145.0,0.7,0.15,200.0,0.5579611106956309,0.04473243501001848,-1,-1
EdNFh,0.006341926904511258,10.0,0.05029065058181586,SGD,tanh,1.6784057141848718e-05,117.0,134.0,0.7,0.15,200.0,0.5644748079943603,0.07171782629909979,-1,-1
GmFW0,4.828571930223821e-06,30.0,0.08061940576559139,adam,relu,8.678017166648234e-06,55.0,197.0,0.7,0.15,200.0,0.4964899430541272,0.014719485151956821,-1,-1
UlAmr,0.05674057469069142,50.0,0.07417896101396487,SGD,tanh,2.8889619317226572e-05,163.0,129.0,0.7,0.15,200.0,0.564467610231167,0.033010789647386116,-1,-1
AEmnS,0.11905793726067708,100.0,0.13209889107346456,SGD,relu,7.084684918747172e-05,83.0,139.0,0.7,0.15,200.0,0.5722158805762614,0.10742349698983486,-1,-1
ealO0,0.4817496909535467,5.0,0.040823983485271435,SGD,tanh,6.015867396826108e-05,52.0,159.0,0.7,0.15,200.0,0.6041604313465073,0.04813250664873863,-1,-1
NsJmJ,0.0020242309007783075,70.0,0.05601303525093284,SGD,elu,4.170271033848243e-05,137.0,67.0,0.7,0.15,200.0,0.49746075300768106,0.01927276778213341,-1,-1
EphUD,0.16108727211429022,30.0,0.11161025003754313,SGD,relu,6.751553047562842e-05,106.0,120.0,0.7,0.15,200.0,0.6618801463311816,0.040512002040201694,-1,-1
h5PL7,0.3453992861082704,5.0,0.1431185267711142,adam,relu,8.626277260983912e-05,106.0,99.0,0.7,0.15,200.0,0.494486919250045,0.012840383493362173,-1,-1
qEZmj,0.15562631789247525,30.0,0.02003015495379825,SGD,relu,9.019009100066729e-05,121.0,121.0,0.7,0.15,200.0,0.566345083023058,0.06767860565226295,-1,-1
r7htf,0.2672251782854218,100.0,0.02889871835833487,SGD,relu,6.779485955989065e-05,90.0,40.0,0.7,0.15,200.0,0.5370359880542653,0.0698338921761566,-1,-1
K1HYh,0.4988759944880564,5.0,0.01251700504871867,SGD,relu,7.345253258992166e-05,112.0,29.0,0.7,0.15,200.0,0.5564923176212195,0.025361278803947247,-1,-1
hev8G,0.19568984512851686,10.0,0.14921451865744276,SGD,relu,7.897407851473713e-05,97.0,149.0,0.7,0.15,200.0,0.5506936519629289,0.043044747306290244,-1,-1
RtHTS,0.2978715522468495,30.0,0.03421910321589615,SGD,relu,6.524585767330094e-05,101.0,77.0,0.7,0.15,200.0,0.6143267338084104,0.0193793070348036,-1,-1
b2jjl,0.07012858015526613,30.0,0.11253050688720728,SGD,relu,6.429971362158597e-05,106.0,118.0,0.7,0.15,200.0,0.5602423915925423,0.06361350443977509,-1,-1
ANtgZ,0.09709141229007165,30.0,0.1197906170626323,SGD,relu,6.950614498631417e-05,127.0,95.0,0.7,0.15,200.0,0.6209710113325221,0.04057726592155326,-1,-1
m2whj,0.13031779168481677,30.0,0.12511656725673603,SGD,relu,7.217250554610095e-05,125.0,112.0,0.7,0.15,200.0,0.6069815722017186,0.010253609668217444,-1,-1
a5pGq,2.3061229487660685e-06,30.0,0.10852402277526074,SGD,relu,6.714909708835898e-05,87.0,105.0,0.7,0.15,200.0,0.4218636119664879,0.04059927213263074,-1,-1
WAOPc,0.05206239108423401,30.0,0.13466766462001778,SGD,relu,7.499029070624116e-05,116.0,124.0,0.7,0.15,200.0,0.5550982347819546,0.06812569239820493,-1,-1
hEa1m,0.20497626209350786,30.0,0.0951484507200947,SGD,relu,6.095473324851704e-05,75.0,142.0,0.7,0.15,200.0,0.5870301033824645,0.07667149635455503,-1,-1
il1QG,0.03252053908465982,30.0,0.0904809755054725,SGD,relu,5.811396394365817e-05,134.0,109.0,0.7,0.15,200.0,0.5216685023967053,0.05223877806297028,-1,-1
fT8bK,0.020155844007756482,30.0,0.11761649314826728,SGD,relu,5.220517807653275e-05,80.0,130.0,0.7,0.15,200.0,0.5548287500380976,0.09238797841069889,-1,-1
Xxx4N,0.3877172944945695,30.0,0.12254533243720178,SGD,relu,6.210762490545245e-05,113.0,102.0,0.7,0.15,200.0,0.6005374969345494,0.06578228274288295,-1,-1
ZvlYi,0.15415391228542968,30.0,0.10341843127680125,SGD,relu,5.6075316057507864e-05,104.0,137.0,0.7,0.15,200.0,0.5853450639614002,0.02808975719534919,-1,-1
v9kbu,0.07451105731842855,30.0,0.11145075130585112,SGD,relu,4.513638487692361e-05,142.0,133.0,0.7,0.15,200.0,0.550759428966981,0.045989876933313335,-1,-1
hgbHD,0.04315274651429984,30.0,0.12804733212413863,SGD,relu,8.415027347971672e-05,94.0,116.0,0.7,0.15,200.0,0.5728021569747493,0.03730508392244026,-1,-1
BgEDN,0.2823289761447978,30.0,0.09884732500968417,SGD,relu,5.007895154645368e-05,119.0,87.0,0.7,0.15,200.0,0.5986073411540563,0.032787825259471444,-1,-1
b0CNr,0.09662430803494199,50.0,0.13723925562262126,SGD,tanh,3.988132383848563e-05,109.0,154.0,0.7,0.15,200.0,0.6121599633911373,0.049883036115436555,-1,-1
sEG2F,0.01634223933525806,100.0,0.1068568044794252,SGD,relu,7.737799497518521e-05,70.0,121.0,0.7,0.15,200.0,0.5151640293725279,0.03862073835132224,-1,-1
wbn9k,0.2125214227678158,5.0,0.1164893811743445,SGD,tanh,8.107107538632714e-05,101.0,107.0,0.7,0.15,200.0,0.6097797330517614,0.03897825180583278,-1,-1
tg09z,0.026193803812764833,30.0,0.085188231320041,SGD,relu,5.396137391334523e-05,131.0,165.0,0.7,0.15,200.0,0.5096115757159104,0.02199175195537984,-1,-1
gT5gV,0.48178616688210013,70.0,0.09634846031877572,SGD,tanh,3.2282152613560454e-05,85.0,146.0,0.7,0.15,200.0,0.5636156947914908,0.057800831725370275,-1,-1
bQZJo,0.01058778786960544,5.0,0.09304824725832306,SGD,relu,4.796431247895302e-05,92.0,125.0,0.7,0.15,200.0,0.548806684848161,0.00994217447571642,-1,-1
fu5sf,0.12348787807019956,30.0,0.10154689584306321,SGD,elu,2.2373347395339502e-05,98.0,112.0,0.7,0.15,200.0,0.5410894179836944,0.020959563109425653,-1,-1
wB6FN,0.05899254900739167,100.0,0.12053341271350691,SGD,relu,6.644599169825224e-05,128.0,127.0,0.7,0.15,200.0,0.5433681898209215,0.0889546653923656,-1,-1
JNC7V,0.306080124073191,5.0,0.1411823203878807,SGD,tanh,7.743237229215494e-05,122.0,97.0,0.7,0.15,200.0,0.6545227349379535,0.02966889412451781,-1,-1
AI99x,0.3341690945112449,5.0,0.14492091061495443,SGD,tanh,9.611463792136234e-05,124.0,92.0,0.7,0.15,200.0,0.5937514652200229,0.06596402817256207,-1,-1
KxAmn,1.4391345030859128e-05,5.0,0.14076379357237645,adam,relu,7.645079906671373e-05,121.0,72.0,0.7,0.15,200.0,0.5071118358583011,0.00916985937495743,-1,-1
UgBYL,0.3915328521771626,5.0,0.14569474710765157,SGD,tanh,8.686739285570297e-05,136.0,84.0,0.7,0.15,200.0,0.6199020669717938,0.027881012415279835,-1,-1
AsGcB,0.16955490096550888,5.0,0.13222157354584635,SGD,relu,7.883317611644038e-05,109.0,99.0,0.7,0.15,200.0,0.6486972679491773,0.0429256219566253,-1,-1
pbwqy,0.16526341514285378,5.0,0.1477311511759191,SGD,relu,9.183020100412892e-05,109.0,80.0,0.7,0.15,200.0,0.5824747074274553,0.06365654261764425,-1,-1
AJHs2,0.08534251211394232,5.0,0.13844262932219353,SGD,relu,8.409261016928853e-05,115.0,51.0,0.7,0.15,200.0,0.5946341994699743,0.08169221604752516,-1,-1
SWiZK,0.2258717571383724,5.0,0.13131710193386048,SGD,relu,9.920640329965094e-05,105.0,96.0,0.7,0.15,200.0,0.6393411989913538,0.06831404502572923,-1,-1
WeSag,0.49555976417224323,5.0,0.13564184947776445,SGD,relu,8.190633576293193e-05,96.0,62.0,0.7,0.15,200.0,0.5607448061508523,0.05962851850847886,-1,-1
v8O2k,0.11081230126504386,5.0,0.1428775461328798,SGD,relu,8.92867311352681e-05,140.0,68.0,0.7,0.15,200.0,0.6013838914531929,0.05897821286416335,-1,-1
SRkG0,0.2593089631761885,5.0,0.14027191677351936,adam,relu,7.442052073556454e-05,113.0,89.0,0.7,0.15,200.0,0.4975488900841397,0.01346098605060821,-1,-1
TZ8uZ,0.036608850755930185,5.0,0.12947967663366203,SGD,relu,9.423106900671621e-05,129.0,100.0,0.7,0.15,200.0,0.5912053601596208,0.03935753706752134,-1,-1
zGmHR,0.15478516123860583,5.0,0.14945524053273596,SGD,relu,7.880309657561419e-05,89.0,78.0,0.7,0.15,200.0,0.5358933901124272,0.05584124891254356,-1,-1
VqzbI,0.3145139980160837,5.0,0.03648310128810838,SGD,relu,7.059770533106721e-05,119.0,57.0,0.7,0.15,200.0,0.5939571550245131,0.016462650619508717,-1,-1
