,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
Djxy5,0.0012970633103122798,100.0,0.03207140879305646,SGD,elu,5.379883907926494e-05,60.0,93.0,0.7,0.15,200.0,70.0,0.4716041906332825,0.031087023948679824,-1,-1
ZBMNB,0.02449970325847693,10.0,0.06434107818238635,SGD,elu,1.2303176533515274e-05,41.0,169.0,0.7,0.15,200.0,42.0,0.5747578306392832,0.04298076378038341,-1,-1
raA3t,0.49384596716244555,30.0,0.031060698469319702,SGD,elu,7.791676066741598e-05,93.0,32.0,0.7,0.15,200.0,15.0,0.5282917973667622,0.05786617656923695,-1,-1
gfhlb,0.19091994558918018,100.0,0.08157302988432369,SGD,elu,6.207714801574634e-05,111.0,199.0,0.7,0.15,200.0,63.0,0.5841446085083767,0.04951962779018774,-1,-1
yKgaL,7.048147445158568e-05,70.0,0.0019016440934708084,SGD,relu,3.405895889426004e-05,136.0,98.0,0.7,0.15,200.0,28.0,0.49092977908906577,0.017770748232303457,-1,-1
w4U4y,0.017501912723483636,10.0,0.06016311543248416,SGD,elu,5.380709332403642e-06,72.0,124.0,0.7,0.15,200.0,53.0,0.5930016653156491,0.04665451572008014,-1,-1
Ess9D,0.00439982144958686,30.0,0.09176089583734763,SGD,elu,4.5391308740603226e-05,117.0,85.0,0.7,0.15,200.0,36.0,0.5264710231501505,0.057431336610097056,-1,-1
RoEWe,0.04400410137900407,10.0,0.03645350157760616,SGD,relu,6.508594290535765e-05,102.0,67.0,0.7,0.15,200.0,38.0,0.6074353825552903,0.061759845698682765,-1,-1
ONdMW,0.011070638127678998,5.0,0.022455517230863017,adam,elu,2.5185540606927547e-05,21.0,47.0,0.7,0.15,200.0,66.0,0.4742420614515111,0.04036496267075919,-1,-1
SlP7Q,0.002885050381722221,100.0,0.1039749426419938,SGD,elu,3.1805413322893765e-05,50.0,129.0,0.7,0.15,200.0,49.0,0.5327887230436527,0.045717321874837125,-1,-1
oFuwE,1.3579061177300935e-05,10.0,0.012035352655661392,adam,relu,1.6676871584509102e-05,148.0,109.0,0.7,0.15,200.0,44.0,0.5379644111511631,0.09479160103176423,-1,-1
yUZRC,1.1638791489494133e-06,50.0,0.14514801012851747,SGD,elu,5.5732788633658866e-05,171.0,13.0,0.7,0.15,200.0,27.0,0.46940556866696664,0.058876045368562585,-1,-1
t6yFD,0.0004170455941945953,30.0,0.0006046574102916702,adam,elu,6.834142537311355e-05,88.0,146.0,0.7,0.15,200.0,15.0,0.6107474534457885,0.06393881997813973,-1,-1
MKcSd,0.0010952902797760752,5.0,0.0494617950364217,SGD,relu,7.50342998018497e-05,161.0,59.0,0.7,0.15,200.0,60.0,0.5138496067617224,0.04061041544649955,-1,-1
rkUQw,0.03311578889709376,70.0,0.03668481568583989,adam,tanh,4.021163082381496e-05,194.0,140.0,0.7,0.15,200.0,50.0,0.5043074846231932,0.034393814867091525,-1,-1
rlnht,0.08075960208455861,10.0,0.07379811990305339,SGD,elu,8.197880127724634e-05,144.0,177.0,0.7,0.15,200.0,66.0,0.5584213015852223,0.0404780732987436,-1,-1
a7KJX,4.484086480714904e-05,50.0,0.01818821706226352,SGD,tanh,9.583568059153312e-06,68.0,36.0,0.7,0.15,200.0,40.0,0.4835939384818067,0.04716014252716914,-1,-1
q7ERl,0.0019452869677469187,10.0,0.04782376404547503,adam,relu,2.0785220154848292e-05,133.0,101.0,0.7,0.15,200.0,24.0,0.6075340929803292,0.06276043468935719,-1,-1
wtm1d,0.0002049646848941661,5.0,0.0580889832686878,SGD,elu,4.558110278387267e-05,115.0,22.0,0.7,0.15,200.0,32.0,0.49264656910366017,0.04385067695893421,-1,-1
wXOPX,0.19684893867774012,100.0,0.026396101478911083,SGD,elu,5.011176790129483e-05,183.0,72.0,0.7,0.15,200.0,44.0,0.5924263032510101,0.035618642602996485,-1,-1
ZrYrY,0.012427255997976807,70.0,0.12702663518608284,adam,tanh,5.8336295044837464e-05,84.0,56.0,0.7,0.15,200.0,55.0,0.5851406781811093,0.04032873204454332,-1,-1
r4H5C,0.00040592531199804514,10.0,0.008058620394776582,SGD,elu,2.974305352696406e-05,97.0,86.0,0.7,0.15,200.0,69.0,0.5336243515857758,0.02175737543760815,-1,-1
glpcO,0.3402018309376125,50.0,0.08649900323842111,SGD,relu,8.757026557919238e-05,108.0,167.0,0.7,0.15,200.0,38.0,0.5170753085022209,0.03290918425663263,-1,-1
dkC3I,0.13592032044459426,10.0,0.06195949816068654,SGD,tanh,6.563165655867594e-05,74.0,111.0,0.7,0.15,200.0,51.0,0.604210510378118,0.05312055646938426,-1,-1
YwyYL,0.0008990766292635989,30.0,0.037765164273656206,adam,elu,7.361057714822469e-05,50.0,125.0,0.7,0.15,200.0,57.0,0.5212766810719468,0.06189654656358405,-1,-1
CaRJp,1.516070019214965e-05,10.0,0.0443909197362641,SGD,elu,5.059610142422103e-05,128.0,136.0,0.7,0.15,200.0,65.0,0.482829534428962,0.04319992979253544,-1,-1
dyy6l,0.0001293674972477607,5.0,0.07297674914031238,SGD,elu,3.8912983218833576e-05,27.0,155.0,0.7,0.15,200.0,60.0,0.4733421845277547,0.04656388252669751,-1,-1
p91iC,0.0017313747639798394,10.0,0.016137094289399256,SGD,tanh,9.332326519667755e-05,159.0,74.0,0.7,0.15,200.0,29.0,0.5012845128142308,0.03675052622391373,-1,-1
Bho9l,0.025152403290814328,70.0,0.02720561760846483,adam,relu,2.6188491704065912e-05,118.0,161.0,0.7,0.15,200.0,14.0,0.4978420057511732,0.008501962175234625,-1,-1
CoJwA,0.009353546432161174,100.0,0.05334769821953711,SGD,elu,3.5879753041446453e-05,140.0,85.0,0.7,0.15,200.0,21.0,0.5018798938452034,0.08794339196045733,-1,-1
FV7NJ,0.004779695831716147,50.0,0.0054380414159146545,SGD,elu,4.2541699830775895e-05,58.0,117.0,0.7,0.15,200.0,49.0,0.5084806965743606,0.032996136565034986,-1,-1
ENqmL,0.08010193748513852,10.0,0.10581948451554336,SGD,elu,5.843342395146684e-06,191.0,195.0,0.7,0.15,200.0,42.0,0.5552760940210075,0.05367830263665761,-1,-1
vFauB,0.0023068942581076367,10.0,0.06465478880951839,SGD,tanh,1.6166384622012795e-05,81.0,97.0,0.7,0.15,200.0,46.0,0.5928963950785512,0.02749228754315419,-1,-1
pzIaO,0.3157597809503533,30.0,0.02236928274226392,adam,elu,9.830469041457715e-05,104.0,145.0,0.7,0.15,200.0,18.0,0.5044791379078789,0.00950301159218669,-1,-1
Z0fEC,0.000491452921701016,30.0,0.0004212369011715386,adam,elu,6.877367850526497e-05,90.0,144.0,0.7,0.15,200.0,30.0,0.5891811213880938,0.04157198771345937,-1,-1
CyBcU,0.00032048489476077107,30.0,0.0006424149662560018,adam,elu,8.399297803966582e-05,66.0,179.0,0.7,0.15,200.0,13.0,0.6297879737073747,0.03845217986197041,-1,-1
WhiQe,0.00026532397701208683,30.0,0.01563732293464495,adam,elu,8.440133605145527e-05,64.0,184.0,0.7,0.15,200.0,26.0,0.6166019794664912,0.0867762914692191,-1,-1
Vop88,0.0007410709776540994,30.0,0.012018537543861627,adam,elu,8.379282911078346e-05,36.0,182.0,0.7,0.15,200.0,12.0,0.6140368735685147,0.034131796289706244,-1,-1
IEVUZ,5.724163686512055e-05,30.0,0.0057014501588736315,adam,elu,8.837723458065722e-05,66.0,191.0,0.7,0.15,200.0,17.0,0.5123743090312893,0.10916323206087726,-1,-1
oPfER,2.8930755037736678e-05,30.0,0.014584782609160678,adam,elu,8.157948047432513e-05,17.0,173.0,0.7,0.15,200.0,21.0,0.5178500095279437,0.047707417417410025,-1,-1
oROWA,0.0001091488391518907,30.0,0.03255386732099072,adam,elu,7.688410185982109e-05,45.0,181.0,0.7,0.15,200.0,25.0,0.6363596339443379,0.09553346436347415,-1,-1
jo94q,8.50854377118393e-05,30.0,0.030936904595927864,adam,elu,7.641981441502556e-05,44.0,199.0,0.7,0.15,200.0,10.0,0.5360085258692882,0.039029817423962235,-1,-1
OpUXU,2.890925210115901e-06,30.0,0.022452555801788582,adam,elu,6.284839194484643e-05,53.0,160.0,0.7,0.15,200.0,34.0,0.4878187748869217,0.04734039519856932,-1,-1
CAMeM,1.759550836205787e-05,30.0,0.11427763761359325,adam,elu,7.999167661401396e-05,30.0,177.0,0.7,0.15,200.0,13.0,0.5066883917826885,0.010418287230108892,-1,-1
m6ZoL,1.02786666820002e-05,30.0,0.045770971980027365,adam,elu,7.264655420936866e-05,44.0,190.0,0.7,0.15,200.0,23.0,0.5022445301314526,0.07366707035529726,-1,-1
z05Ol,0.00016714634223573494,30.0,0.03865344309419725,adam,relu,5.581149211350229e-05,76.0,57.0,0.7,0.15,200.0,16.0,0.5975442814477505,0.057693145327604195,-1,-1
aqV5q,0.0003003807235923434,30.0,0.01882891312802674,adam,elu,6.966825529921045e-05,23.0,131.0,0.7,0.15,200.0,25.0,0.5586879572797179,0.08874831639266717,-1,-1
jh5E2,4.16999896776431e-05,5.0,0.03250355244769188,adam,elu,4.8152646343190174e-05,58.0,166.0,0.7,0.15,200.0,19.0,0.5456745613105228,0.05351261577860317,-1,-1
HHTfp,0.0030752811061764964,100.0,0.0014275409153259831,adam,elu,7.885712407883256e-05,11.0,153.0,0.7,0.15,200.0,38.0,0.6030739479484312,0.07005229934377495,-1,-1
rHoYT,1.290435358714619e-06,70.0,0.008980480557038224,adam,relu,9.742790035712421e-05,84.0,178.0,0.7,0.15,200.0,22.0,0.4743583653415134,0.011377041184304727,-1,-1
e3DdE,7.742006209597487e-06,30.0,0.028921306841060486,adam,tanh,9.578948333606285e-05,38.0,39.0,0.7,0.15,200.0,19.0,0.530434312112037,0.021335474728422076,-1,-1
pVbCB,9.81571750304758e-05,50.0,0.053486416816378765,adam,elu,5.788718834518031e-05,71.0,105.0,0.7,0.15,200.0,10.0,0.6043816190536658,0.09847585853448372,-1,-1
D0CoS,2.7806033763421818e-05,30.0,0.003958109958803004,adam,elu,9.108363767123962e-05,48.0,171.0,0.7,0.15,200.0,12.0,0.46945886890876815,0.055807942357395605,-1,-1
bqQs9,0.0012254854895200318,5.0,0.03410760445750698,adam,elu,6.42691820147269e-05,96.0,88.0,0.7,0.15,200.0,28.0,0.5791691359636235,0.0515269565545398,-1,-1
IXYR8,0.006270534151508769,100.0,0.024892542014128053,adam,elu,5.2824734061088906e-05,55.0,53.0,0.7,0.15,200.0,33.0,0.5691842829963948,0.04461119742158832,-1,-1
IPtvH,0.0001337294730532394,30.0,0.04138051642994369,adam,relu,3.3162090009081384e-05,16.0,23.0,0.7,0.15,200.0,36.0,0.628618113697755,0.043201244648474656,-1,-1
ZDb3N,0.0005486525235354972,70.0,0.07765146703018729,adam,tanh,2.2015071857428277e-05,100.0,140.0,0.7,0.15,200.0,17.0,0.590352486732538,0.027084598702753593,-1,-1
djaNc,6.373099786950454e-05,50.0,0.1452914583199369,adam,elu,8.649014112015055e-05,62.0,121.0,0.7,0.15,200.0,25.0,0.5134694642484164,0.08054561971724,-1,-1
NMth0,0.000957626121743866,30.0,0.0686014266999203,adam,elu,6.701005796646545e-05,92.0,81.0,0.7,0.15,200.0,14.0,0.5608875092165035,0.04483042706163385,-1,-1
LS9bA,4.181547036386723e-06,30.0,0.020454022006909975,adam,elu,7.161510889821777e-05,113.0,150.0,0.7,0.15,200.0,20.0,0.45050490377905117,0.08484057653135432,-1,-1
qPgQu,0.01786490584951281,5.0,0.09805173033134346,adam,relu,9.93859058197738e-05,34.0,196.0,0.7,0.15,200.0,40.0,0.5064318002232298,0.0081179253135099,-1,-1
tUohU,0.00020983303029393873,100.0,0.08506133495927745,adam,tanh,2.910018517271169e-05,78.0,62.0,0.7,0.15,200.0,30.0,0.5505037668852887,0.07983541353416641,-1,-1
PsoFe,0.004050582447078209,70.0,0.010050526193837742,adam,elu,6.0907458353906226e-05,87.0,113.0,0.7,0.15,200.0,24.0,0.5600343962179667,0.06905989386061517,-1,-1
ytQqN,1.6904757329852721e-06,10.0,0.1396986653260428,adam,elu,4.1499119205453644e-05,107.0,96.0,0.7,0.15,200.0,37.0,0.4743468624492845,0.03797149775190784,-1,-1
J2eCO,2.17533569702045e-05,50.0,0.01330378557984265,SGD,elu,3.7214663477733996e-05,120.0,127.0,0.7,0.15,200.0,27.0,0.48403354704537616,0.02359569087687574,-1,-1
Bsd4N,0.00221090765134878,30.0,0.04796671487697393,adam,elu,9.09237875353848e-05,68.0,134.0,0.7,0.15,200.0,11.0,0.5487068805817902,0.0544577761123352,-1,-1
qI3bJ,0.0003573731461214805,10.0,0.03961749822142026,SGD,tanh,7.634233740920962e-05,128.0,49.0,0.7,0.15,200.0,32.0,0.47849647811199364,0.019137765267928274,-1,-1
mmvwM,0.0014891657782011539,30.0,0.006763336608028321,SGD,relu,4.450920622395773e-05,44.0,75.0,0.7,0.15,200.0,53.0,0.49643315773574337,0.016124212823906598,-1,-1
KQkmd,0.008226591650602777,10.0,0.025291432945104896,adam,elu,5.4889886866972604e-05,27.0,102.0,0.7,0.15,200.0,16.0,0.5517790849510341,0.03549080824720597,-1,-1
tcvyv,0.0006992481274746238,5.0,0.125739976334919,SGD,elu,4.87889520204906e-05,74.0,70.0,0.7,0.15,200.0,60.0,0.5178959313794107,0.0435816368524315,-1,-1
OU8lK,0.00015629854172126916,100.0,0.05713362273604905,adam,elu,1.8993711335200008e-05,54.0,164.0,0.7,0.15,200.0,45.0,0.6063519382082123,0.06644398683417686,-1,-1
IqgpE,0.04018652473146702,70.0,0.00356089442608853,SGD,elu,5.137099702233328e-05,86.0,90.0,0.7,0.15,200.0,48.0,0.5150099591043733,0.03163653132399359,-1,-1
o4fIp,5.1931256300767774e-05,30.0,0.03568746567831024,adam,tanh,9.33523935312224e-05,81.0,188.0,0.7,0.15,200.0,22.0,0.5119132371048797,0.08908924652351076,-1,-1
XRlTP,1.1727458667061803e-05,10.0,0.05120864617506754,adam,relu,1.136453340521284e-05,47.0,181.0,0.7,0.15,200.0,34.0,0.4669920873488073,0.06113599019049986,-1,-1
