,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
PCCKz,0.0014023719015272605,10.0,0.18940256091983027,SGD,relu,0.07998431795936622,165.0,44.0,0.7,0.15,200.0,64.0,0.6005872056065847,0.09057248806037654,0.6157097288676237,0.15382708975511028
zXAS4,0.24112237003803155,50.0,0.3276475756980396,SGD,tanh,0.05112944016512527,39.0,32.0,0.7,0.15,200.0,46.0,0.7625542708387034,0.18853788855665768,0.7865231259968102,0.14376557340867543
BqWfv,0.007685039839474663,30.0,0.2930920970808845,adam,elu,0.02519707376266518,109.0,184.0,0.7,0.15,200.0,26.0,0.8630683596886486,0.06125087148752795,0.8073365231259968,0.1532309464201532
VM3Jo,0.0003145882244219262,100.0,0.37342724352918893,adam,tanh,0.05774681222528686,59.0,79.0,0.7,0.15,200.0,41.0,0.7126038677068501,0.13499124687412548,0.8475279106858054,0.0760556546643431
nW9JF,4.247140783068287e-06,50.0,0.35949609617774764,adam,relu,0.04104967422754872,110.0,134.0,0.7,0.15,200.0,66.0,0.4767310215134085,0.12840961734063,0.45845295055821367,0.13198547705756214
RbvQQ,3.319240372252949e-05,30.0,0.12748610665644985,SGD,elu,0.08843107188656003,98.0,139.0,0.7,0.15,200.0,62.0,0.48252264153592483,0.07740706818621748,0.5135566188197767,0.10602642420247152
z7rwL,7.652292959500672e-05,70.0,0.028931517649434246,SGD,elu,0.07856377270006354,101.0,103.0,0.7,0.15,200.0,36.0,0.4720786428444718,0.14296236444773464,0.5881180223285486,0.1466954616392131
fhaNn,0.2881685930504913,70.0,0.23072806678783753,SGD,tanh,0.06247853175548443,110.0,114.0,0.7,0.15,200.0,29.0,0.7036987664683575,0.16511205663440717,0.7387559808612438,0.16786471413940057
vcUl0,0.05071017637038099,100.0,0.19359084363380222,SGD,tanh,0.006201001586727284,50.0,174.0,0.7,0.15,200.0,30.0,0.8152651418957291,0.07994691418895458,0.8878787878787879,0.028369883967129417
chmez,0.0004250387765377803,10.0,0.019861623732559064,SGD,relu,0.05473353482543868,95.0,29.0,0.7,0.15,200.0,10.0,0.5196369156590183,0.11292347194836025,0.5375598086124401,0.15658294268099895
QaXC2,5.789100990204283e-06,10.0,0.3726767311812019,adam,elu,0.04142486288914308,168.0,84.0,0.7,0.15,200.0,14.0,0.6371221573762995,0.09485343542186528,0.7212121212121211,0.1197230791593736
RXZsM,0.0013365288542088278,5.0,0.10069105475310028,SGD,elu,0.027414744089674162,25.0,53.0,0.7,0.15,200.0,40.0,0.6004095094944749,0.23941104437863545,0.7212121212121212,0.18089640145590355
isvTT,0.0002846614806124422,70.0,0.26272642202001706,adam,relu,0.06278811432825938,196.0,131.0,0.7,0.15,200.0,26.0,0.5780136670623088,0.12632982534762024,0.6651515151515153,0.1736059309275528
Hpbfu,0.006238871068267956,100.0,0.16687991374250322,adam,elu,0.09372079063308075,186.0,132.0,0.7,0.15,200.0,52.0,0.7125386407268881,0.13693868714718435,0.6929824561403508,0.16672121998140213
C5UNw,3.126110072595114e-06,10.0,0.37905797174743083,SGD,relu,0.08823309618177007,49.0,120.0,0.7,0.15,200.0,36.0,0.42500184588826595,0.11953523293769354,0.453030303030303,0.15336794219488345
JEqtP,0.4469036379975361,70.0,0.006960361482732181,SGD,tanh,0.022656639348778998,155.0,128.0,0.7,0.15,200.0,59.0,0.8391906389933415,0.08579102511444406,0.8712918660287082,0.055542937398822045
MvWGL,4.0052870731277e-05,10.0,0.04913740616760314,SGD,relu,0.00823294060428127,78.0,130.0,0.7,0.15,200.0,36.0,0.468420758443069,0.09085134289281327,0.5017543859649123,0.12344064876259954
