learning_rate,reward,layer_2,preweight,test_frac,train_frac,dropout,batch_size,regularization,layer_1,activation,epochs,trialJobId,optimizer,intermediate
1.1399133624256175e-05,0.48163663737872114,100,7,0.15,0.7,0.3147695705967908,30,0.08311485800493226,162,tanh,200,q50JW,adam,"[0.4884297520661156,0.48163663737872114]"
0.00012200782437463172,0.4989345987928373,122,3,0.15,0.7,0.3465556167980508,50,0.01259021056024836,39,elu,200,DDk2J,adam,"[0.4917355371900826,0.4989345987928373]"
0.0013237868090860813,0.4844530977601636,174,2,0.15,0.7,0.3145603541194175,70,0.0373277846555548,93,elu,200,ZlngM,SGD,"[0.5231404958677686,0.4844530977601636]"
0.020080613855623177,0.4542681660800457,115,8,0.15,0.7,0.35053439839505235,30,0.032713128220535084,101,elu,200,zkdvz,SGD,"[0.5212809917355371,0.4542681660800457]"
0.00017346458443826264,0.4756075648007595,174,9,0.15,0.7,0.15976838801751703,10,0.026090912381672195,27,tanh,200,GP4Q3,adam,"[0.5524793388429752,0.4756075648007595]"
5.458692889451385e-06,0.4742298895146665,70,2,0.15,0.7,0.08325684745009343,5,0.08749765648866871,121,elu,200,PBHuX,SGD,"[0.5152892561983471,0.4742298895146665]"
1.0768338689336123e-06,0.47082630997926067,38,8,0.15,0.7,0.37693524019398794,5,0.06490399830537939,21,relu,200,bUPgZ,adam,"[0.5225206611570248,0.47082630997926067]"
0.003680972863879078,0.48773868749192995,106,3,0.15,0.7,0.3179191562216428,5,0.0982003784426652,136,tanh,200,HgLtU,adam,"[0.5225206611570248,0.48773868749192995]"
1.0229175688952517e-06,0.4394573589818148,127,9,0.15,0.7,0.051680989536325765,70,0.055205921943843356,64,relu,200,OL7WR,adam,"[0.5328512396694214,0.4394573589818148]"
0.00017028542970825444,0.4765278041409598,166,7,0.15,0.7,0.2620699955116211,5,0.028422958318612468,55,relu,200,t1jyz,adam,"[0.5262396694214877,0.4765278041409598]"
0.07199477924062683,0.49467310206165116,10,6,0.15,0.7,0.3950867605170624,10,0.05348079189264148,55,elu,200,S6H9y,SGD,"[0.5547520661157026,0.49467310206165116]"
0.00017335727384765613,0.4906831342310755,141,2,0.15,0.7,0.02798260335741567,70,0.09800887424457037,75,tanh,200,x0Q97,adam,"[0.5068181818181818,0.4906831342310755]"
7.97196668574427e-05,0.487807577252137,177,8,0.15,0.7,0.32972132972674945,70,0.02343794403214642,190,relu,200,gth56,adam,"[0.5165289256198348,0.487807577252137]"
0.0007797408113333611,0.532840319491847,61,4,0.15,0.7,0.16740064262451004,30,0.003907496395982835,149,elu,200,Qtgvl,adam,"[0.5245867768595043,0.532840319491847]"
0.00010473433989631787,0.46323337264293896,183,2,0.15,0.7,0.3471140159476156,30,0.08404387925212539,199,elu,200,ma6qY,adam,"[0.5194214876033058,0.46323337264293896]"
6.493510900024663e-06,0.4581542093737772,82,5,0.15,0.7,0.24335428428820252,70,0.04883640359304484,130,tanh,200,WI4Kw,SGD,"[0.5429752066115703,0.4581542093737772]"
2.616309439371861e-05,0.44869312263257893,14,2,0.15,0.7,0.008096753595654916,5,0.018044845240790565,111,elu,200,zlaRP,SGD,"[0.4900826446280992,0.44869312263257893]"
