regularization,epochs,dropout,train_frac,optimizer,activation,intermediate,learning_rate,trialJobId,preweight,layer_2,test_frac,layer_1,reward,batch_size
0.028153039784653944,200,0.35818837473936016,0.7,SGD,relu,"[0.5433884297520661,0.5599522719068198]",0.4445248037871064,yFJVf,5,172,0.15,172,0.5599522719068198,70
0.06650179529177656,200,0.31117285193103306,0.7,adam,elu,"[0.5198347107438016,0.5502402326782792]",0.02032817635054366,zm3bH,8,69,0.15,59,0.5502402326782792,50
0.018382851046948766,200,0.19604797854336486,0.7,SGD,elu,"[0.5425619834710744,0.6569575539486979]",0.010915217551671661,wGloD,9,17,0.15,12,0.6569575539486979,10
0.0029001546439709094,200,0.3364149749086178,0.7,SGD,tanh,"[0.53099173553719,0.48586451031359373]",0.00014398347778794417,gBL84,6,71,0.15,57,0.48586451031359373,100
0.030172353038831003,200,0.012745869129110155,0.7,adam,elu,"[0.5679752066115702,0.6224151013819984]",0.0016081937009092572,bNWJH,6,135,0.15,190,0.6224151013819984,70
0.012808287650093099,200,0.1565434137073481,0.7,adam,relu,"[0.5561983471074379,0.638781435892333]",0.003995282062195911,nEK1w,8,181,0.15,45,0.638781435892333,30
0.0038627488202081952,200,0.29181110886705197,0.7,adam,elu,"[0.5462809917355372,0.5349507658178079]",5.127873064884076e-05,qxNdf,9,194,0.15,191,0.5349507658178079,100
0.07905385888692971,200,0.2071691509604092,0.7,adam,tanh,"[0.5133264462809917,0.49733228978896377]",0.05750099484036775,KNtt9,8,154,0.15,193,0.49733228978896377,5
0.0065134888748189625,200,0.21443553614057742,0.7,adam,elu,"[0.5221074380165288,0.6238875380291506]",0.0024543339052484907,xm0bB,3,69,0.15,161,0.6238875380291506,70
0.03278183554613883,200,0.3926148087828152,0.7,adam,relu,"[0.4964876033057851,0.4825033987431112]",1.2592949995426526e-05,SBFj1,8,189,0.15,64,0.4825033987431112,100
0.07952202928739419,200,0.34834321373232635,0.7,SGD,tanh,"[0.49710743801652885,0.4858636354516297]",0.0010264420082507606,qR2Bx,3,192,0.15,110,0.4858636354516297,5
0.05864737717167737,200,0.3578783005722866,0.7,adam,tanh,"[0.5931818181818181,0.5573126254174551]",4.654744032733613e-05,zuhe7,7,135,0.15,127,0.5573126254174551,70
0.07238111688717529,200,0.0884733647839584,0.7,adam,elu,"[0.5084710743801653,0.5288451095392299]",0.12829538626230952,keym7,9,58,0.15,24,0.5288451095392299,5
0.09568928614606001,200,0.07387197468415092,0.7,adam,tanh,"[0.5196280991735538,0.551538259723029]",0.005823040469018068,fLMvo,3,149,0.15,144,0.551538259723029,50
0.06596766882954795,200,0.030018486122516386,0.7,SGD,tanh,"[0.5245867768595042,0.4520332680316031]",0.00024915798322059507,NGVAw,9,198,0.15,63,0.4520332680316031,70
0.06633374842875396,200,0.163617935372665,0.7,adam,relu,"[0.5559917355371902,0.5686275259839639]",3.3817743564331036e-05,Mg6tv,5,138,0.15,153,0.5686275259839639,5
0.03863961217531732,200,0.012242252506946993,0.7,SGD,elu,"[0.5082644628099173,0.44917346861746543]",0.0002098344413538914,RevfV,7,14,0.15,87,0.44917346861746543,70
0.07051347186011485,200,0.20387724627571902,0.7,adam,tanh,"[0.5276859504132232,0.4852465068973754]",2.3678266245955527e-06,LC40T,4,190,0.15,98,0.4852465068973754,30
0.019462481867340564,200,0.15873238465913528,0.7,adam,tanh,"[0.5363636363636364,0.5096676399744633]",0.3723607196261014,bhXBV,6,159,0.15,186,0.5096676399744633,50
0.09879750466948257,200,0.006837940449396962,0.7,SGD,elu,"[0.50599173553719,0.4488878446147777]",4.956272893811321e-06,Ap2a9,4,79,0.15,56,0.4488878446147777,30
0.016091811732069677,200,0.25671573253196617,0.7,SGD,relu,"[0.5276859504132231,0.5746913624220552]",0.010781949974472727,LURNi,10,23,0.15,16,0.5746913624220552,10
0.04208731834724573,200,0.11584328892926209,0.7,SGD,relu,"[0.5431818181818182,0.6119272901942195]",0.03933688795091022,nrosQ,10,96,0.15,30,0.6119272901942195,10
0.015828333868333586,200,0.14650760380771177,0.7,SGD,relu,"[0.5314049586776859,0.48526039305063573]",0.004935077865865303,Qs0Gn,7,39,0.15,35,0.48526039305063573,10
0.05368131376301016,200,0.24949236659395044,0.7,SGD,relu,"[0.5119834710743802,0.5402172111295063]",0.07358704978371633,k0lPE,10,107,0.15,11,0.5402172111295063,30
0.01097566604097322,200,0.123695793257979,0.7,SGD,relu,"[0.4714876033057852,0.46105853941100905]",0.0004149320702699388,wA9L7,9,108,0.15,42,0.46105853941100905,30
0.045438987413421596,200,0.25271453049963255,0.7,SGD,elu,"[0.5318181818181819,0.5603972521671434]",0.015227135282729582,sNfBE,8,38,0.15,79,0.5603972521671434,10
0.02668872519935801,200,0.18367359331279126,0.7,adam,elu,"[0.49865702479338847,0.5280675116036497]",0.14717762412639898,BuYsC,7,173,0.15,10,0.5280675116036497,10
0.022163927521716253,200,0.05220132947121717,0.7,SGD,relu,"[0.5035123966942149,0.44357146403869735]",0.0029515844539738526,zcf23,9,116,0.15,44,0.44357146403869735,30
0.010735696556018366,200,0.1252878985293303,0.7,SGD,relu,"[0.4805785123966942,0.46984424211905085]",0.0009732498144668807,Z4SDO,10,174,0.15,78,0.46984424211905085,30
