,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
Bt3G9,0.0917579503803277,10.0,0.16779145039655732,adam,tanh,0.02998698777913005,23.0,134.0,0.7,0.15,200.0,69.0,-1,-1,-1,-1
qSjPf,4.3763614011758695e-05,10.0,0.3688632188594692,SGD,tanh,0.09631740075843705,178.0,142.0,0.7,0.15,200.0,14.0,-1,-1,-1,-1
dqvAT,0.002074145033180988,5.0,0.269413004121527,SGD,tanh,0.03744380899326038,111.0,64.0,0.7,0.15,200.0,52.0,-1,-1,-1,-1
pqFpT,0.03964846605976752,10.0,0.2282009547955537,adam,relu,0.038299463354633335,59.0,125.0,0.7,0.15,200.0,60.0,-1,-1,-1,-1
eVVLE,0.024546780547137527,100.0,0.2904766387602462,adam,relu,0.06278590189503283,133.0,20.0,0.7,0.15,200.0,69.0,-1,-1,-1,-1
PhZnn,6.673238313879087e-05,10.0,0.31937326325001614,SGD,elu,0.028895672276342578,114.0,18.0,0.7,0.15,200.0,70.0,-1,-1,-1,-1
wlPHO,0.18614421591163416,50.0,0.20095926163250152,SGD,relu,0.08120392426777098,66.0,164.0,0.7,0.15,200.0,28.0,-1,-1,-1,-1
fz6Xq,1.8475753950348156e-05,100.0,0.010059286412254976,SGD,tanh,0.04815552174991512,102.0,121.0,0.7,0.15,200.0,63.0,-1,-1,-1,-1
Ne2WE,0.010278634126365286,70.0,0.1615672009258589,SGD,relu,0.047884294106614544,42.0,55.0,0.7,0.15,200.0,29.0,-1,-1,-1,-1
DQlmR,0.009235487483515579,10.0,0.30142358297442406,adam,tanh,0.09428780817252119,50.0,18.0,0.7,0.15,200.0,35.0,-1,-1,-1,-1
M2agc,0.00037986522794305257,70.0,0.00686335464108292,adam,relu,0.009201959901687751,138.0,25.0,0.7,0.15,200.0,52.0,-1,-1,-1,-1
gwRjM,0.03397548138403151,100.0,0.3709590531194973,SGD,tanh,0.02363106251852154,160.0,13.0,0.7,0.15,200.0,36.0,-1,-1,-1,-1
ymADK,0.0002477859416476327,10.0,0.18898135050957487,adam,tanh,0.08066616266995699,12.0,134.0,0.7,0.15,200.0,40.0,-1,-1,-1,-1
ajtNu,1.4537225511433194e-06,100.0,0.3635821437672739,SGD,elu,0.08777467571488906,137.0,46.0,0.7,0.15,200.0,12.0,-1,-1,-1,-1
F4VzM,0.018051382694644416,5.0,0.015860046050514897,SGD,elu,0.050745700735638,41.0,114.0,0.7,0.15,200.0,57.0,-1,-1,-1,-1
SBtm5,0.05738236006597282,70.0,0.28286926647276106,adam,elu,0.053248058993852765,39.0,93.0,0.7,0.15,200.0,35.0,-1,-1,-1,-1
i14D1,0.0006920264157094022,70.0,0.050267787468206974,SGD,elu,0.009853473695402981,130.0,122.0,0.7,0.15,200.0,12.0,-1,-1,-1,-1
mCodG,0.2893723581118851,100.0,0.3513632634633398,SGD,elu,0.001702424305260275,153.0,37.0,0.7,0.15,200.0,44.0,-1,-1,-1,-1
z3Yvd,0.00012747744662695542,5.0,0.1958945622363173,adam,tanh,0.07286596611777661,111.0,64.0,0.7,0.15,200.0,40.0,-1,-1,-1,-1
p0LTg,0.186227984559649,10.0,0.33765066684575457,SGD,elu,0.002070432445414361,130.0,197.0,0.7,0.15,200.0,29.0,-1,-1,-1,-1
o90Ze,0.0021496873708142994,100.0,0.032099083985352106,SGD,elu,0.03529036292691286,89.0,194.0,0.7,0.15,200.0,41.0,-1,-1,-1,-1
RX2ut,0.0024248847573704476,70.0,0.32328508634291986,SGD,elu,0.05386138523587439,60.0,12.0,0.7,0.15,200.0,68.0,-1,-1,-1,-1
eD7EZ,0.00022752685081492598,30.0,0.37759510459513224,SGD,tanh,0.00949265647035693,121.0,97.0,0.7,0.15,200.0,33.0,-1,-1,-1,-1
AFfi7,0.0023479093910948267,30.0,0.2777374371874074,adam,elu,0.04866465555154026,187.0,59.0,0.7,0.15,200.0,25.0,-1,-1,-1,-1
UStvf,0.00018508393515154423,10.0,0.12579691864336504,SGD,elu,0.047885314941539164,167.0,84.0,0.7,0.15,200.0,36.0,-1,-1,-1,-1
NUojc,0.2078677199879174,70.0,0.2637940172354576,adam,relu,0.014166027238397072,35.0,73.0,0.7,0.15,200.0,33.0,-1,-1,-1,-1
Ovs5w,2.05556979058191e-06,5.0,0.1215674212736543,SGD,elu,0.08196995987800917,118.0,164.0,0.7,0.15,200.0,55.0,-1,-1,-1,-1
uwolY,0.011035506862767728,10.0,0.3467180938275404,adam,relu,0.05936311971011021,123.0,105.0,0.7,0.15,200.0,24.0,-1,-1,-1,-1
t2N6B,0.0006332731105577325,30.0,0.30920615727794154,adam,tanh,0.02628137886242117,55.0,52.0,0.7,0.15,200.0,50.0,-1,-1,-1,-1
VUTuk,6.466431470881577e-06,50.0,0.1023188084264946,adam,tanh,0.054136571963981917,169.0,112.0,0.7,0.15,200.0,40.0,-1,-1,-1,-1
kNitm,5.875525423781928e-05,30.0,0.30971412915991847,SGD,tanh,0.03486887492866788,144.0,104.0,0.7,0.15,200.0,69.0,-1,-1,-1,-1
YFzgI,5.3623922380787605e-05,50.0,0.3165521036426293,SGD,elu,0.027713281122824063,63.0,57.0,0.7,0.15,200.0,48.0,-1,-1,-1,-1
yjkMS,0.0030674623535410896,70.0,0.30932297361873173,adam,relu,0.01684859489044568,186.0,23.0,0.7,0.15,200.0,51.0,-1,-1,-1,-1
r07mF,4.599307745403704e-06,100.0,0.036094279084148174,adam,relu,0.04138394249211561,12.0,182.0,0.7,0.15,200.0,41.0,-1,-1,-1,-1
YlfRc,0.0036935192406043426,100.0,0.10082563278397522,SGD,relu,0.05465875927427119,84.0,169.0,0.7,0.15,200.0,16.0,-1,-1,-1,-1
o6lDx,0.009430934359056413,30.0,0.029335043142916017,adam,elu,0.04899349086448688,76.0,55.0,0.7,0.15,200.0,31.0,-1,-1,-1,-1
VIVBe,0.016910550719053497,30.0,0.11669164892929468,adam,elu,0.016320992891705934,31.0,134.0,0.7,0.15,200.0,51.0,-1,-1,-1,-1
XcW31,0.0034277892668273992,50.0,0.03018936286045153,SGD,relu,0.027735607624606085,77.0,37.0,0.7,0.15,200.0,46.0,-1,-1,-1,-1
cuLu5,0.07326108767199571,100.0,0.3756433230506375,SGD,relu,0.011900983387061326,86.0,58.0,0.7,0.15,200.0,17.0,-1,-1,-1,-1
vrTsG,0.05885110706332792,30.0,0.3074136627980477,SGD,elu,0.0327131353728382,118.0,182.0,0.7,0.15,200.0,68.0,-1,-1,-1,-1
MUmTh,1.8401550204977005e-06,100.0,0.053086728634643615,SGD,relu,0.0017347641747504695,178.0,69.0,0.7,0.15,200.0,49.0,-1,-1,-1,-1
xbD9U,0.11730737015065244,100.0,0.32830730498339994,adam,tanh,0.002599461636461997,199.0,34.0,0.7,0.15,200.0,12.0,-1,-1,-1,-1
wjk8E,4.917412197846083e-05,10.0,0.07764851759325353,adam,relu,0.0038245039443636887,191.0,137.0,0.7,0.15,200.0,60.0,-1,-1,-1,-1
qYoRw,0.00941810731931737,30.0,0.19767985691749176,adam,relu,0.06980237191447833,140.0,103.0,0.7,0.15,200.0,36.0,-1,-1,-1,-1
Qw5Sn,0.0015340270679222911,70.0,0.33017043683014025,SGD,elu,0.026770845317141356,196.0,145.0,0.7,0.15,200.0,14.0,-1,-1,-1,-1
a9s2H,0.19786802722911664,5.0,0.014318504594705095,SGD,elu,0.009192185959021581,34.0,92.0,0.7,0.15,200.0,44.0,-1,-1,-1,-1
QsI9s,6.7634049244129734e-06,100.0,0.250850325551738,adam,tanh,0.019353162004503034,26.0,86.0,0.7,0.15,200.0,19.0,-1,-1,-1,-1
zZAZq,4.267182209429131e-06,5.0,0.07091042365143178,SGD,elu,0.017733162399470103,39.0,162.0,0.7,0.15,200.0,59.0,-1,-1,-1,-1
eKukw,0.05302808787300088,30.0,0.07186356519132807,adam,tanh,0.006575573233273158,70.0,121.0,0.7,0.15,200.0,54.0,-1,-1,-1,-1
e0evo,0.005366017882750746,50.0,0.2613427038575335,SGD,tanh,0.07186120977309514,21.0,87.0,0.7,0.15,200.0,69.0,-1,-1,-1,-1
fBkuF,0.00015092908402169838,30.0,0.3447906920072471,SGD,elu,0.04755294420977512,56.0,79.0,0.7,0.15,200.0,29.0,-1,-1,-1,-1
mkM0w,0.0026518490511795475,50.0,0.22403782965799227,SGD,relu,0.023662962082251306,114.0,100.0,0.7,0.15,200.0,44.0,-1,-1,-1,-1
Dkr6x,0.04159748576411562,70.0,0.24090948403740817,adam,relu,0.06703047151234096,56.0,141.0,0.7,0.15,200.0,49.0,-1,-1,-1,-1
cCyan,0.0013897614886805828,10.0,0.12249349876079521,adam,relu,0.08846571142850906,40.0,163.0,0.7,0.15,200.0,32.0,-1,-1,-1,-1
UyUbq,1.92399890709726e-05,100.0,0.04612822093136626,adam,elu,0.07147359933779318,188.0,199.0,0.7,0.15,200.0,61.0,-1,-1,-1,-1
UBzaF,7.2214594210820185e-06,50.0,0.022657823456676107,adam,relu,0.061425531284632795,51.0,119.0,0.7,0.15,200.0,60.0,-1,-1,-1,-1
raLPZ,4.313896744551871e-05,5.0,0.3870624427975235,adam,elu,0.011393342180058254,164.0,130.0,0.7,0.15,200.0,52.0,-1,-1,-1,-1
gpnHk,4.291441260981166e-06,5.0,0.1856890823053466,SGD,relu,0.09249351291540267,23.0,42.0,0.7,0.15,200.0,31.0,-1,-1,-1,-1
NMwA9,0.11817969591280561,70.0,0.25221327567631346,adam,relu,0.05479692549201545,137.0,32.0,0.7,0.15,200.0,27.0,-1,-1,-1,-1
L2Z5j,0.14705879341299438,5.0,0.02022426952897374,adam,tanh,0.01383538442563459,103.0,119.0,0.7,0.15,200.0,60.0,-1,-1,-1,-1
UCEzz,0.20584397703131266,10.0,0.290936498728772,SGD,elu,0.02371724148873171,44.0,135.0,0.7,0.15,200.0,57.0,-1,-1,-1,-1
SLywN,0.024982204877012703,70.0,0.1484986775028032,adam,tanh,0.09124798607939343,105.0,68.0,0.7,0.15,200.0,69.0,-1,-1,-1,-1
wTmWQ,6.888627946070321e-06,30.0,0.0532709189899276,SGD,elu,0.07426895563735846,74.0,191.0,0.7,0.15,200.0,14.0,-1,-1,-1,-1
Rx6Ku,0.0851152066439278,5.0,0.2842203183078575,SGD,tanh,0.008892172129748266,193.0,22.0,0.7,0.15,200.0,60.0,-1,-1,-1,-1
TlHYA,3.770818122925553e-05,70.0,0.1520766500446786,adam,elu,0.06554912149380634,158.0,132.0,0.7,0.15,200.0,21.0,-1,-1,-1,-1
km2gU,0.0001398045095130422,100.0,0.1717677308641711,adam,tanh,0.06430163822300086,135.0,144.0,0.7,0.15,200.0,62.0,-1,-1,-1,-1
z4yNY,0.0009059138359600226,5.0,0.3553386952743644,adam,relu,0.016178211742495143,78.0,29.0,0.7,0.15,200.0,10.0,-1,-1,-1,-1
NTr8h,0.2471418215364554,30.0,0.17344973875051464,adam,relu,0.08004371243392457,163.0,143.0,0.7,0.15,200.0,28.0,-1,-1,-1,-1
HPyq0,1.152946067250343e-05,100.0,0.04777092420872937,SGD,tanh,0.01745169182572112,176.0,117.0,0.7,0.15,200.0,36.0,-1,-1,-1,-1
joBEw,0.008156733752538283,5.0,0.23329647284926183,SGD,elu,0.007816514704427692,59.0,94.0,0.7,0.15,200.0,22.0,0.8061000137746538,0.07940176498451022,0.8119047619047619,0.06141057322156632
pKJfq,5.368927519977267e-06,10.0,0.18761565071973202,SGD,elu,0.02954299723730245,164.0,89.0,0.7,0.15,200.0,22.0,0.44101502975534956,0.21109624221647988,0.5184523809523809,0.16779908654909897
uw928,2.2028676380008905e-06,30.0,0.14427501798315565,SGD,tanh,0.09148698094182024,194.0,156.0,0.7,0.15,200.0,36.0,0.3700138974781832,0.12918044320358052,0.4898809523809523,0.11340965067494545
UwLsN,0.032618572617256696,10.0,0.16671013965545955,SGD,elu,0.014588784097294683,120.0,162.0,0.7,0.15,200.0,44.0,0.8440156653472366,0.05589358429071303,0.8660714285714285,0.020490374378641072
ok0G3,0.261761928257313,50.0,0.2640144544983565,adam,relu,0.016281980036545286,59.0,156.0,0.7,0.15,200.0,68.0,0.5059391534391534,0.04032862274131494,0.5,0.0
j4EcY,4.4388051849897325e-06,50.0,0.03604101611248467,adam,elu,0.048332977993123874,118.0,68.0,0.7,0.15,200.0,14.0,0.6190728484032302,0.11048628679549134,0.6607142857142858,0.12981104355746645
iPXen,0.22986384628203188,70.0,0.30425789180497537,SGD,relu,0.07692828365162381,198.0,77.0,0.7,0.15,200.0,43.0,0.5821723356009071,0.13219225340925153,0.6080357142857142,0.16538650575802147
il0Yp,1.1572419085911738e-06,30.0,0.38183953880923127,SGD,tanh,0.049682070608479234,118.0,110.0,0.7,0.15,200.0,67.0,0.40241620284477425,0.20074226203426193,0.4714285714285714,0.1795370716334177
jyKe8,2.4535957917147525e-05,100.0,0.19136539467686695,SGD,relu,0.006547112648750797,194.0,127.0,0.7,0.15,200.0,20.0,0.39909977324263035,0.1464428173138163,0.5166666666666667,0.10295382360999694
eWzvu,1.2218537787426621e-06,50.0,0.10112081481952827,SGD,tanh,0.021902171335289423,186.0,78.0,0.7,0.15,200.0,21.0,-1,-1,-1,-1
urhlj,0.006916421943090271,50.0,0.24602705469007963,adam,tanh,0.038430566990274334,177.0,173.0,0.7,0.15,200.0,42.0,0.8461362348207861,0.118649776216911,0.8464285714285715,0.024657518068104758
Qe2rU,1.143654693934564e-06,10.0,0.048538062704836585,SGD,tanh,0.051486362483418424,54.0,171.0,0.7,0.15,200.0,57.0,0.41773886827458256,0.1601202446168113,0.5428571428571427,0.13656271971967154
w726g,2.1040156502854603e-05,30.0,0.06504267524264394,SGD,relu,0.014827445619118996,105.0,88.0,0.7,0.15,200.0,34.0,0.48407520786092223,0.09775508412842022,0.5202380952380952,0.06505274329673452
zKGyL,1.9249005770934787e-05,5.0,0.1673505164057073,SGD,elu,0.056045921833386636,145.0,113.0,0.7,0.15,200.0,56.0,0.4401067649281935,0.20165204867582978,0.49404761904761896,0.12827346425762834
Mt8bq,0.014275440673144167,5.0,0.32568419440912727,adam,tanh,0.06579725591200505,78.0,112.0,0.7,0.15,200.0,62.0,0.8138536767550908,0.07215422922854338,0.5,0.0
KTk0b,0.015132410673585086,50.0,0.04772165839329965,SGD,relu,0.0032485566980569036,92.0,130.0,0.7,0.15,200.0,19.0,0.72048228628485,0.12697908819367124,0.7107142857142857,0.11369515073910275
bKmGp,0.08476381685373101,70.0,0.39059305508999914,adam,relu,0.055100784945679195,115.0,183.0,0.7,0.15,200.0,52.0,0.6173235263138791,0.14910424420720683,0.5089285714285714,0.026785714285714288
IOwAi,8.388400947046148e-06,10.0,0.288603981885267,adam,relu,0.05713078390755364,149.0,89.0,0.7,0.15,200.0,36.0,0.671907596371882,0.15647415891108596,0.6857142857142857,0.15933713313432263
VylqF,0.009989157830050817,70.0,0.37504432983824026,SGD,elu,0.07962217742846343,22.0,135.0,0.7,0.15,200.0,39.0,0.7029860907462996,0.11522553723472488,0.775,0.08323974336387303
OPwDp,0.14171258891398197,30.0,0.12147839295216661,SGD,tanh,0.0702871471026614,97.0,79.0,0.7,0.15,200.0,45.0,0.8841780538302277,0.04751109418064124,0.8708333333333333,0.019388687470121818
cLQzl,0.09843077823321168,70.0,0.3738963080975,SGD,relu,0.09387849973590705,71.0,178.0,0.7,0.15,200.0,13.0,0.6365482326140446,0.19688864133381898,0.6434523809523809,0.17596208652914866
J1NmM,1.0092519916242502e-05,30.0,0.2538181760913464,SGD,relu,0.05791813851241532,99.0,12.0,0.7,0.15,200.0,27.0,0.44051020408163266,0.17481632931015037,0.5184523809523809,0.08684970532588318
WB6IY,2.0721780207344684e-05,30.0,0.3471938840277277,SGD,relu,0.07202178887610722,174.0,92.0,0.7,0.15,200.0,62.0,0.43632378203806776,0.09911276521000915,0.49226190476190484,0.12149420495124322
JSFZg,0.000511412165741813,50.0,0.017680107797659207,SGD,tanh,0.02093157354447487,157.0,39.0,0.7,0.15,200.0,66.0,0.3701601559815846,0.15277618785061503,0.5476190476190477,0.11755010510792559
Fqnsm,0.008171118912699683,70.0,0.3470554436547432,SGD,relu,0.09333833611358242,41.0,67.0,0.7,0.15,200.0,15.0,0.6998809032765687,0.12169881377513354,0.718452380952381,0.1265787490269019
x01Jj,5.369518575349018e-05,30.0,0.07762150762596352,SGD,tanh,0.0433671800959201,79.0,53.0,0.7,0.15,200.0,68.0,0.3806105749675196,0.17231773930232852,0.4625,0.19541676638669983
w49wC,0.03388468134923183,30.0,0.2502576506555495,adam,elu,0.07266569609792403,176.0,175.0,0.7,0.15,200.0,40.0,0.7640089047542132,0.0978708098008996,0.7553571428571427,0.14084520740507853
oPixn,0.0005952120326983408,70.0,0.05298516474572393,adam,elu,0.03843873922353384,33.0,114.0,0.7,0.15,200.0,27.0,0.8810539120366,0.05125022464389137,0.8702380952380953,0.017003401020340113
gD4dF,0.04976749877141284,50.0,0.13396827345725515,SGD,tanh,0.027028437255594097,168.0,59.0,0.7,0.15,200.0,47.0,0.8293738082652118,0.1067284089920541,0.8779761904761905,0.008522512537664466
Q1sJT,0.0846685936361297,100.0,0.14119853135794003,SGD,elu,0.06382967531479306,86.0,134.0,0.7,0.15,200.0,27.0,0.7721651238355348,0.12145265198987878,0.8333333333333334,0.0754333662497185
