epochs,layer_1,optimizer,activation,test_frac,intermediate,batch_size,trialJobId,train_frac,dropout,layer_2,learning_rate,preweight,reward,regularization
200,109,SGD,relu,0.15,"[0.8593301435406697,0.8185533496376136]",100,wy8B3,0.7,0.01609379769072863,176,0.009125915652062076,20,0.8185533496376136,0.08487428056574466
200,33,adam,elu,0.15,"[0.5590909090909091,0.7462408762295133]",50,K4tjm,0.7,0.21678794450140004,39,0.037249080863018535,50,0.7462408762295133,0.06572906020993956
200,68,adam,relu,0.15,"[0.6939393939393939,0.8050897394285329]",50,FtfTv,0.7,0.06684924988231514,83,0.008607244256725757,60,0.8050897394285329,0.0868687721633467
200,99,SGD,relu,0.15,"[0.8687400318979266,0.8382439218431831]",5,utCra,0.7,0.38573531530184413,49,0.002260909598397869,53,0.8382439218431831,0.012432312223104725
200,100,SGD,relu,0.15,"[0.763157894736842,0.7329408223083309]",30,JEpnJ,0.7,0.16725836575272918,16,0.0007260912326939982,23,0.7329408223083309,0.06775212326041254
200,170,SGD,elu,0.15,"[0.8507177033492823,0.7945735001514963]",70,zSOSL,0.7,0.39555036550670875,179,0.00016688774356865012,64,0.7945735001514963,0.011265994628599674
200,158,SGD,elu,0.15,"[0.585805422647528,0.5470902281630073]",10,bESTX,0.7,0.3044692265090424,178,4.055578931805815e-06,43,0.5470902281630073,0.09664780815225921
200,110,SGD,elu,0.15,"[0.5070175438596491,0.45955531355505397]",50,eZs9k,0.7,0.16899287829575782,161,1.6190960322793306e-06,29,0.45955531355505397,0.08857055712224281
200,35,adam,tanh,0.15,"[0.5620414673046252,0.7673286136816888]",50,hVxSi,0.7,0.12449461152954805,62,0.05435410753094445,55,0.7673286136816888,0.026629423360878614
200,92,adam,tanh,0.15,"[0.8827751196172248,0.8599293247734426]",100,v98Oq,0.7,0.16971620429715106,64,0.01229703671513519,61,0.8599293247734426,0.00846664170594572
200,172,SGD,tanh,0.15,"[0.9059011164274322,0.8139778375372494]",5,ZUUyu,0.7,0.38051832216772974,178,5.8606521424862544e-05,66,0.8139778375372494,0.0421585274182264
200,113,SGD,elu,0.15,"[0.7953748006379585,0.8132484690131495]",100,cdlUo,0.7,0.09559314161770693,176,0.0998227039406401,26,0.8132484690131495,0.0008652265469656251
200,85,adam,tanh,0.15,"[0.9111642743221691,0.7862917587646177]",50,ID1V3,0.7,0.030824030231360978,172,1.5917851508764797e-06,37,0.7862917587646177,0.03780974673493847
200,12,SGD,tanh,0.15,"[0.90622009569378,0.8011944206978688]",70,dO0kA,0.7,0.36686548165569355,109,0.0010639638145479129,66,0.8011944206978688,0.06602947571958577
200,197,adam,tanh,0.15,"[0.9110047846889952,0.8681174833230489]",70,zW0SQ,0.7,0.35501456349636296,93,2.599331244024518e-05,47,0.8681174833230489,0.05659036208052747
200,61,SGD,relu,0.15,"[0.5952153110047848,0.576618429553849]",100,qc9sK,0.7,0.22235439655383762,152,9.87600205784665e-05,55,0.576618429553849,0.05002210460019342
200,27,adam,elu,0.15,"[0.8956937799043063,0.8014771486868526]",30,QBc5R,0.7,0.28041763829855765,200,3.2845952940335645e-06,35,0.8014771486868526,0.0921263599783877
200,184,adam,elu,0.15,"[0.6223285486443381,0.7583069856238348]",100,wkddu,0.7,0.32624616506910004,67,0.05961482561646774,42,0.7583069856238348,0.05650340242596448
200,185,SGD,elu,0.15,"[0.5223285486443381,0.5256193544655796]",30,qAgu5,0.7,0.2840133790768375,28,6.945710395952824e-06,58,0.5256193544655796,0.0957528632439276
200,151,adam,relu,0.15,"[0.8857256778309409,0.8518213365687801]",50,tldoA,0.7,0.3670950759345289,118,0.0012046747574241724,34,0.8518213365687801,0.0037295713636294804
200,135,adam,tanh,0.15,"[0.9140350877192981,0.8390777043359113]",70,KC9Uq,0.7,0.25027324561176456,95,1.4374280160547185e-05,14,0.8390777043359113,0.027434418104740545
200,135,adam,tanh,0.15,"[0.46531100478468906,0.6286263397778197]",10,F1UFm,0.7,0.16203893359187888,142,0.4673783081446912,47,0.6286263397778197,0.02913396983490118
200,60,adam,tanh,0.15,"[0.9119617224880383,0.8456948907588826]",70,pnjMC,0.7,0.12730866749961697,128,2.2280774124216186e-05,69,0.8456948907588826,0.07602634389574167
200,128,adam,tanh,0.15,"[0.528628389154705,0.6728884602072214]",100,i21zN,0.7,0.24870639024947955,81,0.4061774991207288,47,0.6728884602072214,0.05061410367852516
200,82,adam,tanh,0.15,"[0.9035087719298245,0.8651773450713414]",70,YZEkz,0.7,0.2008414438254566,96,0.00025095679062178813,61,0.8651773450713414,0.03836140197309171
200,73,adam,tanh,0.15,"[0.9039872408293462,0.8841886640747745]",70,AHVe2,0.7,0.33451062790286057,96,0.0003132408848770914,47,0.8841886640747745,0.03991970371677134
200,51,adam,tanh,0.15,"[0.9113237639553429,0.883439116448985]",70,skisD,0.7,0.3312371997924893,127,4.2971214310375794e-05,40,0.883439116448985,0.05703835946240727
200,49,adam,tanh,0.15,"[0.9035087719298245,0.8977624972749891]",70,a2vfp,0.7,0.3307559000283431,131,0.0003420707287791897,31,0.8977624972749891,0.02099013093220931
200,14,adam,tanh,0.15,"[0.9079744816586921,0.8485336489116909]",70,aWSdX,0.7,0.3330366394309309,144,0.0003188643593778754,16,0.8485336489116909,0.0196468819353219
200,42,adam,tanh,0.15,"[0.8913875598086125,0.8751160379180882]",10,lecE8,0.7,0.26202241347992766,198,0.0049580806709421405,32,0.8751160379180882,0.02159069236290861
200,74,adam,tanh,0.15,"[0.9039872408293462,0.8519341061467036]",70,w9ojj,0.7,0.30628566301993243,113,0.002562186887964398,21,0.8519341061467036,0.033634707146143264
