activation,intermediate,optimizer,regularization,dropout,trialJobId,train_frac,epochs,test_frac,layer_1,batch_size,layer_2,reward,learning_rate,preweight
elu,"[0.9678571428571427,0.9738779272925642]",adam,0.08532600343177063,0.08775823083522026,qC0bI,0.7,200,0.15,74,30,96,0.9738779272925642,0.0050505846833499585,28
tanh,"[0.5,0.8694739254201981]",adam,0.07082536532296847,0.33041238085591457,MbVq2,0.7,200,0.15,63,5,133,0.8694739254201981,0.01882235264317317,57
tanh,"[0.9697916666666666,0.9554052448238675]",adam,0.041120361896643705,0.13605419414095477,rYg0V,0.7,200,0.15,118,10,79,0.9554052448238675,1.270289535604047e-06,17
tanh,"[0.9767857142857144,0.9699730148697732]",adam,0.08831223587730688,0.36654970675625326,xNVmL,0.7,200,0.15,147,30,50,0.9699730148697732,7.239023686917387e-05,52
elu,"[0.9688988095238095,0.9750859269675205]",adam,0.03349963360916351,0.17210068023852731,O7uUm,0.7,200,0.15,80,70,34,0.9750859269675205,0.0010201788249417493,46
tanh,"[0.9773809523809524,0.9781467363747052]",adam,0.027277064974353015,0.03177295415902067,iK3QH,0.7,200,0.15,97,50,103,0.9781467363747052,2.280262721521214e-05,38
tanh,"[0.9778273809523809,0.984086675514367]",adam,0.022200109970155237,0.20483894749449974,Kf3am,0.7,200,0.15,183,10,87,0.984086675514367,0.0002877255764294112,51
elu,"[0.6327380952380952,0.9513411772672462]",adam,0.011331237882366514,0.2859896560862907,JhtMD,0.7,200,0.15,110,30,69,0.9513411772672462,0.044751701626965144,55
tanh,"[0.9802083333333332,0.9728641002283549]",adam,0.06856532243497544,0.2399164223774336,EcEBI,0.7,200,0.15,67,5,133,0.9728641002283549,3.756920612311528e-06,60
tanh,"[0.9688988095238095,0.9546815560711757]",SGD,0.05759865987693588,0.2669962200072904,Mv9Hx,0.7,200,0.15,51,30,59,0.9546815560711757,0.0005631058947587265,67
elu,"[0.5376488095238096,0.7167304007802447]",adam,0.039033263951949664,0.12197028546233163,DcBLy,0.7,200,0.15,86,50,121,0.7167304007802447,0.18032371131098945,44
tanh,"[0.9741071428571428,0.978925560717369]",SGD,0.05277796884555737,0.014932073844341365,JOSB6,0.7,200,0.15,24,10,155,0.978925560717369,0.003080071937254231,40
tanh,"[0.873735119047619,0.9692973651692919]",adam,0.07657245037169061,0.0011531908715568216,oxwc8,0.7,200,0.15,102,70,107,0.9692973651692919,0.010753373257179975,22
elu,"[0.9729166666666668,0.9809190006436049]",adam,0.0459863258467167,0.31952224012042196,bi2T7,0.7,200,0.15,159,30,117,0.9809190006436049,9.89962978517169e-05,55
tanh,"[0.953125,0.9477396132959253]",SGD,0.02203271189922452,0.09357514727413685,pbdeC,0.7,200,0.15,126,5,130,0.9477396132959253,3.3665172884732426e-05,57
tanh,"[0.9741071428571428,0.9782753206257597]",adam,0.058916969703378085,0.3694932890672171,my62x,0.7,200,0.15,146,30,139,0.9782753206257597,1.2898301741415399e-05,49
relu,"[0.9517857142857142,0.9501996016678561]",SGD,0.06727490125777907,0.1587188513645337,tEcO0,0.7,200,0.15,39,10,193,0.9501996016678561,0.00018521419804852648,28
tanh,"[0.7884672619047619,0.9553125666207649]",adam,0.00016272853981981125,0.2264121011340517,INwli,0.7,200,0.15,166,100,100,0.9553125666207649,0.004275095274726393,62
elu,"[0.971577380952381,0.9822176027743204]",adam,0.009708483351800534,0.04648585698966923,dWatj,0.7,200,0.15,13,70,85,0.9822176027743204,0.0004194302672532261,66
relu,"[0.95625,0.95337712623204]",SGD,0.03659382737875199,0.3501696972254537,U99Gt,0.7,200,0.15,113,30,174,0.95337712623204,0.0018525149701880317,13
tanh,"[0.8235119047619047,0.9705239488261798]",adam,0.01828459505204865,0.077232617698448,vfVQ4,0.7,200,0.15,140,5,77,0.9705239488261798,0.007255936833174086,42
tanh,"[0.9687500000000002,0.9765133410951415]",adam,0.0613355387210625,0.11507622398993014,MBOEs,0.7,200,0.15,176,50,34,0.9765133410951415,0.0010780898134025625,53
relu,"[0.5035714285714286,0.7186700269036541]",SGD,0.08252928892606418,0.28032436990466686,ixYzh,0.7,200,0.15,58,100,62,0.7186700269036541,0.21702297481634353,46
tanh,"[0.9767857142857143,0.9809394935047877]",adam,0.025043296502815858,0.13349520699822714,F92xH,0.7,200,0.15,103,5,153,0.9809394935047877,3.724347063266054e-06,62
